ID,Total VAP,Race,Race Percentage
1,557535,White,0.66
2,557677,White,0.6203
3,564281,White,0.6774
4,556133,White,0.8241
5,561187,White,0.7089
6,552286,White,0.7116
7,568067,White,0.386
1,557535,Black,0.2561
2,557677,Black,0.3012
3,564281,Black,0.2499
4,556133,Black,0.077
5,561187,Black,0.1806
6,552286,Black,0.1893
7,568067,Black,0.5526
1,557535,Asian,0.0185
2,557677,Asian,0.0228
3,564281,Asian,0.0209
4,556133,Asian,0.0082
5,561187,Asian,0.0253
6,552286,Asian,0.0228
7,568067,Asian,0.0154
1,557535,Hispanic,0.0323
2,557677,Hispanic,0.0357
3,564281,Hispanic,0.0307
4,556133,Hispanic,0.0566
5,561187,Hispanic,0.0528
6,552286,Hispanic,0.0538
7,568067,Hispanic,0.0365
1,557535,Native,0.0311
2,557677,Native,0.021
3,564281,Native,0.0211
4,556133,Native,0.0352
5,561187,Native,0.0327
6,552286,Native,0.0216
7,568067,Native,0.0129
1,557535,Pacific,0.0012
2,557677,Pacific,0.0015
3,564281,Pacific,0.0013
4,556133,Pacific,0.0009
5,561187,Pacific,0.0018
6,552286,Pacific,0.001
7,568067,Pacific,0.001
