FriendlyId,district2020,district2022,party,votes2016,votes2020,state
01133000007,4,4,Dem,114,101,ALABAMA
01133000002,4,4,Dem,279,301,ALABAMA
01133000004,4,4,Dem,48,53,ALABAMA
01133000003,4,4,Dem,49,60,ALABAMA
01063000202,7,7,Dem,250,236,ALABAMA
01057001101,4,4,Dem,70,64,ALABAMA
01057000101,4,4,Dem,725,746,ALABAMA
01057001701,4,4,Dem,81,89,ALABAMA
01069000101,2,2,Dem,335,415,ALABAMA
01063000104,7,7,Dem,221,204,ALABAMA
01063000201,7,7,Dem,464,415,ALABAMA
01063000401,7,7,Dem,570,558,ALABAMA
01063000501,7,7,Dem,360,326,ALABAMA
01069000331,2,2,Dem,292,530,ALABAMA
01069000311,2,2,Dem,195,276,ALABAMA
01069000410,2,2,Dem,563,654,ALABAMA
01069000352,2,2,Dem,499,669,ALABAMA
01069000181,2,2,Dem,905,1085,ALABAMA
01069000371,2,2,Dem,1281,1534,ALABAMA
01069000211,2,2,Dem,116,183,ALABAMA
01069000251,2,2,Dem,408,450,ALABAMA
01069000323,2,2,Dem,729,921,ALABAMA
01069000271,2,2,Dem,128,148,ALABAMA
01069000121,2,2,Dem,129,155,ALABAMA
01069000233,2,2,Dem,403,560,ALABAMA
01063000105,7,7,Dem,318,313,ALABAMA
01077000115,5,5,Dem,566,646,ALABAMA
01077000004,5,5,Dem,205,239,ALABAMA
01077000005,5,5,Dem,497,504,ALABAMA
01077000103,5,4,Dem,505,544,ALABAMA
01103003011,5,5,Dem,1042,1116,ALABAMA
01103001501,5,5,Dem,707,621,ALABAMA
01103001301,5,5,Dem,184,186,ALABAMA
01103000403,5,5,Dem,285,328,ALABAMA
01103000303,5,5,Dem,1097,1294,ALABAMA
01069000131,2,2,Dem,209,260,ALABAMA
01017000014,3,3,Dem,1478,1678,ALABAMA
01103002101,5,5,Dem,103,109,ALABAMA
01063000301,7,7,Dem,554,535,ALABAMA
01017000006,3,3,Dem,62,107,ALABAMA
010170001-A,3,3,Dem,115,75,ALABAMA
01017000013,3,3,Dem,581,597,ALABAMA
01017000007,3,3,Dem,1415,1485,ALABAMA
01041000003,2,2,Dem,303,307,ALABAMA
01041000014,2,2,Dem,353,345,ALABAMA
01041000012,2,2,Dem,36,34,ALABAMA
010330006-1,4,4,Dem,54,63,ALABAMA
010330016-1,4,4,Dem,107,116,ALABAMA
010330014-1,4,4,Dem,77,76,ALABAMA
01085000031,7,7,Dem,362,276,ALABAMA
01077000008,5,5,Dem,170,184,ALABAMA
01077000003,5,5,Dem,182,151,ALABAMA
01071000004,5,5,Dem,79,98,ALABAMA
01071000028,5,5,Dem,184,210,ALABAMA
01071000001,5,5,Dem,318,277,ALABAMA
01071000003,5,5,Dem,384,397,ALABAMA
01113000501,3,3,Dem,1406,1529,ALABAMA
01039000021,2,2,Dem,19,21,ALABAMA
01039000001,2,2,Dem,1056,1157,ALABAMA
01049000003,4,4,Dem,1019,1270,ALABAMA
01039000007,2,2,Dem,67,86,ALABAMA
01103001001,5,5,Dem,72,59,ALABAMA
01095000026,4,4,Dem,418,486,ALABAMA
01095000028,4,4,Dem,95,139,ALABAMA
01095000001,4,4,Dem,656,710,ALABAMA
01095000010,4,4,Dem,916,1132,ALABAMA
01095000021,4,4,Dem,110,128,ALABAMA
01095000019,4,4,Dem,119,170,ALABAMA
01095000012,4,4,Dem,179,247,ALABAMA
01095000002,4,4,Dem,462,555,ALABAMA
01095000007,4,4,Dem,120,172,ALABAMA
01095000030,4,4,Dem,174,228,ALABAMA
01113000002,3,3,Dem,760,915,ALABAMA
01113000706,3,3,Dem,211,210,ALABAMA
01083000101,5,5,Dem,3103,4001,ALABAMA
01083001001,5,5,Dem,673,816,ALABAMA
01083000401,5,5,Dem,181,255,ALABAMA
01083000301,5,5,Dem,548,761,ALABAMA
01083000201,5,5,Dem,2288,3725,ALABAMA
01039000023,2,2,Dem,21,13,ALABAMA
010130012.2,2,2,Dem,665,646,ALABAMA
01071000021,5,5,Dem,1094,1056,ALABAMA
01113000405,3,3,Dem,1652,1824,ALABAMA
01075001301,4,4,Dem,6,5,ALABAMA
01103000901,5,5,Dem,244,239,ALABAMA
01075002001,4,4,Dem,2,2,ALABAMA
01049000002,4,4,Dem,836,955,ALABAMA
01049000001,4,4,Dem,1020,1136,ALABAMA
01049000004,4,4,Dem,807,920,ALABAMA
01103003012,5,5,Dem,210,301,ALABAMA
01103000501,5,5,Dem,399,453,ALABAMA
01103000307,5,5,Dem,160,211,ALABAMA
01103000308,5,5,Dem,772,953,ALABAMA
01077000001,5,5,Dem,143,157,ALABAMA
01077000006,5,5,Dem,408,452,ALABAMA
01017000008,3,3,Dem,956,1091,ALABAMA
01017000010,3,3,Dem,339,356,ALABAMA
01017000001,3,3,Dem,25,67,ALABAMA
01017000003,3,3,Dem,57,57,ALABAMA
01017000009,3,3,Dem,152,175,ALABAMA
01071000039,5,5,Dem,53,60,ALABAMA
01071000038,5,5,Dem,137,127,ALABAMA
01071000029,5,5,Dem,108,88,ALABAMA
01071000010,5,5,Dem,193,207,ALABAMA
010330002-2,4,4,Dem,594,588,ALABAMA
010330016-4,4,4,Dem,241,355,ALABAMA
010330017-2,4,4,Dem,301,339,ALABAMA
01103001601,5,5,Dem,234,298,ALABAMA
01103001401,5,5,Dem,92,116,ALABAMA
01085000131,7,7,Dem,614,490,ALABAMA
010330016-2,4,4,Dem,379,462,ALABAMA
01103002401,5,5,Dem,36,53,ALABAMA
01103001502,5,5,Dem,497,566,ALABAMA
010330004-1,4,4,Dem,332,345,ALABAMA
010330017-3,4,4,Dem,336,358,ALABAMA
01071000020,5,5,Dem,40,32,ALABAMA
01071000014,5,5,Dem,59,82,ALABAMA
01071000022,5,5,Dem,69,47,ALABAMA
01071000013,5,5,Dem,25,25,ALABAMA
01071000018,5,5,Dem,6,4,ALABAMA
01069000341,2,2,Dem,141,186,ALABAMA
01075000701,4,4,Dem,27,31,ALABAMA
01103000601,5,5,Dem,88,98,ALABAMA
01031000029,2,2,Dem,494,609,ALABAMA
01005000011,2,2,Dem,236,236,ALABAMA
01005000009,2,2,Dem,345,351,ALABAMA
01005000008,2,2,Dem,138,140,ALABAMA
0100500008A,2,2,Dem,58,61,ALABAMA
01083001401,5,5,Dem,319,390,ALABAMA
01013000009,2,2,Dem,115,123,ALABAMA
01013000008,2,2,Dem,63,61,ALABAMA
01013012.4A,2,2,Dem,229,236,ALABAMA
010330016-3,4,4,Dem,515,528,ALABAMA
01035000131,2,2,Dem,175,211,ALABAMA
01013012.4B,2,2,Dem,785,784,ALABAMA
01013000002,2,2,Dem,4,6,ALABAMA
010130012.3,2,2,Dem,494,614,ALABAMA
01083000901,5,5,Dem,324,444,ALABAMA
01071000024,5,5,Dem,136,129,ALABAMA
01113000702,3,3,Dem,225,284,ALABAMA
01075001501,4,4,Dem,76,70,ALABAMA
010330018-1,4,4,Dem,131,139,ALABAMA
010330007-1,4,4,Dem,4,16,ALABAMA
