FriendlyId,district2020,district2022,party,votes2016,votes2020,state
05051000021,4,4,Dem,467,477,ARKANSAS
05051000114,4,4,Dem,432,579,ARKANSAS
050990000W3,4,4,Dem,124,130,ARKANSAS
05051000012,4,4,Dem,378,487,ARKANSAS
05051000122,4,4,Dem,277,309,ARKANSAS
050990000RW,4,4,Dem,72,78,ARKANSAS
05117000WAC,1,1,Dem,48,42,ARKANSAS
051170000H2,1,1,Dem,54,48,ARKANSAS
051170000H1,1,1,Dem,48,33,ARKANSAS
05051000113,4,4,Dem,446,519,ARKANSAS
05039000802,4,4,Dem,32,25,ARKANSAS
05051000115,4,4,Dem,136,155,ARKANSAS
05041000005,1,1,Dem,49,60,ARKANSAS
05041000014,1,1,Dem,295,270,ARKANSAS
05013000700,4,4,Dem,22,10,ARKANSAS
05013000100,4,4,Dem,5,7,ARKANSAS
05013000201,4,4,Dem,2,1,ARKANSAS
05013000300,4,4,Dem,17,7,ARKANSAS
0502500002B,4,4,Dem,26,15,ARKANSAS
05025000010,4,4,Dem,70,64,ARKANSAS
05051000125,4,4,Dem,43,52,ARKANSAS
05051000112,4,4,Dem,25,32,ARKANSAS
05051000103,4,4,Dem,317,370,ARKANSAS
0509900ROSR,4,4,Dem,81,66,ARKANSAS
05025000005,4,4,Dem,19,17,ARKANSAS
05013000701,4,4,Dem,4,4,ARKANSAS
05013000600,4,4,Dem,61,46,ARKANSAS
05025000003,4,4,Dem,70,57,ARKANSAS
05013000910,4,4,Dem,118,94,ARKANSAS
05039000701,4,4,Dem,53,38,ARKANSAS
05027000011,4,4,Dem,120,108,ARKANSAS
05027000009,4,4,Dem,96,95,ARKANSAS
05025000014,4,4,Dem,24,23,ARKANSAS
0502500001B,4,4,Dem,25,18,ARKANSAS
05099000LAN,4,4,Dem,35,28,ARKANSAS
050990000ER,4,4,Dem,20,21,ARKANSAS
05013000401,4,4,Dem,9,9,ARKANSAS
05093000010,1,1,Dem,61,61,ARKANSAS
05025000004,4,4,Dem,32,31,ARKANSAS
05027000002,4,4,Dem,422,361,ARKANSAS
05051000014,4,4,Dem,116,161,ARKANSAS
05051000033,4,4,Dem,485,531,ARKANSAS
05053000022,4,4,Dem,142,137,ARKANSAS
05053000012,4,4,Dem,86,76,ARKANSAS
05053000009,4,4,Dem,18,15,ARKANSAS
05053000020,4,4,Dem,136,149,ARKANSAS
05053000003,4,4,Dem,21,17,ARKANSAS
05053000021,4,4,Dem,138,136,ARKANSAS
051170000CE,1,1,Dem,15,7,ARKANSAS
051170000HC,1,1,Dem,32,27,ARKANSAS
051170000DA,1,1,Dem,21,13,ARKANSAS
05053000019,4,4,Dem,106,103,ARKANSAS
05053000013,4,4,Dem,125,103,ARKANSAS
05039000602,4,4,Dem,68,58,ARKANSAS
05051000011,4,4,Dem,334,346,ARKANSAS
05117000RRC,1,1,Dem,11,7,ARKANSAS
05051000133,4,4,Dem,261,331,ARKANSAS
05051000082,4,4,Dem,310,341,ARKANSAS
05051000032,4,4,Dem,178,196,ARKANSAS
0509900BODR,4,4,Dem,53,40,ARKANSAS
050990000W2,4,4,Dem,142,126,ARKANSAS
05051000063,4,4,Dem,430,521,ARKANSAS
05025000012,4,4,Dem,2,7,ARKANSAS
05053000002,4,4,Dem,19,21,ARKANSAS
050930029-1,1,1,Dem,43,47,ARKANSAS
05093000039,1,1,Dem,5,5,ARKANSAS
05093000018,1,1,Dem,48,47,ARKANSAS
05093000019,1,1,Dem,16,11,ARKANSAS
05093000038,1,1,Dem,9,8,ARKANSAS
05129000005,1,1,Dem,15,14,ARKANSAS
05129000006,1,1,Dem,24,27,ARKANSAS
05013000400,4,4,Dem,50,30,ARKANSAS
05041000001,1,1,Dem,147,137,ARKANSAS
05053000014,4,4,Dem,77,84,ARKANSAS
05129000012,1,1,Dem,52,59,ARKANSAS
05129000010,1,1,Dem,36,34,ARKANSAS
05107001173,1,1,Dem,1,1,ARKANSAS
05107002300,1,1,Dem,45,26,ARKANSAS
05057000005,4,4,Dem,253,225,ARKANSAS
05057000013,4,4,Dem,96,96,ARKANSAS
05043000011,4,4,Dem,98,128,ARKANSAS
05053000015,4,4,Dem,46,47,ARKANSAS
05053000008,4,4,Dem,52,43,ARKANSAS
05043000005,4,4,Dem,30,24,ARKANSAS
05057000003,4,4,Dem,169,138,ARKANSAS
05057000017,4,4,Dem,129,109,ARKANSAS
05069000102,4,4,Dem,0,0,ARKANSAS
05043000012,4,4,Dem,29,22,ARKANSAS
05069000064,4,4,Dem,1,1,ARKANSAS
05069000075,4,4,Dem,69,67,ARKANSAS
05069000110,4,4,Dem,195,175,ARKANSAS
05069000104,4,4,Dem,111,95,ARKANSAS
05069000415,4,4,Dem,26,17,ARKANSAS
05069000084,4,4,Dem,13,2,ARKANSAS
05069000211,4,4,Dem,255,227,ARKANSAS
05069000206,4,4,Dem,79,56,ARKANSAS
05069000312,4,4,Dem,266,208,ARKANSAS
05069000005,4,4,Dem,17,16,ARKANSAS
05069000314,4,4,Dem,200,193,ARKANSAS
05069000419,4,4,Dem,13,14,ARKANSAS
05043000003,4,4,Dem,337,319,ARKANSAS
05147000018,1,1,Dem,64,40,ARKANSAS
05147000005,1,1,Dem,18,14,ARKANSAS
05121000008,1,1,Dem,60,46,ARKANSAS
05121000029,1,1,Dem,142,120,ARKANSAS
05107001001,1,1,Dem,933,747,ARKANSAS
05147000011,1,1,Dem,6,2,ARKANSAS
05041000015,1,1,Dem,184,156,ARKANSAS
05041000018,1,1,Dem,75,73,ARKANSAS
05043000016,4,4,Dem,227,222,ARKANSAS
05043000013,4,4,Dem,39,40,ARKANSAS
05009000006,3,1,Dem,191,172,ARKANSAS
05009000007,3,1,Dem,218,221,ARKANSAS
050050001-3,1,1,Dem,57,116,ARKANSAS
05009000003,3,1,Dem,233,249,ARKANSAS
05009000002,3,1,Dem,424,470,ARKANSAS
05009000009,3,1,Dem,265,260,ARKANSAS
05009000005,3,1,Dem,265,252,ARKANSAS
05009000010,3,1,Dem,198,237,ARKANSAS
05009000011,3,1,Dem,147,170,ARKANSAS
050050004-1,1,1,Dem,322,388,ARKANSAS
050050002-2,1,1,Dem,120,138,ARKANSAS
05069000950,4,4,Dem,21,21,ARKANSAS
05069000032,4,4,Dem,2,3,ARKANSAS
05069000319,4,4,Dem,181,165,ARKANSAS
05069000403,4,4,Dem,37,46,ARKANSAS
05069000085,4,4,Dem,7,12,ARKANSAS
05069000422,4,4,Dem,154,123,ARKANSAS
05069000309,4,4,Dem,202,214,ARKANSAS
05091000DOD,4,4,Dem,87,81,ARKANSAS
05091000CHM,4,4,Dem,491,453,ARKANSAS
05091000UNI,4,4,Dem,196,170,ARKANSAS
05107001203,1,1,Dem,19,17,ARKANSAS
05107001171,1,1,Dem,11,9,ARKANSAS
05107001201,1,1,Dem,37,30,ARKANSAS
05107001010,1,1,Dem,885,690,ARKANSAS
05107002102,1,1,Dem,13,6,ARKANSAS
05107001999,1,1,Dem,25,16,ARKANSAS
05009000001,3,1,Dem,267,314,ARKANSAS
05013000110,4,4,Dem,78,71,ARKANSAS
05041000010,1,1,Dem,22,17,ARKANSAS
05041000020,1,1,Dem,53,32,ARKANSAS
05041000008,1,1,Dem,79,74,ARKANSAS
050050010-3,1,1,Dem,62,61,ARKANSAS
050050003-3,1,1,Dem,211,224,ARKANSAS
05069000203,4,4,Dem,149,135,ARKANSAS
050050011-2,1,1,Dem,127,143,ARKANSAS
050050006-2,1,1,Dem,103,125,ARKANSAS
050050008-1,1,1,Dem,217,252,ARKANSAS
05069000125,4,4,Dem,5,3,ARKANSAS
05069000106,4,4,Dem,69,52,ARKANSAS
05069000105,4,4,Dem,29,17,ARKANSAS
050050006-3,1,1,Dem,39,50,ARKANSAS
050050009-1,1,1,Dem,187,212,ARKANSAS
050050011-8,1,1,Dem,14,22,ARKANSAS
05043000006,4,4,Dem,20,12,ARKANSAS
051310001-H,3,3,Dem,270,328,ARKANSAS
051310004-M,3,3,Dem,2,0,ARKANSAS
05087000010,4,3,Dem,228,245,ARKANSAS
05087000019,4,3,Dem,331,318,ARKANSAS
05087000006,4,3,Dem,270,208,ARKANSAS
05131009-1B,4,3,Dem,38,36,ARKANSAS
051310001-M,3,3,Dem,12,10,ARKANSAS
05087000014,4,3,Dem,240,274,ARKANSAS
050050011-9,1,1,Dem,80,55,ARKANSAS
050050009-2,1,1,Dem,180,178,ARKANSAS
050050011-1,1,1,Dem,67,68,ARKANSAS
050050010-1,1,1,Dem,111,107,ARKANSAS
050050005-4,1,1,Dem,49,84,ARKANSAS
050050002-3,1,1,Dem,72,94,ARKANSAS
05033000012,4,3,Dem,150,146,ARKANSAS
05033000002,3,3,Dem,45,45,ARKANSAS
050050011-3,1,1,Dem,70,87,ARKANSAS
05087000009,4,3,Dem,107,112,ARKANSAS
05083000140,4,4,Dem,47,46,ARKANSAS
05131009-3K,4,4,Dem,51,41,ARKANSAS
051310002-B,3,3,Dem,430,501,ARKANSAS
05131009-1C,4,3,Dem,71,65,ARKANSAS
05083000146,4,4,Dem,21,19,ARKANSAS
05083000100,4,4,Dem,51,46,ARKANSAS
05083000138,4,4,Dem,19,26,ARKANSAS
05131009-1D,4,3,Dem,139,144,ARKANSAS
05131009-3M,3,4,Dem,21,20,ARKANSAS
05131009-4B,3,3,Dem,122,130,ARKANSAS
05087000001,4,3,Dem,201,194,ARKANSAS
05131009-3C,3,4,Dem,78,83,ARKANSAS
