ID,Total VAP,Party,Partisan Lean
1,592603,Dem,0.3751
2,614494,Dem,0.7187
3,603885,Dem,0.451
4,611312,Dem,0.6546
5,599484,Dem,0.4124
6,577524,Dem,0.5648
7,582846,Dem,0.6667
8,588571,Dem,0.7557
9,561822,Dem,0.5371
10,585695,Dem,0.6585
11,664995,Dem,0.8655
12,621080,Dem,0.8958
13,544744,Dem,0.5368
14,592734,Dem,0.7073
15,609967,Dem,0.7723
16,600512,Dem,0.7414
17,603500,Dem,0.7289
18,570234,Dem,0.7082
19,609585,Dem,0.6724
20,569445,Dem,0.3408
21,531422,Dem,0.5821
22,543049,Dem,0.5515
23,570766,Dem,0.4141
24,612075,Dem,0.6084
25,572587,Dem,0.5609
26,587257,Dem,0.5667
27,572464,Dem,0.5359
28,619390,Dem,0.6485
29,593418,Dem,0.7749
30,649795,Dem,0.7511
31,596625,Dem,0.6524
32,620064,Dem,0.7028
33,553468,Dem,0.6187
34,610534,Dem,0.8402
35,575415,Dem,0.6381
36,634602,Dem,0.7020000000000001
37,592275,Dem,0.8786
38,600686,Dem,0.6458
39,560688,Dem,0.6143
40,602203,Dem,0.4647
41,593176,Dem,0.4645
42,586430,Dem,0.7242
43,569643,Dem,0.8299
44,585395,Dem,0.7473
45,603905,Dem,0.5216
46,579793,Dem,0.6546
47,616104,Dem,0.5246
48,582232,Dem,0.3969
49,599978,Dem,0.5189
50,619990,Dem,0.6257
51,606885,Dem,0.6035
52,579759,Dem,0.6882
1,592603,Rep,0.5974
2,614494,Rep,0.2535
3,603885,Rep,0.5231
4,611312,Rep,0.3196
5,599484,Rep,0.5658
6,577524,Rep,0.4095
7,582846,Rep,0.3112
8,588571,Rep,0.2244
9,561822,Rep,0.4419
10,585695,Rep,0.3199
11,664995,Rep,0.1156
12,621080,Rep,0.0834
13,544744,Rep,0.4393
14,592734,Rep,0.2705
15,609967,Rep,0.2096
16,600512,Rep,0.237
17,603500,Rep,0.2503
18,570234,Rep,0.2692
19,609585,Rep,0.3038
20,569445,Rep,0.6372
21,531422,Rep,0.397
22,543049,Rep,0.4232
23,570766,Rep,0.5593
24,612075,Rep,0.3664
25,572587,Rep,0.4177
26,587257,Rep,0.4118
27,572464,Rep,0.4416
28,619390,Rep,0.3311
29,593418,Rep,0.2035
30,649795,Rep,0.2294
31,596625,Rep,0.3256
32,620064,Rep,0.2786
33,553468,Rep,0.3596
34,610534,Rep,0.1379
35,575415,Rep,0.3407
36,634602,Rep,0.2765
37,592275,Rep,0.1044
38,600686,Rep,0.3333
39,560688,Rep,0.363
40,602203,Rep,0.515
41,593176,Rep,0.5178
42,586430,Rep,0.2524
43,569643,Rep,0.1509
44,585395,Rep,0.2312
45,603905,Rep,0.4583
46,579793,Rep,0.3233
47,616104,Rep,0.4544
48,582232,Rep,0.5813
49,599978,Rep,0.45899999999999996
50,619990,Rep,0.3513
51,606885,Rep,0.3734
52,579759,Rep,0.29100000000000004
1,592603,Oth,0.0274
2,614494,Oth,0.0278
3,603885,Oth,0.0259
4,611312,Oth,0.0257
5,599484,Oth,0.0217
6,577524,Oth,0.0258
7,582846,Oth,0.0221
8,588571,Oth,0.0199
9,561822,Oth,0.021
10,585695,Oth,0.0216
11,664995,Oth,0.0189
12,621080,Oth,0.0208
13,544744,Oth,0.0239
14,592734,Oth,0.0221
15,609967,Oth,0.0181
16,600512,Oth,0.0216
17,603500,Oth,0.0208
18,570234,Oth,0.0226
19,609585,Oth,0.0238
20,569445,Oth,0.022000000000000002
21,531422,Oth,0.0209
22,543049,Oth,0.0253
23,570766,Oth,0.0266
24,612075,Oth,0.0252
25,572587,Oth,0.0215
26,587257,Oth,0.0215
27,572464,Oth,0.0225
28,619390,Oth,0.0204
29,593418,Oth,0.0216
30,649795,Oth,0.0194
31,596625,Oth,0.022000000000000002
32,620064,Oth,0.0186
33,553468,Oth,0.0216
34,610534,Oth,0.0219
35,575415,Oth,0.0212
36,634602,Oth,0.0215
37,592275,Oth,0.017
38,600686,Oth,0.0209
39,560688,Oth,0.0226
40,602203,Oth,0.0203
41,593176,Oth,0.0176
42,586430,Oth,0.0233
43,569643,Oth,0.0192
44,585395,Oth,0.0215
45,603905,Oth,0.0201
46,579793,Oth,0.0221
47,616104,Oth,0.0211
48,582232,Oth,0.0218
49,599978,Oth,0.0221
50,619990,Oth,0.023
51,606885,Oth,0.0231
52,579759,Oth,0.0208
