FriendlyId,district2020,district2022,party,votes2016,votes2020,state
08001001028,7,8,Dem,428,534,COLORADO
08001001105,7,8,Dem,63,100,COLORADO
08041041168,5,5,Dem,769,944,COLORADO
08041041500,5,4,Dem,50,60,COLORADO
08041041320,5,5,Dem,265,410,COLORADO
08041041423,5,5,Dem,109,531,COLORADO
08041041170,5,5,Dem,599,806,COLORADO
08041041200,5,5,Dem,161,221,COLORADO
08077077045,3,3,Dem,810,1180,COLORADO
08077077003,3,3,Dem,329,448,COLORADO
08077077007,3,3,Dem,336,481,COLORADO
08077077039,3,3,Dem,858,1161,COLORADO
08077077033,3,3,Dem,516,737,COLORADO
08077077057,3,3,Dem,450,658,COLORADO
08047047001,2,2,Dem,216,276,COLORADO
08001001122,7,8,Dem,340,399,COLORADO
08001001066,7,8,Dem,107,223,COLORADO
08001001174,6,8,Dem,113,159,COLORADO
08001001183,6,8,Dem,72,139,COLORADO
08001001124,7,8,Dem,695,818,COLORADO
08001001057,7,8,Dem,432,573,COLORADO
08041041801,5,5,Dem,320,341,COLORADO
08041041740,5,,Dem,640,863,COLORADO
08041041174,5,5,Dem,346,418,COLORADO
08005005237,6,6,Dem,521,634,COLORADO
08005005104,1,6,Dem,299,422,COLORADO
08005005546,6,6,Dem,451,577,COLORADO
08005005119,1,6,Dem,347,485,COLORADO
08005005136,1,6,Dem,436,550,COLORADO
08005005152,6,6,Dem,395,505,COLORADO
08005005346,6,6,Dem,461,663,COLORADO
08005005311,6,6,Dem,740,1025,COLORADO
08005005283,6,6,Dem,392,499,COLORADO
08041041126,5,5,Dem,598,859,COLORADO
08041041405,5,5,Dem,321,472,COLORADO
08041041414,5,5,Dem,366,494,COLORADO
08041041203,5,5,Dem,443,581,COLORADO
08041041134,5,5,Dem,194,488,COLORADO
08041041144,5,5,Dem,359,534,COLORADO
08041041204,5,5,Dem,524,660,COLORADO
08041041129,5,5,Dem,610,890,COLORADO
08041041142,5,5,Dem,477,692,COLORADO
08041041177,5,5,Dem,623,794,COLORADO
08041041172,5,5,Dem,754,919,COLORADO
08041041409,5,5,Dem,384,562,COLORADO
08041041411,5,5,Dem,443,756,COLORADO
08041041742,5,5,Dem,636,771,COLORADO
08041041115,5,5,Dem,317,413,COLORADO
08041041302,5,5,Dem,527,757,COLORADO
08041041201,5,5,Dem,509,647,COLORADO
08041041445,5,5,Dem,397,702,COLORADO
08041041319,5,5,Dem,249,539,COLORADO
08055055004,3,3,Dem,292,354,COLORADO
08055055008,3,3,Dem,14,30,COLORADO
08001001007,7,,Dem,545,678,COLORADO
08001001004,7,8,Dem,376,531,COLORADO
08001001065,7,8,Dem,458,636,COLORADO
08001001086,7,8,Dem,391,508,COLORADO
08001001115,7,8,Dem,530,606,COLORADO
08001001024,7,8,Dem,649,782,COLORADO
08001001072,6,8,Dem,78,330,COLORADO
08001001236,6,6,Dem,553,731,COLORADO
08001001176,6,8,Dem,120,179,COLORADO
08001001037,7,8,Dem,344,491,COLORADO
08001001255,7,8,Dem,339,347,COLORADO
08001001012,7,8,Dem,561,653,COLORADO
08001001196,6,8,Dem,36,89,COLORADO
08113113004,3,3,Dem,276,404,COLORADO
08001001145,7,8,Dem,569,789,COLORADO
08001001217,7,8,Dem,304,494,COLORADO
08001001231,6,6,Dem,699,1196,COLORADO
08001001190,6,8,Dem,381,432,COLORADO
08001001084,7,8,Dem,266,338,COLORADO
08001001023,7,8,Dem,482,623,COLORADO
08001001128,7,8,Dem,723,852,COLORADO
08001001119,7,8,Dem,574,702,COLORADO
08001001087,7,8,Dem,467,690,COLORADO
08001001246,4,,Dem,187,372,COLORADO
08001001195,6,8,Dem,134,218,COLORADO
08001001135,7,8,Dem,562,688,COLORADO
08001001248,4,4,Dem,152,212,COLORADO
08001001052,7,8,Dem,715,951,COLORADO
08001001237,6,6,Dem,482,549,COLORADO
08087087011,4,4,Dem,161,222,COLORADO
08087087001,4,4,Dem,190,334,COLORADO
08087087009,4,4,Dem,279,338,COLORADO
08005005170,6,6,Dem,461,657,COLORADO
08005005427,6,6,Dem,682,877,COLORADO
08005005320,6,6,Dem,592,850,COLORADO
08005005243,6,6,Dem,608,684,COLORADO
08005005544,6,6,Dem,558,795,COLORADO
08057057005,3,2,Dem,72,81,COLORADO
08057057003,3,2,Dem,11,14,COLORADO
08057057002,3,2,Dem,9,13,COLORADO
08005005259,6,6,Dem,660,1011,COLORADO
08005005130,1,6,Dem,441,559,COLORADO
08005005109,1,6,Dem,392,473,COLORADO
08005005105,1,6,Dem,582,1076,COLORADO
08057057001,3,2,Dem,69,57,COLORADO
08077077030,3,3,Dem,542,983,COLORADO
08077077051,3,3,Dem,355,497,COLORADO
08077077054,3,3,Dem,528,828,COLORADO
08077077056,3,3,Dem,441,737,COLORADO
08001001069,7,8,Dem,434,658,COLORADO
08001001039,7,8,Dem,457,563,COLORADO
08001001111,7,8,Dem,514,642,COLORADO
08001001221,7,8,Dem,191,270,COLORADO
08001001035,7,8,Dem,425,528,COLORADO
08001001169,6,8,Dem,119,165,COLORADO
08001001184,6,8,Dem,80,133,COLORADO
08029029008,3,3,Dem,129,187,COLORADO
08029029009,3,3,Dem,186,275,COLORADO
08029029017,3,3,Dem,213,304,COLORADO
08029029003,3,3,Dem,144,202,COLORADO
08077077048,3,3,Dem,501,692,COLORADO
08077077024,3,3,Dem,393,636,COLORADO
08077077047,3,3,Dem,524,671,COLORADO
08077077043,3,3,Dem,745,965,COLORADO
08041041615,5,5,Dem,305,399,COLORADO
08041041626,5,5,Dem,385,400,COLORADO
08041041560,5,4,Dem,140,193,COLORADO
08029029001,3,3,Dem,143,170,COLORADO
08077077038,3,3,Dem,695,893,COLORADO
08077077017,3,3,Dem,330,417,COLORADO
08077077015,3,3,Dem,249,321,COLORADO
08039039015,4,4,Dem,90,139,COLORADO
