FriendlyId,district2020,district2022,party,votes2016,votes2020,state
0901111-054,2,2,Dem,1260,1667,CONNECTICUT
0901111-014,2,2,Dem,1074,1416,CONNECTICUT
0901111-051,2,2,Dem,680,977,CONNECTICUT
0901111-055,2,2,Dem,1404,1892,CONNECTICUT
0901111-012,2,2,Dem,1275,1654,CONNECTICUT
0901111-017,2,2,Dem,1609,1871,CONNECTICUT
0901111-038,2,2,Dem,1767,2303,CONNECTICUT
0901111-010,2,2,Dem,789,1087,CONNECTICUT
0901111-044,2,2,Dem,978,1270,CONNECTICUT
0901111-053,2,2,Dem,1185,1570,CONNECTICUT
0901111-009,2,2,Dem,413,553,CONNECTICUT
0900909-142,3,3,Dem,717,921,CONNECTICUT
0900909-156,3,3,Dem,1344,1923,CONNECTICUT
0900909-013,3,3,Dem,1667,2132,CONNECTICUT
0900909-019,5,5,Dem,1102,1385,CONNECTICUT
0900909-168,5,5,Dem,1137,1398,CONNECTICUT
0900909-085,3,3,Dem,1103,1458,CONNECTICUT
0900909-191,5,5,Dem,876,1131,CONNECTICUT
0900101-184,4,4,Dem,1213,1470,CONNECTICUT
0900101-076,4,4,Dem,1012,1261,CONNECTICUT
0900909-157,3,3,Dem,911,1249,CONNECTICUT
0901111-021,2,2,Dem,1818,2427,CONNECTICUT
0901111-016,2,2,Dem,1026,1370,CONNECTICUT
0901111-019,2,2,Dem,1098,1392,CONNECTICUT
0901111-057,2,2,Dem,1175,1486,CONNECTICUT
0901111-047,2,2,Dem,1201,1442,CONNECTICUT
0901111-013,2,2,Dem,974,1171,CONNECTICUT
0901111-006,2,2,Dem,2139,2813,CONNECTICUT
0901111-041,2,2,Dem,1411,1649,CONNECTICUT
0901111-046,2,2,Dem,535,641,CONNECTICUT
0901111-034,2,2,Dem,2229,2619,CONNECTICUT
0901111-003,2,2,Dem,1027,1346,CONNECTICUT
0901111-045,2,2,Dem,1029,1285,CONNECTICUT
0901111-011,2,2,Dem,1145,1478,CONNECTICUT
0900909-040,3,3,Dem,1733,2080,CONNECTICUT
0900909-131,3,3,Dem,1234,1644,CONNECTICUT
0900909-075,3,3,Dem,1634,2113,CONNECTICUT
