ID,Total VAP,Party,Partisan Lean
1,636380,Dem,0.3233
2,588566,Dem,0.3194
3,609560,Dem,0.4269
4,691279,Dem,0.3876
5,580527,Dem,0.6243
6,658454,Dem,0.4073
7,634763,Dem,0.5443
8,645163,Dem,0.4054
9,737088,Dem,0.5286
10,669945,Dem,0.6186
11,694239,Dem,0.3375
12,653760,Dem,0.4094
13,614181,Dem,0.5136
14,626311,Dem,0.5706
15,639081,Dem,0.4505
16,715022,Dem,0.4542
17,650151,Dem,0.3587
18,649064,Dem,0.4536
19,700605,Dem,0.3955
20,593894,Dem,0.7715
21,643275,Dem,0.5808
22,645611,Dem,0.57
23,613268,Dem,0.5814
24,587681,Dem,0.753
25,623579,Dem,0.3786
26,623565,Dem,0.4689
27,614220,Dem,0.5116
1,636380,Rep,0.6571
2,588566,Rep,0.6687
3,609560,Rep,0.5588
4,691279,Rep,0.5974
5,580527,Rep,0.3616
6,658454,Rep,0.5815
7,634763,Rep,0.4406
8,645163,Rep,0.5811
9,737088,Rep,0.4594
10,669945,Rep,0.3692
11,694239,Rep,0.6535
12,653760,Rep,0.5778
13,614181,Rep,0.4728
14,626311,Rep,0.415
15,639081,Rep,0.5354
16,715022,Rep,0.5344
17,650151,Rep,0.6319
18,649064,Rep,0.5379
19,700605,Rep,0.597
20,593894,Rep,0.2209
21,643275,Rep,0.4113
22,645611,Rep,0.4222
23,613268,Rep,0.4108
24,587681,Rep,0.2391
25,623579,Rep,0.6145
26,623565,Rep,0.5236
27,614220,Rep,0.4806
1,636380,Oth,0.0196
2,588566,Oth,0.0119
3,609560,Oth,0.0143
4,691279,Oth,0.015
5,580527,Oth,0.0141
6,658454,Oth,0.0112
7,634763,Oth,0.0151
8,645163,Oth,0.0135
9,737088,Oth,0.012
10,669945,Oth,0.0122
11,694239,Oth,0.009000000000000001
12,653760,Oth,0.0128
13,614181,Oth,0.0137
14,626311,Oth,0.0144
15,639081,Oth,0.0141
16,715022,Oth,0.0114
17,650151,Oth,0.0093
18,649064,Oth,0.0085
19,700605,Oth,0.0075
20,593894,Oth,0.0076
21,643275,Oth,0.0079
22,645611,Oth,0.0077
23,613268,Oth,0.0078
24,587681,Oth,0.0078
25,623579,Oth,0.0069
26,623565,Oth,0.0075
27,614220,Oth,0.0078
