state,district,precinct,party,candidate,votes
FLORIDA,1,10,DEMOCRAT,PHIL EHR,1890
FLORIDA,1,10,REPUBLICAN,MATT GAETZ,2889
FLORIDA,1,101_PRECINCT 101,DEMOCRAT,PHIL EHR,729
FLORIDA,1,101_PRECINCT 101,REPUBLICAN,MATT GAETZ,1066
FLORIDA,1,102_PRECINCT 102,DEMOCRAT,PHIL EHR,902
FLORIDA,1,102_PRECINCT 102,REPUBLICAN,MATT GAETZ,1121
FLORIDA,1,103_PRECINCT 103,DEMOCRAT,PHIL EHR,1186
FLORIDA,1,103_PRECINCT 103,REPUBLICAN,MATT GAETZ,436
FLORIDA,1,104_PRECINCT 104,DEMOCRAT,PHIL EHR,1083
FLORIDA,1,104_PRECINCT 104,REPUBLICAN,MATT GAETZ,481
FLORIDA,1,105_PRECINCT 105,DEMOCRAT,PHIL EHR,1164
FLORIDA,1,105_PRECINCT 105,REPUBLICAN,MATT GAETZ,2778
FLORIDA,1,106_PRECINCT 106,DEMOCRAT,PHIL EHR,771
FLORIDA,1,106_PRECINCT 106,REPUBLICAN,MATT GAETZ,816
FLORIDA,1,107_PRECINCT 107,DEMOCRAT,PHIL EHR,1560
FLORIDA,1,107_PRECINCT 107,REPUBLICAN,MATT GAETZ,1775
FLORIDA,1,108_PRECINCT 108,DEMOCRAT,PHIL EHR,1427
FLORIDA,1,108_PRECINCT 108,REPUBLICAN,MATT GAETZ,1467
FLORIDA,1,10_10 HOLLEY,DEMOCRAT,PHIL EHR,342
FLORIDA,1,10_10 HOLLEY,REPUBLICAN,MATT GAETZ,981
FLORIDA,1,11,DEMOCRAT,PHIL EHR,3363
FLORIDA,1,11,REPUBLICAN,MATT GAETZ,5216
FLORIDA,1,110,DEMOCRAT,PHIL EHR,137
FLORIDA,1,110,REPUBLICAN,MATT GAETZ,821
FLORIDA,1,110_PRECINCT 110,DEMOCRAT,PHIL EHR,182
FLORIDA,1,110_PRECINCT 110,REPUBLICAN,MATT GAETZ,1204
FLORIDA,1,111_PRECINCT 111,DEMOCRAT,PHIL EHR,1067
FLORIDA,1,111_PRECINCT 111,REPUBLICAN,MATT GAETZ,1466
FLORIDA,1,112_PRECINCT 112,DEMOCRAT,PHIL EHR,1846
FLORIDA,1,112_PRECINCT 112,REPUBLICAN,MATT GAETZ,3394
FLORIDA,1,113_PRECINCT 113,DEMOCRAT,PHIL EHR,507
FLORIDA,1,113_PRECINCT 113,REPUBLICAN,MATT GAETZ,561
FLORIDA,1,114_PRECINCT 114,DEMOCRAT,PHIL EHR,659
FLORIDA,1,114_PRECINCT 114,REPUBLICAN,MATT GAETZ,1696
FLORIDA,1,11_11 COLDWATER,DEMOCRAT,PHIL EHR,175
FLORIDA,1,11_11 COLDWATER,REPUBLICAN,MATT GAETZ,825
FLORIDA,1,11_PRECINCT 11,DEMOCRAT,PHIL EHR,179
FLORIDA,1,11_PRECINCT 11,REPUBLICAN,MATT GAETZ,742
FLORIDA,1,12,DEMOCRAT,PHIL EHR,423
FLORIDA,1,12,REPUBLICAN,MATT GAETZ,229
FLORIDA,1,120,DEMOCRAT,PHIL EHR,82
FLORIDA,1,120,REPUBLICAN,MATT GAETZ,567
FLORIDA,1,12_12 POINT BAKER,DEMOCRAT,PHIL EHR,1019
FLORIDA,1,12_12 POINT BAKER,REPUBLICAN,MATT GAETZ,2253
FLORIDA,1,13,DEMOCRAT,PHIL EHR,845
FLORIDA,1,13,REPUBLICAN,MATT GAETZ,2233
FLORIDA,1,130,DEMOCRAT,PHIL EHR,194
FLORIDA,1,130,REPUBLICAN,MATT GAETZ,1127
FLORIDA,1,13_13 ALLENTOWN,DEMOCRAT,PHIL EHR,188
FLORIDA,1,13_13 ALLENTOWN,REPUBLICAN,MATT GAETZ,1095
FLORIDA,1,14,DEMOCRAT,PHIL EHR,728
FLORIDA,1,14,REPUBLICAN,MATT GAETZ,1689
FLORIDA,1,14_14 HAROLD,DEMOCRAT,PHIL EHR,109
FLORIDA,1,14_14 HAROLD,REPUBLICAN,MATT GAETZ,508
FLORIDA,1,14_PRECINCT 14,DEMOCRAT,PHIL EHR,1278
FLORIDA,1,14_PRECINCT 14,REPUBLICAN,MATT GAETZ,269
FLORIDA,1,15,DEMOCRAT,PHIL EHR,708
FLORIDA,1,15,REPUBLICAN,MATT GAETZ,1695
FLORIDA,1,15_15 FERRIS HILL,DEMOCRAT,PHIL EHR,1054
FLORIDA,1,15_15 FERRIS HILL,REPUBLICAN,MATT GAETZ,2001
FLORIDA,1,15_PRECINCT 15,DEMOCRAT,PHIL EHR,730
FLORIDA,1,15_PRECINCT 15,REPUBLICAN,MATT GAETZ,1054
FLORIDA,1,16,DEMOCRAT,PHIL EHR,771
FLORIDA,1,16,REPUBLICAN,MATT GAETZ,1508
FLORIDA,1,16_16 BAGDAD,DEMOCRAT,PHIL EHR,850
FLORIDA,1,16_16 BAGDAD,REPUBLICAN,MATT GAETZ,2004
FLORIDA,1,17,DEMOCRAT,PHIL EHR,958
FLORIDA,1,17,REPUBLICAN,MATT GAETZ,1393
FLORIDA,1,17_17 FIDELIS,DEMOCRAT,PHIL EHR,71
FLORIDA,1,17_17 FIDELIS,REPUBLICAN,MATT GAETZ,695
FLORIDA,1,18,DEMOCRAT,PHIL EHR,695
FLORIDA,1,18,REPUBLICAN,MATT GAETZ,1331
FLORIDA,1,18_18 BERRYHILL,DEMOCRAT,PHIL EHR,1091
FLORIDA,1,18_18 BERRYHILL,REPUBLICAN,MATT GAETZ,3008
FLORIDA,1,18_PRECINCT 18,DEMOCRAT,PHIL EHR,51
FLORIDA,1,18_PRECINCT 18,REPUBLICAN,MATT GAETZ,413
FLORIDA,1,19,DEMOCRAT,PHIL EHR,594
FLORIDA,1,19,REPUBLICAN,MATT GAETZ,741
FLORIDA,1,19_19 CHUMUCKLA,DEMOCRAT,PHIL EHR,134
FLORIDA,1,19_19 CHUMUCKLA,REPUBLICAN,MATT GAETZ,1220
FLORIDA,1,19_PRECINCT 19,DEMOCRAT,PHIL EHR,593
