FriendlyId,district2020,district2022,party,votes2016,votes2020,state
1201100Q090,23,25,Dem,475,542,FLORIDA
1201100C023,22,20,Dem,2614,2919,FLORIDA
1201100D005,22,23,Dem,1300,1419,FLORIDA
1201100D002,22,23,Dem,824,1027,FLORIDA
12009000516,8,8,Dem,2070,2800,FLORIDA
12009000313,8,8,Dem,2495,3307,FLORIDA
12009000105,8,8,Dem,1393,1691,FLORIDA
12009000427,8,8,Dem,1182,1449,FLORIDA
12009000135,8,8,Dem,426,493,FLORIDA
12009000512,8,8,Dem,595,781,FLORIDA
12009000124,8,8,Dem,955,1163,FLORIDA
12009000506,8,8,Dem,769,958,FLORIDA
12075000004,2,3,Dem,303,360,FLORIDA
12075000002,2,3,Dem,495,630,FLORIDA
12045000003,2,2,Dem,163,248,FLORIDA
12119000130,11,11,Dem,978,1702,FLORIDA
12119000113,11,11,Dem,358,413,FLORIDA
12119000115,11,11,Dem,954,984,FLORIDA
12057000707,15,16,Dem,222,307,FLORIDA
12057000951,16,16,Dem,518,638,FLORIDA
12057000557,14,15,Dem,764,870,FLORIDA
12057000014,14,14,Dem,3612,4193,FLORIDA
12057000319,14,14,Dem,1086,1375,FLORIDA
12031000140,5,4,Dem,692,782,FLORIDA
12031000021,5,5,Dem,720,790,FLORIDA
12086000348,25,26,Dem,226,179,FLORIDA
12086000360,25,26,Dem,1517,1192,FLORIDA
12086000257,24,24,Dem,1242,1267,FLORIDA
12086000178,24,24,Dem,665,649,FLORIDA
12086000546,27,27,Dem,765,840,FLORIDA
12086000641,27,27,Dem,1104,1214,FLORIDA
12009000527,8,8,Dem,690,878,FLORIDA
12009000529,8,8,Dem,488,556,FLORIDA
12009000108,8,8,Dem,1904,2052,FLORIDA
12009000109,8,8,Dem,1407,1633,FLORIDA
12009000428,8,8,Dem,1483,1872,FLORIDA
12009000520,8,8,Dem,1475,1926,FLORIDA
12009000322,8,8,Dem,1700,2097,FLORIDA
12045000006,2,2,Dem,193,206,FLORIDA
12045000002,2,2,Dem,256,241,FLORIDA
12029000009,2,3,Dem,38,34,FLORIDA
12055000023,17,18,Dem,206,224,FLORIDA
12055000013,17,18,Dem,719,807,FLORIDA
12055000010,17,18,Dem,358,486,FLORIDA
12055000017,17,18,Dem,1084,1322,FLORIDA
12055000025,17,18,Dem,745,945,FLORIDA
12055000004,17,18,Dem,183,231,FLORIDA
12055000019,17,18,Dem,800,830,FLORIDA
12055000002,17,18,Dem,1350,1222,FLORIDA
12055000016,17,18,Dem,1128,1174,FLORIDA
12057000909,16,16,Dem,1013,1418,FLORIDA
12057000932,16,,Dem,1575,1520,FLORIDA
12057000309,14,14,Dem,1806,1881,FLORIDA
12057000535,14,15,Dem,801,994,FLORIDA
12057000159,14,14,Dem,1154,1641,FLORIDA
12057000422,14,14,Dem,1335,1318,FLORIDA
12057000830,15,16,Dem,819,984,FLORIDA
12045000008,2,2,Dem,175,223,FLORIDA
12045000007,2,2,Dem,25,31,FLORIDA
12045000011,2,2,Dem,78,77,FLORIDA
12075000008,2,3,Dem,451,593,FLORIDA
12075000003,2,3,Dem,680,790,FLORIDA
12075000010,2,3,Dem,96,131,FLORIDA
12055000012,17,18,Dem,154,190,FLORIDA
12055000021,17,18,Dem,475,568,FLORIDA
12097000402,9,9,Dem,216,288,FLORIDA
12097000211,9,9,Dem,2479,2385,FLORIDA
12097000112,9,9,Dem,2163,1915,FLORIDA
12097000523,9,9,Dem,392,411,FLORIDA
12097000506,9,9,Dem,558,664,FLORIDA
12097000158,9,9,Dem,0,525,FLORIDA
12097000300,9,9,Dem,1648,1844,FLORIDA
12097000407,9,9,Dem,535,667,FLORIDA
12097000508,9,9,Dem,538,770,FLORIDA
12057000711,15,15,Dem,163,163,FLORIDA
