FriendlyId,district2020,district2022,party,votes2016,votes2020,state
13091000LEE,8,8,Dem,979,1194,GEORGIA
130910MITCH,8,8,Dem,56,55,GEORGIA
130910EDDIN,8,8,Dem,195,235,GEORGIA
130910MULLI,8,8,Dem,70,75,GEORGIA
130910PLAIN,8,8,Dem,33,38,GEORGIA
1315300ROZR,8,8,Dem,2475,3552,GEORGIA
1315300RECR,8,2,Dem,3188,3878,GEORGIA
13153000VHS,8,8,Dem,899,1578,GEORGIA
1315300HHPC,8,2,Dem,2351,3109,GEORGIA
1305900006A,10,10,Dem,947,1453,GEORGIA
13269000005,2,2,Dem,204,252,GEORGIA
13319000010,8,8,Dem,629,667,GEORGIA
13209000005,12,12,Dem,367,411,GEORGIA
13161000402,12,8,Dem,38,29,GEORGIA
13209000007,12,12,Dem,148,160,GEORGIA
13185000001,8,8,Dem,577,854,GEORGIA
13153000TMS,8,8,Dem,1496,2098,GEORGIA
13153000BMS,8,8,Dem,1499,2685,GEORGIA
13071000008,8,8,Dem,76,99,GEORGIA
13183000002,1,1,Dem,332,601,GEORGIA
13015000003,11,11,Dem,1080,1519,GEORGIA
1315300FMMS,8,8,Dem,2101,2983,GEORGIA
13015000014,11,11,Dem,159,206,GEORGIA
13015000016,11,11,Dem,940,1321,GEORGIA
13183000006,1,1,Dem,31,33,GEORGIA
13185000009,8,8,Dem,437,624,GEORGIA
13185000003,8,8,Dem,7148,9135,GEORGIA
13185000005,8,8,Dem,1605,2395,GEORGIA
13185000007,8,8,Dem,661,806,GEORGIA
13275000115,8,2,Dem,120,149,GEORGIA
1305900007C,10,10,Dem,1075,1344,GEORGIA
13173000001,8,8,Dem,806,1019,GEORGIA
13263000008,2,2,Dem,464,488,GEORGIA
13133000008,10,10,Dem,798,1421,GEORGIA
13263000002,2,2,Dem,277,289,GEORGIA
13133000004,10,10,Dem,533,673,GEORGIA
13133000005,10,10,Dem,342,368,GEORGIA
1315300MCMS,8,8,Dem,1733,2713,GEORGIA
1305900002A,9,10,Dem,1561,1864,GEORGIA
1305900005C,10,10,Dem,1245,1422,GEORGIA
1315300ANNX,8,8,Dem,889,1221,GEORGIA
130910RAWLI,8,8,Dem,125,163,GEORGIA
13273000001,2,2,Dem,1395,1434,GEORGIA
13015000011,11,11,Dem,464,706,GEORGIA
13015000009,11,11,Dem,60,113,GEORGIA
13015000015,11,11,Dem,205,275,GEORGIA
13071000016,8,8,Dem,27,27,GEORGIA
13071000023,8,8,Dem,69,84,GEORGIA
13015000007,11,11,Dem,294,413,GEORGIA
13071000001,8,8,Dem,1089,1152,GEORGIA
13071000015,8,8,Dem,75,108,GEORGIA
1314100003B,10,10,Dem,375,381,GEORGIA
13151000028,3,10,Dem,2603,3173,GEORGIA
13161000202,12,8,Dem,43,43,GEORGIA
131870000DA,9,9,Dem,2220,3126,GEORGIA
13151000035,10,10,Dem,660,1451,GEORGIA
13275000110,8,2,Dem,460,582,GEORGIA
13275000109,8,2,Dem,918,1000,GEORGIA
13185000006,8,8,Dem,1627,1835,GEORGIA
13003000001,8,8,Dem,136,160,GEORGIA
13003000002,8,8,Dem,29,45,GEORGIA
13023000001,8,8,Dem,1101,1311,GEORGIA
130050DOUGL,1,1,Dem,608,625,GEORGIA
13175000022,12,12,Dem,442,547,GEORGIA
13093000002,2,2,Dem,233,215,GEORGIA
13093000007,2,2,Dem,840,885,GEORGIA
13027001402,8,8,Dem,347,395,GEORGIA
13027001199,8,8,Dem,1383,1406,GEORGIA
13027000660,8,8,Dem,370,399,GEORGIA
13161000301,12,8,Dem,91,111,GEORGIA
13025000003,1,1,Dem,210,267,GEORGIA
13151000030,3,3,Dem,1390,2074,GEORGIA
13275000117,8,2,Dem,83,90,GEORGIA
13275000114,8,2,Dem,294,412,GEORGIA
13029000003,1,1,Dem,383,393,GEORGIA
13237000101,10,10,Dem,875,991,GEORGIA
13161000100,12,8,Dem,366,408,GEORGIA
13027001230,8,8,Dem,52,67,GEORGIA
130750000DB,8,8,Dem,280,404,GEORGIA
1307500000C,8,8,Dem,455,514,GEORGIA
13021000GF1,2,2,Dem,2689,2987,GEORGIA
13021000GF3,2,2,Dem,1507,1543,GEORGIA
13021000EM1,2,2,Dem,954,929,GEORGIA
13021000VV2,2,2,Dem,842,939,GEORGIA
13021000VV4,2,2,Dem,1944,2042,GEORGIA
1304900005W,1,1,Dem,14,18,GEORGIA
1304900003S,1,1,Dem,32,22,GEORGIA
1304900005F,1,1,Dem,48,60,GEORGIA
13049000002,1,1,Dem,780,844,GEORGIA
13071000002,8,8,Dem,901,1169,GEORGIA
131210SS08B,6,5,Dem,210,308,GEORGIA
1312100008B,11,5,Dem,982,1444,GEORGIA
1312100012N,5,5,Dem,359,402,GEORGIA
1312100RW09,6,6,Dem,1402,2131,GEORGIA
1312100012J,5,5,Dem,1201,1327,GEORGIA
1312100RW01,6,6,Dem,1253,1928,GEORGIA
1312100JC11,6,7,Dem,886,1310,GEORGIA
1322900003A,1,1,Dem,77,101,GEORGIA
1300100003C,12,1,Dem,252,288,GEORGIA
13273000005,2,2,Dem,136,146,GEORGIA
13003000003,8,8,Dem,257,291,GEORGIA
1305900003B,10,10,Dem,2093,1842,GEORGIA
13263000005,2,2,Dem,488,517,GEORGIA
13015000010,11,11,Dem,223,305,GEORGIA
13015000004,11,11,Dem,1192,1777,GEORGIA
13273000003,2,2,Dem,251,281,GEORGIA
13183000005,1,1,Dem,63,89,GEORGIA
13123000009,9,9,Dem,151,227,GEORGIA
13025000002,1,1,Dem,274,268,GEORGIA
13025000001,1,1,Dem,135,164,GEORGIA
13161000201,12,8,Dem,50,68,GEORGIA
13123000010,9,9,Dem,154,215,GEORGIA
13151000055,10,10,Dem,725,1111,GEORGIA
13151000039,13,13,Dem,2889,3662,GEORGIA
1322900004C,1,1,Dem,47,55,GEORGIA
132250000C1,2,2,Dem,102,133,GEORGIA
13303001488,10,12,Dem,880,1024,GEORGIA
13029000008,1,1,Dem,515,1393,GEORGIA
13029FTSTEW,1,1,Dem,0,0,GEORGIA
13237000105,10,10,Dem,376,558,GEORGIA
13263000004,2,2,Dem,215,217,GEORGIA
13319000008,8,8,Dem,530,534,GEORGIA
13319000005,8,8,Dem,301,360,GEORGIA
13269000006,2,2,Dem,543,580,GEORGIA
13209000002,12,12,Dem,36,48,GEORGIA
13177000004,2,2,Dem,460,674,GEORGIA
1312100002J,5,5,Dem,1844,1412,GEORGIA
1312100001T,5,5,Dem,695,808,GEORGIA
1312100002G,5,5,Dem,1968,2523,GEORGIA
13151000059,3,10,Dem,609,1263,GEORGIA
13257000004,9,9,Dem,116,141,GEORGIA
13119000003,9,9,Dem,216,325,GEORGIA
13119000001,9,9,Dem,144,193,GEORGIA
13119000004,9,9,Dem,294,382,GEORGIA
13119000005,9,9,Dem,86,110,GEORGIA
1312500EDGH,10,12,Dem,6,11,GEORGIA
132890000HV,8,8,Dem,138,151,GEORGIA
13177000001,2,2,Dem,162,160,GEORGIA
13177000003,2,2,Dem,42,65,GEORGIA
