FriendlyId,district2020,district2022,party,votes2016,votes2020,state
19029029010,3,3,Dem,78,92,IOWA
19029029007,3,3,Dem,30,38,IOWA
19137137008,3,3,Dem,803,967,IOWA
19137137001,3,3,Dem,16,18,IOWA
19135135001,2,3,Dem,15,18,IOWA
19099099014,2,1,Dem,422,482,IOWA
19099099015,2,1,Dem,166,184,IOWA
19069069015,4,4,Dem,21,26,IOWA
19087087010,2,1,Dem,1279,1433,IOWA
19099099018,2,1,Dem,61,77,IOWA
19069069008,4,4,Dem,678,757,IOWA
19069069004,4,4,Dem,169,184,IOWA
19015015012,4,4,Dem,172,221,IOWA
19169169015,4,4,Dem,107,118,IOWA
19169169109,4,4,Dem,1101,1254,IOWA
19169169102,4,4,Dem,1057,1065,IOWA
19169169002,4,4,Dem,423,500,IOWA
19169169019,4,4,Dem,739,1063,IOWA
19177177020,2,1,Dem,119,107,IOWA
19121121011,3,3,Dem,38,49,IOWA
19027027004,4,4,Dem,33,42,IOWA
19027027002,4,4,Dem,49,46,IOWA
19027027019,4,4,Dem,189,210,IOWA
19015015015,4,4,Dem,2710,3073,IOWA
19169169108,4,4,Dem,959,1137,IOWA
19169169105,4,4,Dem,1137,1245,IOWA
19169169013,4,4,Dem,1575,1845,IOWA
19169169009,4,4,Dem,856,1135,IOWA
19099099006,2,1,Dem,176,194,IOWA
19099099019,2,1,Dem,119,139,IOWA
19069069019,4,4,Dem,29,28,IOWA
19069069007,4,4,Dem,80,85,IOWA
19069069017,4,4,Dem,42,51,IOWA
19069069010,4,4,Dem,54,65,IOWA
19003003012,3,3,Dem,50,45,IOWA
19121121013,3,3,Dem,89,107,IOWA
19177177011,2,1,Dem,216,235,IOWA
19177177006,2,1,Dem,44,42,IOWA
19177177007,2,1,Dem,16,16,IOWA
19177177015,2,1,Dem,30,26,IOWA
19185185002,2,3,Dem,29,32,IOWA
19185185010,2,3,Dem,12,10,IOWA
19185185012,2,3,Dem,17,18,IOWA
19185185003,2,3,Dem,28,35,IOWA
19187187036,4,4,Dem,377,353,IOWA
19187187035,4,4,Dem,348,347,IOWA
19003003007,3,3,Dem,35,38,IOWA
19003003009,3,3,Dem,18,18,IOWA
19075075016,4,2,Dem,168,194,IOWA
19075075014,4,2,Dem,65,71,IOWA
19015015013,4,4,Dem,392,415,IOWA
19121121010,3,3,Dem,939,1111,IOWA
19027027010,4,4,Dem,1831,1901,IOWA
19169169017,4,4,Dem,95,117,IOWA
19169169011,4,4,Dem,94,114,IOWA
19099099007,2,1,Dem,199,216,IOWA
19099099005,2,1,Dem,49,63,IOWA
19099099010,2,1,Dem,83,92,IOWA
19069069022,4,4,Dem,26,32,IOWA
19069069001,4,4,Dem,17,14,IOWA
19187187038,4,4,Dem,431,511,IOWA
19187187008,4,4,Dem,84,77,IOWA
19029029009,3,3,Dem,1059,1240,IOWA
19003003011,3,3,Dem,32,27,IOWA
19087087014,2,1,Dem,98,105,IOWA
19087087005,2,1,Dem,47,62,IOWA
19099099020,2,1,Dem,33,34,IOWA
19187187013,4,4,Dem,41,46,IOWA
19099099003,2,1,Dem,60,65,IOWA
19187187037,4,4,Dem,399,441,IOWA
19121121004,3,3,Dem,109,110,IOWA
19121121003,3,3,Dem,242,279,IOWA
19087087001,2,1,Dem,199,207,IOWA
19121121005,3,3,Dem,149,227,IOWA
19121121016,3,3,Dem,122,133,IOWA
19027027012,4,4,Dem,79,85,IOWA
19169169103,4,4,Dem,833,963,IOWA
19169169101,4,4,Dem,829,1063,IOWA
19169169006,4,4,Dem,35,24,IOWA
