FriendlyId,district2020,district2022,party,votes2016,votes2020,state
1705700LS02,17,15,Dem,77,66,ILLINOIS
17169000802,18,15,Dem,126,119,ILLINOIS
1710300AL01,16,16,Dem,71,81,ILLINOIS
1705700DE01,17,17,Dem,40,39,ILLINOIS
1705700AS01,17,15,Dem,93,83,ILLINOIS
17003000104,12,12,Dem,168,184,ILLINOIS
1705700PT02,17,17,Dem,144,161,ILLINOIS
17095000301,17,17,Dem,63,85,ILLINOIS
1705700LS06,17,15,Dem,104,108,ILLINOIS
1705700CA10,17,17,Dem,168,190,ILLINOIS
1705700FA05,17,17,Dem,156,181,ILLINOIS
1705700PT01,17,17,Dem,232,272,ILLINOIS
17129000005,18,15,Dem,70,72,ILLINOIS
17129000008,18,15,Dem,91,85,ILLINOIS
17129000006,18,15,Dem,122,112,ILLINOIS
1702100TL04,13,15,Dem,267,287,ILLINOIS
1702100TL03,13,15,Dem,174,206,ILLINOIS
17169000501,18,15,Dem,24,22,ILLINOIS
1705700WD01,17,15,Dem,54,39,ILLINOIS
17141000008,16,16,Dem,268,334,ILLINOIS
1710300AM01,16,16,Dem,146,153,ILLINOIS
1705700CA16,17,17,Dem,282,347,ILLINOIS
1705700VT02,17,15,Dem,42,36,ILLINOIS
1703700SH01,16,14,Dem,181,223,ILLINOIS
1703700FR01,16,16,Dem,368,429,ILLINOIS
1703700CO04,14,14,Dem,172,218,ILLINOIS
1705100LO01,15,15,Dem,67,74,ILLINOIS
1705100BG01,15,15,Dem,55,56,ILLINOIS
1705100SF01,15,15,Dem,49,46,ILLINOIS
1705100ST01,15,15,Dem,57,58,ILLINOIS
17065000301,15,12,Dem,40,52,ILLINOIS
17003000301,12,12,Dem,87,77,ILLINOIS
1705100RA01,15,15,Dem,197,169,ILLINOIS
17065000401,15,12,Dem,43,42,ILLINOIS
17091Arom04,2,2,Dem,260,297,ILLINOIS
17093SE0901,14,14,Dem,314,357,ILLINOIS
17093LI0104,14,14,Dem,216,279,ILLINOIS
17091Sumn01,2,2,Dem,69,79,ILLINOIS
17091Yell01,2,2,Dem,155,164,ILLINOIS
17091Pilo02,2,2,Dem,119,131,ILLINOIS
1705100SM01,15,15,Dem,54,51,ILLINOIS
1705100PO01,15,15,Dem,42,41,ILLINOIS
1702100JN01,13,15,Dem,84,87,ILLINOIS
1702100PN03,13,15,Dem,138,151,ILLINOIS
1702100LT01,13,15,Dem,79,96,ILLINOIS
1702100MT01,13,15,Dem,116,122,ILLINOIS
1702100RM01,13,15,Dem,38,27,ILLINOIS
1717500WGOS,18,16,Dem,94,100,ILLINOIS
1719700JO30,11,,Dem,448,506,ILLINOIS
1719700LO24,3,14,Dem,567,485,ILLINOIS
17095000402,17,17,Dem,133,133,ILLINOIS
1702500BBG1,15,12,Dem,37,39,ILLINOIS
17129000012,18,15,Dem,144,156,ILLINOIS
