FriendlyId,district2020,district2022,party,votes2016,votes2020,state
20171000090,1,1,Dem,71,94,KANSAS
20171000060,1,1,Dem,39,46,KANSAS
20171000020,1,1,Dem,1,0,KANSAS
20207000090,2,2,Dem,61,61,KANSAS
20207000050,2,2,Dem,7,12,KANSAS
20207000010,2,2,Dem,32,38,KANSAS
20207000070,2,2,Dem,41,58,KANSAS
20059000060,2,3,Dem,38,54,KANSAS
20059000090,2,3,Dem,83,85,KANSAS
20063000040,1,1,Dem,20,21,KANSAS
20063000090,1,1,Dem,8,12,KANSAS
20171000040,1,1,Dem,3,0,KANSAS
20145000200,1,4,Dem,1,2,KANSAS
20145000130,1,4,Dem,0,0,KANSAS
20059000140,2,3,Dem,134,197,KANSAS
20145000070,1,,Dem,21,28,KANSAS
20109000060,1,1,Dem,5,6,KANSAS
20179000130,1,1,Dem,5,9,KANSAS
20179000020,1,1,Dem,1,2,KANSAS
20193000080,1,1,Dem,2,4,KANSAS
2019300003A,1,1,Dem,71,110,KANSAS
2019300004A,1,1,Dem,96,126,KANSAS
20193000060,1,1,Dem,2,3,KANSAS
20193000010,1,1,Dem,5,4,KANSAS
20009000290,1,1,Dem,164,197,KANSAS
20009000320,1,1,Dem,9,11,KANSAS
20009000350,1,1,Dem,13,21,KANSAS
20009000210,1,1,Dem,69,96,KANSAS
20153000120,1,1,Dem,9,9,KANSAS
20145000080,1,,Dem,84,88,KANSAS
20145000030,1,1,Dem,2,1,KANSAS
20153000010,1,1,Dem,2,2,KANSAS
20179000060,1,1,Dem,3,5,KANSAS
20179000070,1,1,Dem,2,2,KANSAS
20179000090,1,1,Dem,25,22,KANSAS
20145000180,4,4,Dem,3,3,KANSAS
20145000110,1,,Dem,75,77,KANSAS
20179000100,1,1,Dem,8,11,KANSAS
20179000030,1,1,Dem,3,2,KANSAS
20063000050,1,1,Dem,20,26,KANSAS
20145000140,1,1,Dem,7,10,KANSAS
20023000070,1,1,Dem,45,60,KANSAS
20115000100,1,2,Dem,8,9,KANSAS
20155000710,1,1,Dem,50,50,KANSAS
20155000120,1,1,Dem,82,110,KANSAS
