ID,Total VAP,Party,Partisan Lean
1,625152,Dem,0.5537
2,626463,Dem,0.5817
3,611501,Dem,0.5668
4,615677,Dem,0.5743
5,631188,Dem,0.6814
6,624046,Dem,0.5585
7,653761,Dem,0.8135
8,637174,Dem,0.6012
9,638761,Dem,0.5169
1,625152,Rep,0.4197
2,626463,Rep,0.3898
3,611501,Rep,0.4054
4,615677,Rep,0.4015
5,631188,Rep,0.2964
6,624046,Rep,0.4163
7,653761,Rep,0.1683
8,637174,Rep,0.3765
9,638761,Rep,0.4601
1,625152,Oth,0.0266
2,626463,Oth,0.0285
3,611501,Oth,0.0277
4,615677,Oth,0.0242
5,631188,Oth,0.0222
6,624046,Oth,0.0251
7,653761,Oth,0.0182
8,637174,Oth,0.0223
9,638761,Oth,0.023
