state,district2010,district2020,precinct,party,candidate,votes
MASSACHUSETTS,1,1,1,DEMOCRAT,ALEX B MORSE,266
MASSACHUSETTS,1,1,1,DEMOCRAT,RICHARD E NEAL,66754
MASSACHUSETTS,1,1,1-1,DEMOCRAT,ALEX B MORSE,9
MASSACHUSETTS,1,1,1-1,DEMOCRAT,RICHARD E NEAL,1065
MASSACHUSETTS,1,1,2,DEMOCRAT,ALEX B MORSE,57
MASSACHUSETTS,1,1,2,DEMOCRAT,RICHARD E NEAL,18367
MASSACHUSETTS,1,1,2-2,DEMOCRAT,ALEX B MORSE,0
MASSACHUSETTS,1,1,2-2,DEMOCRAT,RICHARD E NEAL,965
MASSACHUSETTS,1,1,3,DEMOCRAT,ALEX B MORSE,32
MASSACHUSETTS,1,1,3,DEMOCRAT,RICHARD E NEAL,16796
MASSACHUSETTS,1,1,3-3,DEMOCRAT,ALEX B MORSE,0
MASSACHUSETTS,1,1,3-3,DEMOCRAT,RICHARD E NEAL,770
MASSACHUSETTS,1,1,4,DEMOCRAT,ALEX B MORSE,44
MASSACHUSETTS,1,1,4,DEMOCRAT,RICHARD E NEAL,11633
MASSACHUSETTS,1,1,4-4,DEMOCRAT,ALEX B MORSE,7
MASSACHUSETTS,1,1,4-4,DEMOCRAT,RICHARD E NEAL,1056
MASSACHUSETTS,1,1,5,DEMOCRAT,ALEX B MORSE,27
MASSACHUSETTS,1,1,5,DEMOCRAT,RICHARD E NEAL,7444
MASSACHUSETTS,1,1,5-5,DEMOCRAT,ALEX B MORSE,4
MASSACHUSETTS,1,1,5-5,DEMOCRAT,RICHARD E NEAL,926
MASSACHUSETTS,1,1,6,DEMOCRAT,ALEX B MORSE,21
MASSACHUSETTS,1,1,6,DEMOCRAT,RICHARD E NEAL,4210
MASSACHUSETTS,1,1,7,DEMOCRAT,ALEX B MORSE,20
MASSACHUSETTS,1,1,7,DEMOCRAT,RICHARD E NEAL,2739
MASSACHUSETTS,1,1,8,DEMOCRAT,ALEX B MORSE,19
MASSACHUSETTS,1,1,8,DEMOCRAT,RICHARD E NEAL,2550
MASSACHUSETTS,1,1,A,DEMOCRAT,ALEX B MORSE,65
MASSACHUSETTS,1,1,A,DEMOCRAT,RICHARD E NEAL,8290
MASSACHUSETTS,1,1,A-1,DEMOCRAT,ALEX B MORSE,7
MASSACHUSETTS,1,1,A-1,DEMOCRAT,RICHARD E NEAL,4459
MASSACHUSETTS,1,1,A-2,DEMOCRAT,ALEX B MORSE,17
MASSACHUSETTS,1,1,A-2,DEMOCRAT,RICHARD E NEAL,3631
MASSACHUSETTS,1,1,A-3,DEMOCRAT,ALEX B MORSE,33
MASSACHUSETTS,1,1,A-3,DEMOCRAT,RICHARD E NEAL,4809
MASSACHUSETTS,1,1,A-4,DEMOCRAT,ALEX B MORSE,36
MASSACHUSETTS,1,1,A-4,DEMOCRAT,RICHARD E NEAL,4185
MASSACHUSETTS,1,1,A-5,DEMOCRAT,ALEX B MORSE,39
