FriendlyId,district2020,district2022,party,votes2016,votes2020,state
25003001385,1,1,Dem,669,678,MASSACHUSETTS
25003002050,1,1,Dem,1162,1294,MASSACHUSETTS
25003001675,1,1,Dem,1242,1542,MASSACHUSETTS
25003000614,1,1,Dem,510,583,MASSACHUSETTS
25003001500,1,1,Dem,1248,1448,MASSACHUSETTS
25003001507,1,1,Dem,658,750,MASSACHUSETTS
25003001508,1,1,Dem,1013,1214,MASSACHUSETTS
25003000999,1,1,Dem,1969,2415,MASSACHUSETTS
25013001781,1,1,Dem,539,511,MASSACHUSETTS
25013001784,1,1,Dem,678,711,MASSACHUSETTS
25013001976,1,1,Dem,776,966,MASSACHUSETTS
25013001992,1,1,Dem,512,587,MASSACHUSETTS
25013000607,1,1,Dem,602,649,MASSACHUSETTS
25003000122,1,1,Dem,571,757,MASSACHUSETTS
25003000849,1,1,Dem,824,905,MASSACHUSETTS
25003000017,1,1,Dem,475,601,MASSACHUSETTS
25003001004,1,1,Dem,2234,2701,MASSACHUSETTS
25003000915,1,1,Dem,606,771,MASSACHUSETTS
25003002070,1,1,Dem,313,370,MASSACHUSETTS
25003000974,1,1,Dem,998,1237,MASSACHUSETTS
25003000777,1,1,Dem,191,209,MASSACHUSETTS
25011000851,2,2,Dem,741,896,MASSACHUSETTS
25011001265,1,1,Dem,25,28,MASSACHUSETTS
25003000028,1,1,Dem,226,271,MASSACHUSETTS
25025001207,7,7,Dem,1483,1296,MASSACHUSETTS
25025000301,8,8,Dem,1165,1784,MASSACHUSETTS
25025001208,7,7,Dem,457,503,MASSACHUSETTS
25025001606,7,7,Dem,995,1021,MASSACHUSETTS
25025000604,8,8,Dem,880,1078,MASSACHUSETTS
25025001102,7,7,Dem,1000,1021,MASSACHUSETTS
25025000705,8,8,Dem,749,841,MASSACHUSETTS
25025000709,8,8,Dem,618,659,MASSACHUSETTS
25003001383,1,1,Dem,793,932,MASSACHUSETTS
25003002051,1,1,Dem,580,575,MASSACHUSETTS
25013000938,1,1,Dem,925,1120,MASSACHUSETTS
25013001975,1,1,Dem,675,850,MASSACHUSETTS
25013001076,1,1,Dem,713,942,MASSACHUSETTS
25025000201,7,7,Dem,1164,1314,MASSACHUSETTS
25025000580,7,7,Dem,838,1052,MASSACHUSETTS
25025002072,5,5,Dem,803,966,MASSACHUSETTS
25025001202,7,7,Dem,1126,1285,MASSACHUSETTS
25025000803,7,7,Dem,724,676,MASSACHUSETTS
25025002020,8,8,Dem,964,1079,MASSACHUSETTS
25025000706,8,8,Dem,695,763,MASSACHUSETTS
25019001279,9,9,Dem,4146,5241,MASSACHUSETTS
25025000103,7,7,Dem,1276,1734,MASSACHUSETTS
25025001401,7,7,Dem,1377,1361,MASSACHUSETTS
25025000304,8,8,Dem,931,1208,MASSACHUSETTS
25025000589,7,7,Dem,543,566,MASSACHUSETTS
25025000408,7,7,Dem,795,601,MASSACHUSETTS
25025002017,8,8,Dem,1030,1167,MASSACHUSETTS
25025000410,7,7,Dem,390,205,MASSACHUSETTS
25025000306,8,,Dem,2121,2718,MASSACHUSETTS
25025001599,5,5,Dem,699,769,MASSACHUSETTS
25025000590,7,7,Dem,468,564,MASSACHUSETTS
25025001822,7,7,Dem,926,1031,MASSACHUSETTS
25025016020,5,5,Dem,688,699,MASSACHUSETTS
25025000605,8,8,Dem,805,1121,MASSACHUSETTS
25025001598,5,5,Dem,659,642,MASSACHUSETTS
25025002002,8,8,Dem,967,1113,MASSACHUSETTS
25025016040,5,5,Dem,656,778,MASSACHUSETTS
25025001701,7,7,Dem,726,679,MASSACHUSETTS
25025002006,8,8,Dem,927,1056,MASSACHUSETTS
25017000160,6,3,Dem,1087,1350,MASSACHUSETTS
25017001913,5,5,Dem,1182,1266,MASSACHUSETTS
25017001819,3,3,Dem,1391,1794,MASSACHUSETTS
25017000953,3,3,Dem,903,1144,MASSACHUSETTS
25017001908,5,5,Dem,963,1174,MASSACHUSETTS
25017001907,5,5,Dem,1206,1386,MASSACHUSETTS
25017001120,5,5,Dem,1182,1392,MASSACHUSETTS
25017001121,5,5,Dem,1269,1470,MASSACHUSETTS
25017001369,4,4,Dem,1313,1430,MASSACHUSETTS
25017001946,5,5,Dem,999,1020,MASSACHUSETTS
25017001891,6,6,Dem,1123,1441,MASSACHUSETTS
25017001203,5,5,Dem,760,957,MASSACHUSETTS
25017000007,3,3,Dem,1550,1912,MASSACHUSETTS
25017000167,6,3,Dem,795,1263,MASSACHUSETTS
25017001698,7,7,Dem,1617,1766,MASSACHUSETTS
25017000518,7,7,Dem,1404,1898,MASSACHUSETTS
25017000860,3,3,Dem,1247,1561,MASSACHUSETTS
25017001053,3,3,Dem,674,748,MASSACHUSETTS
25017000622,3,3,Dem,1645,1930,MASSACHUSETTS
25017001045,3,3,Dem,495,570,MASSACHUSETTS
25017001702,7,7,Dem,1652,1785,MASSACHUSETTS
25027001728,1,1,Dem,811,1024,MASSACHUSETTS
25027001971,2,1,Dem,869,1137,MASSACHUSETTS
25027002135,2,2,Dem,603,688,MASSACHUSETTS
25027001624,2,2,Dem,705,892,MASSACHUSETTS
25027000944,4,4,Dem,1759,2285,MASSACHUSETTS
25027001002,2,2,Dem,562,750,MASSACHUSETTS
25027001017,2,2,Dem,629,772,MASSACHUSETTS
25027001683,2,2,Dem,1007,1315,MASSACHUSETTS
25017001909,5,5,Dem,1055,1266,MASSACHUSETTS
25017000722,7,7,Dem,896,1021,MASSACHUSETTS
25017000540,5,5,Dem,1648,1674,MASSACHUSETTS
25017002083,5,5,Dem,837,1022,MASSACHUSETTS
25017002085,5,5,Dem,979,1257,MASSACHUSETTS
25017001949,5,5,Dem,1471,1678,MASSACHUSETTS
25017000797,5,5,Dem,1418,1656,MASSACHUSETTS
25017001678,3,3,Dem,1637,2100,MASSACHUSETTS
25017000527,7,7,Dem,1342,1504,MASSACHUSETTS
25017001035,3,3,Dem,1054,1438,MASSACHUSETTS
25017001710,7,7,Dem,2183,2350,MASSACHUSETTS
25027000769,3,3,Dem,961,1147,MASSACHUSETTS
25027000771,3,3,Dem,490,405,MASSACHUSETTS
25027002118,2,2,Dem,1066,1268,MASSACHUSETTS
25027002121,2,2,Dem,628,625,MASSACHUSETTS
25027001494,2,2,Dem,374,465,MASSACHUSETTS
25027000085,2,2,Dem,608,811,MASSACHUSETTS
25027002060,3,3,Dem,618,835,MASSACHUSETTS
25027000084,2,2,Dem,733,952,MASSACHUSETTS
25027001250,2,2,Dem,743,1065,MASSACHUSETTS
25027000100,2,2,Dem,959,1160,MASSACHUSETTS
25027001832,2,2,Dem,817,1085,MASSACHUSETTS
25027001733,2,1,Dem,593,697,MASSACHUSETTS
25027001215,2,4,Dem,1530,2067,MASSACHUSETTS
25027001822,1,1,Dem,872,1212,MASSACHUSETTS
25027001830,2,2,Dem,789,1115,MASSACHUSETTS
25027001821,1,1,Dem,904,1173,MASSACHUSETTS
25001000436,9,9,Dem,710,987,MASSACHUSETTS
25001000454,9,9,Dem,1307,1673,MASSACHUSETTS
25001000110,9,9,Dem,1050,1402,MASSACHUSETTS
25001001964,9,9,Dem,1554,1971,MASSACHUSETTS
25021001449,8,8,Dem,1017,1205,MASSACHUSETTS
25021001299,4,4,Dem,1332,1718,MASSACHUSETTS
25021000782,4,4,Dem,932,1352,MASSACHUSETTS
25021000779,4,4,Dem,1119,1415,MASSACHUSETTS
25021000806,4,4,Dem,1139,1416,MASSACHUSETTS
25001000757,9,9,Dem,1386,1648,MASSACHUSETTS
25021000502,4,4,Dem,1070,1100,MASSACHUSETTS
25021001251,4,4,Dem,864,1161,MASSACHUSETTS
25021000653,8,8,Dem,1305,1652,MASSACHUSETTS
25021000651,8,8,Dem,1212,1502,MASSACHUSETTS
25021001566,7,7,Dem,907,1193,MASSACHUSETTS
25001002150,9,9,Dem,907,1145,MASSACHUSETTS
25001001644,9,9,Dem,1160,1443,MASSACHUSETTS
25001000455,9,9,Dem,1320,1684,MASSACHUSETTS
25001001454,9,9,Dem,2687,3288,MASSACHUSETTS
25021000666,4,4,Dem,2063,2761,MASSACHUSETTS
25021002020,8,8,Dem,1128,1546,MASSACHUSETTS
25021001295,4,4,Dem,1312,1528,MASSACHUSETTS
25021000506,4,4,Dem,1711,1848,MASSACHUSETTS
25021002033,8,8,Dem,850,1046,MASSACHUSETTS
25021000808,4,4,Dem,1156,1486,MASSACHUSETTS
25021001956,4,5,Dem,1465,1760,MASSACHUSETTS
25021001572,7,7,Dem,1051,1177,MASSACHUSETTS
25001001643,9,9,Dem,1247,1531,MASSACHUSETTS
25001000881,9,9,Dem,1215,1540,MASSACHUSETTS
25001001877,9,9,Dem,1095,1386,MASSACHUSETTS
25001000566,9,9,Dem,2398,3107,MASSACHUSETTS
25001000113,9,9,Dem,912,1111,MASSACHUSETTS
25011000825,2,2,Dem,579,679,MASSACHUSETTS
25011000852,2,2,Dem,638,801,MASSACHUSETTS
25011001271,2,2,Dem,411,554,MASSACHUSETTS
25011000853,2,2,Dem,736,870,MASSACHUSETTS
25021000498,4,4,Dem,1622,1789,MASSACHUSETTS
25021001441,8,8,Dem,1081,1446,MASSACHUSETTS
25021001180,4,4,Dem,1029,1306,MASSACHUSETTS
25021001257,8,7,Dem,1376,1551,MASSACHUSETTS
25021001446,8,8,Dem,821,953,MASSACHUSETTS
25021001447,8,8,Dem,905,1268,MASSACHUSETTS
25021000509,4,4,Dem,1551,1724,MASSACHUSETTS
25021001198,4,2,Dem,1030,1289,MASSACHUSETTS
25021001382,4,4,Dem,1034,1475,MASSACHUSETTS
25025001602,8,8,Dem,457,479,MASSACHUSETTS
25025000609,8,8,Dem,588,751,MASSACHUSETTS
25021001816,8,8,Dem,1311,1554,MASSACHUSETTS
25021000496,4,4,Dem,1634,1851,MASSACHUSETTS
25021000650,8,8,Dem,1139,1423,MASSACHUSETTS
25021002035,8,8,Dem,842,925,MASSACHUSETTS
25021000652,8,8,Dem,1151,1525,MASSACHUSETTS
25021001261,8,8,Dem,1009,1213,MASSACHUSETTS
25021001551,8,8,Dem,855,1245,MASSACHUSETTS
25021002032,8,8,Dem,931,1109,MASSACHUSETTS
25013000027,1,1,Dem,863,1092,MASSACHUSETTS
25013001276,1,1,Dem,199,246,MASSACHUSETTS
25013000925,1,1,Dem,475,698,MASSACHUSETTS
25013001750,1,1,Dem,804,796,MASSACHUSETTS
25013000870,1,1,Dem,1188,1539,MASSACHUSETTS
25013001764,1,1,Dem,659,582,MASSACHUSETTS
25021001544,8,8,Dem,905,973,MASSACHUSETTS
25021001296,4,4,Dem,1336,1521,MASSACHUSETTS
25021001555,8,8,Dem,900,1009,MASSACHUSETTS
25021001541,8,8,Dem,977,1338,MASSACHUSETTS
25021000803,4,4,Dem,1127,1451,MASSACHUSETTS
25021001815,8,8,Dem,908,1082,MASSACHUSETTS
25021000780,4,4,Dem,1048,1350,MASSACHUSETTS
25021001260,7,7,Dem,897,1132,MASSACHUSETTS
25021002024,8,8,Dem,797,1042,MASSACHUSETTS
25021002021,8,8,Dem,1400,1802,MASSACHUSETTS
25021002036,8,8,Dem,960,1150,MASSACHUSETTS
25021001962,4,5,Dem,935,930,MASSACHUSETTS
25013001268,1,1,Dem,675,840,MASSACHUSETTS
25013001980,1,1,Dem,632,869,MASSACHUSETTS
25013001973,1,1,Dem,458,519,MASSACHUSETTS
25013000605,1,1,Dem,589,728,MASSACHUSETTS
25013001776,1,1,Dem,525,600,MASSACHUSETTS
25013001757,1,1,Dem,481,366,MASSACHUSETTS
25013001777,1,1,Dem,581,550,MASSACHUSETTS
25013000694,1,1,Dem,1007,1271,MASSACHUSETTS
25013000691,1,1,Dem,1057,1420,MASSACHUSETTS
25013001780,1,1,Dem,680,783,MASSACHUSETTS
25013001075,1,1,Dem,653,776,MASSACHUSETTS
25013001997,1,1,Dem,753,1019,MASSACHUSETTS
25013001621,1,1,Dem,278,366,MASSACHUSETTS
25021000104,8,8,Dem,1254,1601,MASSACHUSETTS
25021001297,4,4,Dem,1285,1638,MASSACHUSETTS
25021001564,7,7,Dem,954,1254,MASSACHUSETTS
25021000501,4,4,Dem,1292,1466,MASSACHUSETTS
25021001511,4,4,Dem,710,1097,MASSACHUSETTS
