FriendlyId,district2020,district2022,party,votes,state
25003001385,1.0,1.0,Dem,678,MASSACHUSETTS
25003002050,1.0,1.0,Dem,1294,MASSACHUSETTS
25003001675,1.0,1.0,Dem,1542,MASSACHUSETTS
25003000614,1.0,1.0,Dem,583,MASSACHUSETTS
25003001500,1.0,1.0,Dem,1448,MASSACHUSETTS
25003001507,1.0,1.0,Dem,750,MASSACHUSETTS
25003001508,1.0,1.0,Dem,1214,MASSACHUSETTS
25003000999,1.0,1.0,Dem,2415,MASSACHUSETTS
25013001781,1.0,1.0,Dem,511,MASSACHUSETTS
25013001784,1.0,1.0,Dem,711,MASSACHUSETTS
25013001976,1.0,1.0,Dem,966,MASSACHUSETTS
25013001992,1.0,1.0,Dem,587,MASSACHUSETTS
25013000607,1.0,1.0,Dem,649,MASSACHUSETTS
25003000122,1.0,1.0,Dem,757,MASSACHUSETTS
25003000849,1.0,1.0,Dem,905,MASSACHUSETTS
25003000017,1.0,1.0,Dem,601,MASSACHUSETTS
25003001004,1.0,1.0,Dem,2701,MASSACHUSETTS
25003000915,1.0,1.0,Dem,771,MASSACHUSETTS
25003002070,1.0,1.0,Dem,370,MASSACHUSETTS
25003000974,1.0,1.0,Dem,1237,MASSACHUSETTS
25003000777,1.0,1.0,Dem,209,MASSACHUSETTS
25011000851,2.0,2.0,Dem,896,MASSACHUSETTS
25011001265,1.0,1.0,Dem,28,MASSACHUSETTS
25003000028,1.0,1.0,Dem,271,MASSACHUSETTS
25025001207,7.0,7.0,Dem,1296,MASSACHUSETTS
25025000301,8.0,8.0,Dem,1784,MASSACHUSETTS
25025001208,7.0,7.0,Dem,503,MASSACHUSETTS
25025001606,7.0,7.0,Dem,1021,MASSACHUSETTS
25025000604,8.0,8.0,Dem,1078,MASSACHUSETTS
25025001102,7.0,7.0,Dem,1021,MASSACHUSETTS
25025000705,8.0,8.0,Dem,841,MASSACHUSETTS
25025000709,8.0,8.0,Dem,659,MASSACHUSETTS
25003001383,1.0,1.0,Dem,932,MASSACHUSETTS
25003002051,1.0,1.0,Dem,575,MASSACHUSETTS
25013000938,1.0,1.0,Dem,1120,MASSACHUSETTS
25013001975,1.0,1.0,Dem,850,MASSACHUSETTS
25013001076,1.0,1.0,Dem,942,MASSACHUSETTS
25025000201,7.0,7.0,Dem,1314,MASSACHUSETTS
25025000580,7.0,7.0,Dem,1052,MASSACHUSETTS
25025002072,5.0,5.0,Dem,966,MASSACHUSETTS
25025001202,7.0,7.0,Dem,1285,MASSACHUSETTS
25025000803,7.0,7.0,Dem,676,MASSACHUSETTS
25025002020,8.0,8.0,Dem,1079,MASSACHUSETTS
25025000706,8.0,8.0,Dem,763,MASSACHUSETTS
25019001279,9.0,9.0,Dem,5241,MASSACHUSETTS
25025000103,7.0,7.0,Dem,1734,MASSACHUSETTS
25025001401,7.0,7.0,Dem,1361,MASSACHUSETTS
25025000304,8.0,8.0,Dem,1208,MASSACHUSETTS
25025000589,7.0,7.0,Dem,566,MASSACHUSETTS
25025000408,7.0,7.0,Dem,601,MASSACHUSETTS
25025002017,8.0,8.0,Dem,1167,MASSACHUSETTS
25025000410,7.0,7.0,Dem,205,MASSACHUSETTS
25025000306,8.0,,Dem,2718,MASSACHUSETTS
25025001599,5.0,5.0,Dem,769,MASSACHUSETTS
25025000590,7.0,7.0,Dem,564,MASSACHUSETTS
25025001822,7.0,7.0,Dem,1031,MASSACHUSETTS
25025016020,5.0,5.0,Dem,699,MASSACHUSETTS
25025000605,8.0,8.0,Dem,1121,MASSACHUSETTS
25025001598,5.0,5.0,Dem,642,MASSACHUSETTS
25025002002,8.0,8.0,Dem,1113,MASSACHUSETTS
25025016040,5.0,5.0,Dem,778,MASSACHUSETTS
25025001701,7.0,7.0,Dem,679,MASSACHUSETTS
25025002006,8.0,8.0,Dem,1056,MASSACHUSETTS
25017000160,6.0,3.0,Dem,1350,MASSACHUSETTS
25017001913,5.0,5.0,Dem,1266,MASSACHUSETTS
25017001819,3.0,3.0,Dem,1794,MASSACHUSETTS
25017000953,3.0,3.0,Dem,1144,MASSACHUSETTS
25017001908,5.0,5.0,Dem,1174,MASSACHUSETTS
25017001907,5.0,5.0,Dem,1386,MASSACHUSETTS
25017001120,5.0,5.0,Dem,1392,MASSACHUSETTS
25017001121,5.0,5.0,Dem,1470,MASSACHUSETTS
25017001369,4.0,4.0,Dem,1430,MASSACHUSETTS
25017001946,5.0,5.0,Dem,1020,MASSACHUSETTS
25017001891,6.0,6.0,Dem,1441,MASSACHUSETTS
25017001203,5.0,5.0,Dem,957,MASSACHUSETTS
25017000007,3.0,3.0,Dem,1912,MASSACHUSETTS
25017000167,6.0,3.0,Dem,1263,MASSACHUSETTS
25017001698,7.0,7.0,Dem,1766,MASSACHUSETTS
25017000518,7.0,7.0,Dem,1898,MASSACHUSETTS
25017000860,3.0,3.0,Dem,1561,MASSACHUSETTS
25017001053,3.0,3.0,Dem,748,MASSACHUSETTS
25017000622,3.0,3.0,Dem,1930,MASSACHUSETTS
25017001045,3.0,3.0,Dem,570,MASSACHUSETTS
25017001702,7.0,7.0,Dem,1785,MASSACHUSETTS
25027001728,1.0,1.0,Dem,1024,MASSACHUSETTS
25027001971,2.0,1.0,Dem,1137,MASSACHUSETTS
25027002135,2.0,2.0,Dem,688,MASSACHUSETTS
25027001624,2.0,2.0,Dem,892,MASSACHUSETTS
25027000944,4.0,4.0,Dem,2285,MASSACHUSETTS
25027001002,2.0,2.0,Dem,750,MASSACHUSETTS
25027001017,2.0,2.0,Dem,772,MASSACHUSETTS
25027001683,2.0,2.0,Dem,1315,MASSACHUSETTS
25017001909,5.0,5.0,Dem,1266,MASSACHUSETTS
25017000722,7.0,7.0,Dem,1021,MASSACHUSETTS
25017000540,5.0,5.0,Dem,1674,MASSACHUSETTS
25017002083,5.0,5.0,Dem,1022,MASSACHUSETTS
25017002085,5.0,5.0,Dem,1257,MASSACHUSETTS
25017001949,5.0,5.0,Dem,1678,MASSACHUSETTS
25017000797,5.0,5.0,Dem,1656,MASSACHUSETTS
25017001678,3.0,3.0,Dem,2100,MASSACHUSETTS
25017000527,7.0,7.0,Dem,1504,MASSACHUSETTS
25017001035,3.0,3.0,Dem,1438,MASSACHUSETTS
25017001710,7.0,7.0,Dem,2350,MASSACHUSETTS
25027000769,3.0,3.0,Dem,1147,MASSACHUSETTS
25027000771,3.0,3.0,Dem,405,MASSACHUSETTS
25027002118,2.0,2.0,Dem,1268,MASSACHUSETTS
25027002121,2.0,2.0,Dem,625,MASSACHUSETTS
25027001494,2.0,2.0,Dem,465,MASSACHUSETTS
25027000085,2.0,2.0,Dem,811,MASSACHUSETTS
25027002060,3.0,3.0,Dem,835,MASSACHUSETTS
25027000084,2.0,2.0,Dem,952,MASSACHUSETTS
25027001250,2.0,2.0,Dem,1065,MASSACHUSETTS
25027000100,2.0,2.0,Dem,1160,MASSACHUSETTS
25027001832,2.0,2.0,Dem,1085,MASSACHUSETTS
25027001733,2.0,1.0,Dem,697,MASSACHUSETTS
25027001215,2.0,4.0,Dem,2067,MASSACHUSETTS
25027001822,1.0,1.0,Dem,1212,MASSACHUSETTS
25027001830,2.0,2.0,Dem,1115,MASSACHUSETTS
25027001821,1.0,1.0,Dem,1173,MASSACHUSETTS
25001000436,9.0,9.0,Dem,987,MASSACHUSETTS
25001000454,9.0,9.0,Dem,1673,MASSACHUSETTS
25001000110,9.0,9.0,Dem,1402,MASSACHUSETTS
25001001964,9.0,9.0,Dem,1971,MASSACHUSETTS
25021001449,8.0,8.0,Dem,1205,MASSACHUSETTS
25021001299,4.0,4.0,Dem,1718,MASSACHUSETTS
25021000782,4.0,4.0,Dem,1352,MASSACHUSETTS
25021000779,4.0,4.0,Dem,1415,MASSACHUSETTS
25021000806,4.0,4.0,Dem,1416,MASSACHUSETTS
25001000757,9.0,9.0,Dem,1648,MASSACHUSETTS
25021000502,4.0,4.0,Dem,1100,MASSACHUSETTS
25021001251,4.0,4.0,Dem,1161,MASSACHUSETTS
25021000653,8.0,8.0,Dem,1652,MASSACHUSETTS
25021000651,8.0,8.0,Dem,1502,MASSACHUSETTS
25021001566,7.0,7.0,Dem,1193,MASSACHUSETTS
25001002150,9.0,9.0,Dem,1145,MASSACHUSETTS
25001001644,9.0,9.0,Dem,1443,MASSACHUSETTS
25001000455,9.0,9.0,Dem,1684,MASSACHUSETTS
25001001454,9.0,9.0,Dem,3288,MASSACHUSETTS
25021000666,4.0,4.0,Dem,2761,MASSACHUSETTS
25021002020,8.0,8.0,Dem,1546,MASSACHUSETTS
25021001295,4.0,4.0,Dem,1528,MASSACHUSETTS
25021000506,4.0,4.0,Dem,1848,MASSACHUSETTS
25021002033,8.0,8.0,Dem,1046,MASSACHUSETTS
25021000808,4.0,4.0,Dem,1486,MASSACHUSETTS
25021001956,4.0,5.0,Dem,1760,MASSACHUSETTS
25021001572,7.0,7.0,Dem,1177,MASSACHUSETTS
25001001643,9.0,9.0,Dem,1531,MASSACHUSETTS
25001000881,9.0,9.0,Dem,1540,MASSACHUSETTS
25001001877,9.0,9.0,Dem,1386,MASSACHUSETTS
25001000566,9.0,9.0,Dem,3107,MASSACHUSETTS
25001000113,9.0,9.0,Dem,1111,MASSACHUSETTS
25011000825,2.0,2.0,Dem,679,MASSACHUSETTS
25011000852,2.0,2.0,Dem,801,MASSACHUSETTS
25011001271,2.0,2.0,Dem,554,MASSACHUSETTS
25011000853,2.0,2.0,Dem,870,MASSACHUSETTS
25021000498,4.0,4.0,Dem,1789,MASSACHUSETTS
25021001441,8.0,8.0,Dem,1446,MASSACHUSETTS
25021001180,4.0,4.0,Dem,1306,MASSACHUSETTS
25021001257,8.0,7.0,Dem,1551,MASSACHUSETTS
25021001446,8.0,8.0,Dem,953,MASSACHUSETTS
25021001447,8.0,8.0,Dem,1268,MASSACHUSETTS
25021000509,4.0,4.0,Dem,1724,MASSACHUSETTS
25021001198,4.0,2.0,Dem,1289,MASSACHUSETTS
25021001382,4.0,4.0,Dem,1475,MASSACHUSETTS
25025001602,8.0,8.0,Dem,479,MASSACHUSETTS
25025000609,8.0,8.0,Dem,751,MASSACHUSETTS
25021001816,8.0,8.0,Dem,1554,MASSACHUSETTS
25021000496,4.0,4.0,Dem,1851,MASSACHUSETTS
25021000650,8.0,8.0,Dem,1423,MASSACHUSETTS
25021002035,8.0,8.0,Dem,925,MASSACHUSETTS
25021000652,8.0,8.0,Dem,1525,MASSACHUSETTS
25021001261,8.0,8.0,Dem,1213,MASSACHUSETTS
25021001551,8.0,8.0,Dem,1245,MASSACHUSETTS
25021002032,8.0,8.0,Dem,1109,MASSACHUSETTS
25013000027,1.0,1.0,Dem,1092,MASSACHUSETTS
25013001276,1.0,1.0,Dem,246,MASSACHUSETTS
25013000925,1.0,1.0,Dem,698,MASSACHUSETTS
25013001750,1.0,1.0,Dem,796,MASSACHUSETTS
25013000870,1.0,1.0,Dem,1539,MASSACHUSETTS
25013001764,1.0,1.0,Dem,582,MASSACHUSETTS
25021001544,8.0,8.0,Dem,973,MASSACHUSETTS
25021001296,4.0,4.0,Dem,1521,MASSACHUSETTS
25021001555,8.0,8.0,Dem,1009,MASSACHUSETTS
25021001541,8.0,8.0,Dem,1338,MASSACHUSETTS
25021000803,4.0,4.0,Dem,1451,MASSACHUSETTS
25021001815,8.0,8.0,Dem,1082,MASSACHUSETTS
25021000780,4.0,4.0,Dem,1350,MASSACHUSETTS
25021001260,7.0,7.0,Dem,1132,MASSACHUSETTS
25021002024,8.0,8.0,Dem,1042,MASSACHUSETTS
25021002021,8.0,8.0,Dem,1802,MASSACHUSETTS
25021002036,8.0,8.0,Dem,1150,MASSACHUSETTS
25021001962,4.0,5.0,Dem,930,MASSACHUSETTS
25013001268,1.0,1.0,Dem,840,MASSACHUSETTS
25013001980,1.0,1.0,Dem,869,MASSACHUSETTS
25013001973,1.0,1.0,Dem,519,MASSACHUSETTS
25013000605,1.0,1.0,Dem,728,MASSACHUSETTS
25013001776,1.0,1.0,Dem,600,MASSACHUSETTS
25013001757,1.0,1.0,Dem,366,MASSACHUSETTS
25013001777,1.0,1.0,Dem,550,MASSACHUSETTS
25013000694,1.0,1.0,Dem,1271,MASSACHUSETTS
25013000691,1.0,1.0,Dem,1420,MASSACHUSETTS
25013001780,1.0,1.0,Dem,783,MASSACHUSETTS
25013001075,1.0,1.0,Dem,776,MASSACHUSETTS
25013001997,1.0,1.0,Dem,1019,MASSACHUSETTS
25013001621,1.0,1.0,Dem,366,MASSACHUSETTS
25021000104,8.0,8.0,Dem,1601,MASSACHUSETTS
25021001297,4.0,4.0,Dem,1638,MASSACHUSETTS
25021001564,7.0,7.0,Dem,1254,MASSACHUSETTS
25021000501,4.0,4.0,Dem,1466,MASSACHUSETTS
25021001511,4.0,4.0,Dem,1097,MASSACHUSETTS
25021001199,4.0,2.0,Dem,1333,MASSACHUSETTS
25021002143,4.0,4.0,Dem,1352,MASSACHUSETTS
25011001273,2.0,2.0,Dem,480,MASSACHUSETTS
25025002076,5.0,5.0,Dem,1134,MASSACHUSETTS
25025000606,8.0,8.0,Dem,820,MASSACHUSETTS
25025000509,7.0,7.0,Dem,1717,MASSACHUSETTS
25025001108,7.0,7.0,Dem,1544,MASSACHUSETTS
25025000603,8.0,8.0,Dem,1177,MASSACHUSETTS
25025001804,7.0,7.0,Dem,1161,MASSACHUSETTS
25025000801,7.0,7.0,Dem,841,MASSACHUSETTS
25025000303,8.0,8.0,Dem,1055,MASSACHUSETTS
25013001998,1.0,1.0,Dem,911,MASSACHUSETTS
25013001999,1.0,1.0,Dem,815,MASSACHUSETTS
25013001788,1.0,1.0,Dem,740,MASSACHUSETTS
25013001039,1.0,1.0,Dem,1241,MASSACHUSETTS
25025000577,7.0,7.0,Dem,284,MASSACHUSETTS
25025002202,7.0,7.0,Dem,1469,MASSACHUSETTS
25025000402,7.0,7.0,Dem,1954,MASSACHUSETTS
25025001201,7.0,7.0,Dem,1037,MASSACHUSETTS
25025001913,7.0,7.0,Dem,732,MASSACHUSETTS
25025002103,7.0,7.0,Dem,720,MASSACHUSETTS
25025000308,7.0,,Dem,3506,MASSACHUSETTS
25025016030,5.0,5.0,Dem,725,MASSACHUSETTS
