FriendlyId,district2020,district2022,party,votes2016,votes2020,state
26039039006,1,1,Dem,332,404,MICHIGAN
26047047017,1,1,Dem,320,443,MICHIGAN
26047047013,1,1,Dem,187,212,MICHIGAN
26143143004,4,1,Dem,411,525,MICHIGAN
26143143008,4,1,Dem,282,358,MICHIGAN
26143143005,4,1,Dem,673,793,MICHIGAN
26143143013,4,1,Dem,388,418,MICHIGAN
26137137014,1,1,Dem,508,686,MICHIGAN
26137137012,1,1,Dem,341,464,MICHIGAN
26039039007,1,1,Dem,188,243,MICHIGAN
26039039005,1,1,Dem,366,441,MICHIGAN
26039039003,1,1,Dem,223,295,MICHIGAN
26053053002,1,1,Dem,210,250,MICHIGAN
26137137001,1,1,Dem,419,519,MICHIGAN
26137137003,1,1,Dem,216,282,MICHIGAN
26001001001,1,1,Dem,199,248,MICHIGAN
26137137005,1,1,Dem,216,279,MICHIGAN
26005005023,6,4,Dem,523,733,MICHIGAN
26005005010,6,4,Dem,330,423,MICHIGAN
26005005008,6,4,Dem,261,330,MICHIGAN
26005005017,6,4,Dem,348,544,MICHIGAN
26047047022,1,1,Dem,151,187,MICHIGAN
26047047004,1,1,Dem,123,167,MICHIGAN
26047047008,1,1,Dem,184,260,MICHIGAN
26047047001,1,1,Dem,727,966,MICHIGAN
26031031003,1,1,Dem,597,731,MICHIGAN
26031031012,1,1,Dem,419,524,MICHIGAN
26001001008,1,1,Dem,160,199,MICHIGAN
26005005016,6,4,Dem,445,538,MICHIGAN
26005005007,6,4,Dem,310,412,MICHIGAN
26005005029,6,4,Dem,424,565,MICHIGAN
26005005045,6,4,Dem,650,837,MICHIGAN
26011011015,5,1,Dem,315,351,MICHIGAN
26039039002,1,1,Dem,197,236,MICHIGAN
26073073019,4,2,Dem,890,817,MICHIGAN
26081081204,3,2,Dem,358,469,MICHIGAN
26081081192,3,3,Dem,538,808,MICHIGAN
26081081052,3,2,Dem,495,738,MICHIGAN
26081081208,3,2,Dem,414,513,MICHIGAN
26081081199,3,3,Dem,620,903,MICHIGAN
26081081205,3,2,Dem,455,666,MICHIGAN
26081081045,3,3,Dem,633,910,MICHIGAN
26081081238,2,3,Dem,339,467,MICHIGAN
26081081119,3,3,Dem,1130,1458,MICHIGAN
26081000002,3,2,Dem,237,259,MICHIGAN
26081081023,3,3,Dem,522,743,MICHIGAN
26081081012,3,2,Dem,408,542,MICHIGAN
26081081123,3,3,Dem,555,713,MICHIGAN
26081081187,3,2,Dem,287,420,MICHIGAN
26081081186,3,2,Dem,337,417,MICHIGAN
26081081081,3,3,Dem,531,819,MICHIGAN
26081081020,3,2,Dem,414,542,MICHIGAN
26137137008,1,1,Dem,159,271,MICHIGAN
26107107003,4,2,Dem,317,395,MICHIGAN
26107107001,4,2,Dem,219,253,MICHIGAN
26107107016,4,2,Dem,370,493,MICHIGAN
26107107006,4,2,Dem,633,871,MICHIGAN
26095095002,1,1,Dem,148,182,MICHIGAN
26095095001,1,1,Dem,22,27,MICHIGAN
26081081010,3,2,Dem,318,462,MICHIGAN
26081081064,3,3,Dem,633,835,MICHIGAN
26081081107,3,3,Dem,957,1453,MICHIGAN
26043043011,1,1,Dem,452,570,MICHIGAN
26043043009,1,1,Dem,342,435,MICHIGAN
26081081017,3,3,Dem,445,636,MICHIGAN
26081081223,2,3,Dem,538,706,MICHIGAN
26081081207,3,2,Dem,265,362,MICHIGAN
26081081014,3,3,Dem,305,337,MICHIGAN
26043043013,1,1,Dem,160,179,MICHIGAN
26043043002,1,1,Dem,262,287,MICHIGAN
26029029011,1,1,Dem,313,428,MICHIGAN
26029029003,1,1,Dem,204,321,MICHIGAN
26081081182,3,2,Dem,427,588,MICHIGAN
26089089004,1,1,Dem,899,1195,MICHIGAN
26089089005,1,1,Dem,465,642,MICHIGAN
26081081216,2,3,Dem,609,800,MICHIGAN
26001001005,1,1,Dem,80,112,MICHIGAN
26065065025,8,7,Dem,702,688,MICHIGAN
26065065038,8,7,Dem,640,859,MICHIGAN
26065065048,8,7,Dem,673,799,MICHIGAN
26065065045,8,7,Dem,810,1035,MICHIGAN
26065065094,8,7,Dem,557,812,MICHIGAN
26065065014,8,7,Dem,825,1052,MICHIGAN
26029029012,1,1,Dem,394,601,MICHIGAN
26029029014,1,1,Dem,299,388,MICHIGAN
26011011006,5,1,Dem,337,396,MICHIGAN
26011011004,5,1,Dem,170,167,MICHIGAN
26011011001,5,1,Dem,54,75,MICHIGAN
26011011005,5,1,Dem,135,163,MICHIGAN
26069069009,5,1,Dem,330,411,MICHIGAN
26029029018,1,1,Dem,109,140,MICHIGAN
26065065078,8,7,Dem,498,636,MICHIGAN
26065065018,8,7,Dem,1144,1230,MICHIGAN
26065065005,8,7,Dem,384,483,MICHIGAN
26065065085,8,7,Dem,338,426,MICHIGAN
26065065075,8,7,Dem,617,702,MICHIGAN
26075075053,7,5,Dem,203,270,MICHIGAN
26075075062,7,5,Dem,365,403,MICHIGAN
26075075048,7,5,Dem,227,294,MICHIGAN
26065065036,8,7,Dem,764,891,MICHIGAN
26065065011,8,7,Dem,724,1120,MICHIGAN
26065065008,8,7,Dem,938,1256,MICHIGAN
26065065024,8,7,Dem,945,953,MICHIGAN
26065065089,8,7,Dem,775,934,MICHIGAN
26065065044,8,7,Dem,735,883,MICHIGAN
26029029020,1,1,Dem,330,471,MICHIGAN
26075075014,7,5,Dem,242,294,MICHIGAN
26075075047,7,5,Dem,282,372,MICHIGAN
26075075041,7,5,Dem,428,482,MICHIGAN
26075075035,7,5,Dem,506,633,MICHIGAN
26065065072,8,7,Dem,861,1060,MICHIGAN
26065065001,8,7,Dem,278,335,MICHIGAN
26065065051,8,7,Dem,402,496,MICHIGAN
26065065117,8,7,Dem,811,1052,MICHIGAN
26065065066,8,7,Dem,860,1014,MICHIGAN
26065065068,8,7,Dem,763,941,MICHIGAN
26011011003,5,1,Dem,141,176,MICHIGAN
26011011017,5,1,Dem,178,217,MICHIGAN
26163163196,14,12,Dem,405,350,MICHIGAN
26163163520,14,13,Dem,356,602,MICHIGAN
26163163085,12,12,Dem,519,682,MICHIGAN
