FriendlyId,district2020,district2022,party,votes2016,votes2020,state
28037000102,3,2,Dem,276,279,MISSISSIPPI
28037000103,3,2,Dem,189,196,MISSISSIPPI
28027000004,2,2,Dem,609,542,MISSISSIPPI
28027000001,2,2,Dem,141,134,MISSISSIPPI
28013000004,1,1,Dem,425,377,MISSISSIPPI
28013000001,1,1,Dem,38,52,MISSISSIPPI
28095000506,1,1,Dem,553,535,MISSISSIPPI
28119000103,2,2,Dem,150,128,MISSISSIPPI
28095000103,1,1,Dem,9,9,MISSISSIPPI
28095000302,1,1,Dem,20,17,MISSISSIPPI
28095000401,1,1,Dem,844,812,MISSISSIPPI
28095000305,1,1,Dem,103,107,MISSISSIPPI
28119000202,2,2,Dem,450,393,MISSISSIPPI
28155000101,1,1,Dem,60,49,MISSISSIPPI
28135000402,2,2,Dem,103,98,MISSISSIPPI
28135000503,2,2,Dem,479,435,MISSISSIPPI
28027000014,2,2,Dem,1222,1029,MISSISSIPPI
28027000005,2,2,Dem,312,335,MISSISSIPPI
28049000203,2,2,Dem,446,401,MISSISSIPPI
28049000317,2,2,Dem,450,355,MISSISSIPPI
28049000511,2,2,Dem,335,316,MISSISSIPPI
28043000401,2,2,Dem,1378,1333,MISSISSIPPI
28043000102,2,2,Dem,500,557,MISSISSIPPI
28043000203,2,2,Dem,171,172,MISSISSIPPI
28043000103,2,2,Dem,83,114,MISSISSIPPI
28043000104,2,2,Dem,105,89,MISSISSIPPI
28043000301,2,2,Dem,1045,1132,MISSISSIPPI
28043000502,2,2,Dem,185,186,MISSISSIPPI
28061000201,3,3,Dem,400,388,MISSISSIPPI
28049000516,2,2,Dem,271,282,MISSISSIPPI
28049000208,2,2,Dem,596,644,MISSISSIPPI
28049000105,3,2,Dem,453,487,MISSISSIPPI
28049000514,2,2,Dem,441,419,MISSISSIPPI
28049000307,2,2,Dem,1084,1219,MISSISSIPPI
28049000121,3,3,Dem,209,266,MISSISSIPPI
