ID,Total Pop,Party,Partisan Lean,Total VAP
1,745670,Dem,0.4176,592117
2,745670,Dem,0.5199,587675
3,745671,Dem,0.4139,594152
4,745671,Dem,0.4621,559343
5,745671,Dem,0.6223,580425
6,745671,Dem,0.716,579554
7,745671,Dem,0.4127,573620
8,745670,Dem,0.4063,564238
9,745670,Dem,0.7161,579370
10,745671,Dem,0.3826,573267
11,745671,Dem,0.4283,592406
12,745670,Dem,0.4247,582969
13,745671,Dem,0.3867,583127
14,745670,Dem,0.451,612836
1,745670,Rep,0.5604,592117
2,745670,Rep,0.4638,587675
3,745671,Rep,0.5629,594152
4,745671,Rep,0.5143,559343
5,745671,Rep,0.3519,580425
6,745671,Rep,0.2612,579554
7,745671,Rep,0.5654,573620
8,745670,Rep,0.5708,564238
9,745670,Rep,0.2572,579370
10,745671,Rep,0.5929,573267
11,745671,Rep,0.5492,592406
12,745670,Rep,0.5516,582969
13,745671,Rep,0.5904,583127
14,745670,Rep,0.5244,612836
1,745670,Oth,0.022000000000000002,592117
2,745670,Oth,0.0163,587675
3,745671,Oth,0.0232,594152
4,745671,Oth,0.0236,559343
5,745671,Oth,0.0258,580425
6,745671,Oth,0.0228,579554
7,745671,Oth,0.0219,573620
8,745670,Oth,0.0229,564238
9,745670,Oth,0.0267,579370
10,745671,Oth,0.0245,573267
11,745671,Oth,0.0225,592406
12,745670,Oth,0.0237,582969
13,745671,Oth,0.023,583127
14,745670,Oth,0.0246,612836
