state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,001,DEMOCRAT,G K BUTTERFIELD,359
NORTH CAROLINA,1,001,REPUBLICAN,SANDY SMITH,517
NORTH CAROLINA,1,002,DEMOCRAT,G K BUTTERFIELD,274
NORTH CAROLINA,1,002,REPUBLICAN,SANDY SMITH,440
NORTH CAROLINA,1,003,DEMOCRAT,G K BUTTERFIELD,433
NORTH CAROLINA,1,003,REPUBLICAN,SANDY SMITH,291
NORTH CAROLINA,1,004,DEMOCRAT,G K BUTTERFIELD,372
NORTH CAROLINA,1,004,REPUBLICAN,SANDY SMITH,244
NORTH CAROLINA,1,005,DEMOCRAT,G K BUTTERFIELD,669
NORTH CAROLINA,1,005,REPUBLICAN,SANDY SMITH,203
NORTH CAROLINA,1,006,DEMOCRAT,G K BUTTERFIELD,629
NORTH CAROLINA,1,006,REPUBLICAN,SANDY SMITH,277
NORTH CAROLINA,1,007,DEMOCRAT,G K BUTTERFIELD,395
NORTH CAROLINA,1,007,REPUBLICAN,SANDY SMITH,191
NORTH CAROLINA,1,008,DEMOCRAT,G K BUTTERFIELD,792
NORTH CAROLINA,1,008,REPUBLICAN,SANDY SMITH,106
NORTH CAROLINA,1,009,DEMOCRAT,G K BUTTERFIELD,230
NORTH CAROLINA,1,009,REPUBLICAN,SANDY SMITH,185
NORTH CAROLINA,1,01,DEMOCRAT,G K BUTTERFIELD,89
NORTH CAROLINA,1,01,REPUBLICAN,SANDY SMITH,221
NORTH CAROLINA,1,010,DEMOCRAT,G K BUTTERFIELD,1017
NORTH CAROLINA,1,010,REPUBLICAN,SANDY SMITH,283
NORTH CAROLINA,1,0101,DEMOCRAT,G K BUTTERFIELD,368
NORTH CAROLINA,1,0101,REPUBLICAN,SANDY SMITH,350
NORTH CAROLINA,1,0102,DEMOCRAT,G K BUTTERFIELD,168
NORTH CAROLINA,1,0102,REPUBLICAN,SANDY SMITH,163
NORTH CAROLINA,1,0103,DEMOCRAT,G K BUTTERFIELD,122
NORTH CAROLINA,1,0103,REPUBLICAN,SANDY SMITH,190
NORTH CAROLINA,1,0104,DEMOCRAT,G K BUTTERFIELD,89
NORTH CAROLINA,1,0104,REPUBLICAN,SANDY SMITH,121
NORTH CAROLINA,1,011,DEMOCRAT,G K BUTTERFIELD,160
NORTH CAROLINA,1,011,REPUBLICAN,SANDY SMITH,84
NORTH CAROLINA,1,012,DEMOCRAT,G K BUTTERFIELD,212
NORTH CAROLINA,1,012,REPUBLICAN,SANDY SMITH,512
NORTH CAROLINA,1,013,DEMOCRAT,G K BUTTERFIELD,263
NORTH CAROLINA,1,013,REPUBLICAN,SANDY SMITH,188
NORTH CAROLINA,1,014,DEMOCRAT,G K BUTTERFIELD,701
NORTH CAROLINA,1,014,REPUBLICAN,SANDY SMITH,244
NORTH CAROLINA,1,02,DEMOCRAT,G K BUTTERFIELD,81
NORTH CAROLINA,1,02,REPUBLICAN,SANDY SMITH,375
NORTH CAROLINA,1,0201,DEMOCRAT,G K BUTTERFIELD,112
NORTH CAROLINA,1,0201,REPUBLICAN,SANDY SMITH,149
NORTH CAROLINA,1,03,DEMOCRAT,G K BUTTERFIELD,80
NORTH CAROLINA,1,03,REPUBLICAN,SANDY SMITH,364
NORTH CAROLINA,1,0301,DEMOCRAT,G K BUTTERFIELD,297
NORTH CAROLINA,1,0301,REPUBLICAN,SANDY SMITH,257
NORTH CAROLINA,1,04,DEMOCRAT,G K BUTTERFIELD,99
NORTH CAROLINA,1,04,REPUBLICAN,SANDY SMITH,336
NORTH CAROLINA,1,0401,DEMOCRAT,G K BUTTERFIELD,293
NORTH CAROLINA,1,0401,REPUBLICAN,SANDY SMITH,301
NORTH CAROLINA,1,05,DEMOCRAT,G K BUTTERFIELD,86
NORTH CAROLINA,1,05,REPUBLICAN,SANDY SMITH,250
NORTH CAROLINA,1,0501,DEMOCRAT,G K BUTTERFIELD,133
NORTH CAROLINA,1,0501,REPUBLICAN,SANDY SMITH,365
NORTH CAROLINA,1,06,DEMOCRAT,G K BUTTERFIELD,88
NORTH CAROLINA,1,06,REPUBLICAN,SANDY SMITH,97
NORTH CAROLINA,1,0601,DEMOCRAT,G K BUTTERFIELD,151
NORTH CAROLINA,1,0601,REPUBLICAN,SANDY SMITH,86
NORTH CAROLINA,1,07,DEMOCRAT,G K BUTTERFIELD,106
NORTH CAROLINA,1,07,REPUBLICAN,SANDY SMITH,344
NORTH CAROLINA,1,0701,DEMOCRAT,G K BUTTERFIELD,261
NORTH CAROLINA,1,0701,REPUBLICAN,SANDY SMITH,415
NORTH CAROLINA,1,08,DEMOCRAT,G K BUTTERFIELD,52
NORTH CAROLINA,1,08,REPUBLICAN,SANDY SMITH,412
NORTH CAROLINA,1,0800A,DEMOCRAT,G K BUTTERFIELD,97
NORTH CAROLINA,1,0800A,REPUBLICAN,SANDY SMITH,150
NORTH CAROLINA,1,0800B,DEMOCRAT,G K BUTTERFIELD,92
