FriendlyId,district2020,district2022,party,votes2016,votes2020,state
32001000016,2,2,Dem,128,200,NEVADA
32001000014,2,,Dem,88,100,NEVADA
32001000010,2,2,Dem,138,174,NEVADA
32019000006,4,,Dem,259,319,NEVADA
32019000014,2,2,Dem,199,474,NEVADA
32019000008,4,,Dem,56,68,NEVADA
32510000109,2,2,Dem,483,702,NEVADA
32510000307,2,2,Dem,716,933,NEVADA
32001000019,2,2,Dem,93,117,NEVADA
32001015-09,2,2,Dem,0,0,NEVADA
32019000023,2,2,Dem,160,230,NEVADA
32019000015,2,2,Dem,243,318,NEVADA
32019000040,2,2,Dem,199,233,NEVADA
32510000409,2,2,Dem,465,607,NEVADA
32001000002,2,2,Dem,186,267,NEVADA
32015000009,2,2,Dem,15,24,NEVADA
32015000002,2,2,Dem,107,145,NEVADA
32015000006,2,2,Dem,6,8,NEVADA
32015000004,2,2,Dem,68,70,NEVADA
32005000017,2,2,Dem,290,375,NEVADA
32005000014,2,2,Dem,150,221,NEVADA
32019000013,2,2,Dem,505,406,NEVADA
32015000003,2,2,Dem,25,36,NEVADA
32015000005,2,2,Dem,86,120,NEVADA
32031008238,2,2,Dem,328,408,NEVADA
32031004045,2,2,Dem,272,346,NEVADA
32031004016,2,2,Dem,504,746,NEVADA
32013000003,2,2,Dem,161,162,NEVADA
32013000010,2,2,Dem,43,65,NEVADA
32031003038,2,2,Dem,407,876,NEVADA
32005000007,2,2,Dem,265,340,NEVADA
32005000005,2,2,Dem,184,288,NEVADA
32031007567,2,2,Dem,0,0,NEVADA
32031007514,2,2,Dem,183,233,NEVADA
32031008202,2,2,Dem,437,522,NEVADA
32031008254,2,2,Dem,439,515,NEVADA
32031008297,2,2,Dem,243,301,NEVADA
32031005041,2,2,Dem,267,327,NEVADA
32031008236,2,2,Dem,404,590,NEVADA
32031006523,2,2,Dem,0,115,NEVADA
32031001003,2,2,Dem,742,882,NEVADA
32027000006,2,2,Dem,64,80,NEVADA
32027000007,2,2,Dem,27,52,NEVADA
32027000001,2,2,Dem,139,162,NEVADA
32031003009,2,2,Dem,598,913,NEVADA
32031002018,2,2,Dem,492,649,NEVADA
32031007304,2,2,Dem,176,218,NEVADA
32031007526,2,2,Dem,337,404,NEVADA
32031005010,2,2,Dem,416,493,NEVADA
32013000004,2,2,Dem,178,222,NEVADA
320130007-2,2,2,Dem,126,124,NEVADA
32031009532,2,2,Dem,0,0,NEVADA
32031007553,2,2,Dem,10,19,NEVADA
32005000031,2,2,Dem,212,267,NEVADA
32005000013,2,2,Dem,283,496,NEVADA
32005000021,2,2,Dem,237,289,NEVADA
32005000024,2,2,Dem,82,110,NEVADA
32005000035,2,2,Dem,111,155,NEVADA
32005000023,2,2,Dem,264,371,NEVADA
32005000010,2,2,Dem,213,306,NEVADA
32005000002,2,2,Dem,297,406,NEVADA
32031006513,2,2,Dem,342,383,NEVADA
32031003024,2,2,Dem,485,598,NEVADA
32031003018,2,2,Dem,519,589,NEVADA
32031003023,2,2,Dem,240,290,NEVADA
32031005047,2,2,Dem,0,108,NEVADA
32031007400,2,2,Dem,0,2,NEVADA
32031006500,2,2,Dem,541,733,NEVADA
32031007321,2,2,Dem,0,0,NEVADA
32031006311,2,2,Dem,352,400,NEVADA
32013000008,2,2,Dem,6,10,NEVADA
32013000012,2,2,Dem,12,23,NEVADA
32013000011,2,2,Dem,18,18,NEVADA
32031001050,2,2,Dem,0,0,NEVADA
32013000013,2,2,Dem,28,37,NEVADA
32013000009,2,2,Dem,15,29,NEVADA
32013000001,2,2,Dem,147,186,NEVADA
32031001024,2,2,Dem,592,722,NEVADA
32031008256,2,2,Dem,190,233,NEVADA
32001000012,2,,Dem,52,82,NEVADA
32510000101,2,2,Dem,354,515,NEVADA
32033000030,4,2,Dem,22,26,NEVADA
32033000045,4,2,Dem,11,17,NEVADA
32003003755,4,3,Dem,398,450,NEVADA
32003001677,3,3,Dem,417,461,NEVADA
32003002394,4,4,Dem,852,1154,NEVADA
32003002725,4,4,Dem,71,69,NEVADA
32003003774,1,3,Dem,361,423,NEVADA
32003004616,4,4,Dem,829,910,NEVADA
32003005384,1,1,Dem,349,390,NEVADA
32003006654,3,3,Dem,504,600,NEVADA
32023000031,4,4,Dem,288,340,NEVADA
32023000035,4,4,Dem,33,19,NEVADA
32023000008,4,4,Dem,0,1,NEVADA
32027000003,2,2,Dem,97,129,NEVADA
32033000050,4,2,Dem,46,67,NEVADA
32033000010,4,2,Dem,77,94,NEVADA
32033000020,4,2,Dem,92,99,NEVADA
32003002371,4,4,Dem,464,515,NEVADA
32003007532,1,1,Dem,450,491,NEVADA
32027000005,2,2,Dem,22,14,NEVADA
32023000010,4,4,Dem,166,201,NEVADA
32033000035,4,2,Dem,149,173,NEVADA
32023000009,4,4,Dem,390,482,NEVADA
32023000006,4,4,Dem,100,133,NEVADA
32023000013,4,4,Dem,2,5,NEVADA
32031007525,2,2,Dem,393,488,NEVADA
32031003010,2,2,Dem,550,725,NEVADA
32031002022,2,2,Dem,192,209,NEVADA
32031006413,2,2,Dem,388,537,NEVADA
32031009311,2,2,Dem,0,0,NEVADA
32031006106,2,2,Dem,225,264,NEVADA
32031002029,2,2,Dem,249,310,NEVADA
32031008116,2,2,Dem,382,567,NEVADA
32013000002,2,2,Dem,174,212,NEVADA
32031006501,2,2,Dem,511,698,NEVADA
32031007418,2,2,Dem,305,402,NEVADA
32031007415,2,2,Dem,351,480,NEVADA
32031007408,2,2,Dem,119,181,NEVADA
32031009102,2,2,Dem,0,0,NEVADA
32031004041,2,2,Dem,472,568,NEVADA
32031007566,2,2,Dem,0,0,NEVADA
32031002080,2,2,Dem,342,485,NEVADA
32031001059,2,2,Dem,0,0,NEVADA
32031003007,2,2,Dem,571,705,NEVADA
32031006526,2,2,Dem,226,274,NEVADA
32031006110,2,2,Dem,345,432,NEVADA
32031004000,2,2,Dem,386,475,NEVADA
32031003013,2,2,Dem,1,2,NEVADA
32031005056,2,2,Dem,530,715,NEVADA
32031001002,2,2,Dem,370,501,NEVADA
32017000005,4,4,Dem,4,1,NEVADA
32003004307,4,4,Dem,715,825,NEVADA
32003002399,4,4,Dem,164,1499,NEVADA
32003007366,3,1,Dem,302,1517,NEVADA
32003003709,4,4,Dem,753,1068,NEVADA
32003006467,3,3,Dem,259,160,NEVADA
32021000009,4,4,Dem,21,22,NEVADA
32003002417,4,4,Dem,110,122,NEVADA
32003004532,1,1,Dem,463,544,NEVADA
32003007661,3,1,Dem,305,404,NEVADA
32003007422,3,1,Dem,665,776,NEVADA
32003007552,3,1,Dem,274,353,NEVADA
32003003801,1,4,Dem,299,361,NEVADA
32003003795,1,4,Dem,380,447,NEVADA
32003006713,3,3,Dem,152,267,NEVADA
32003003722,4,4,Dem,304,396,NEVADA
32003003855,4,4,Dem,781,847,NEVADA
32009000001,4,4,Dem,30,36,NEVADA
32009000004,4,4,Dem,5,2,NEVADA
32003001384,3,1,Dem,130,1614,NEVADA
32003005565,1,1,Dem,531,612,NEVADA
32003007417,3,1,Dem,376,552,NEVADA
32007000037,2,2,Dem,4,11,NEVADA
32007000032,2,2,Dem,58,75,NEVADA
32007000033,2,2,Dem,14,18,NEVADA
32007000010,2,2,Dem,176,232,NEVADA
32007000029,2,2,Dem,76,98,NEVADA
32007000009,2,2,Dem,104,131,NEVADA
32023000002,4,4,Dem,1,5,NEVADA
32023000005,4,4,Dem,11,13,NEVADA
32023000011,4,4,Dem,339,406,NEVADA
32023000007,4,4,Dem,10,13,NEVADA
32023000018,4,4,Dem,16,14,NEVADA
32023000001,4,4,Dem,79,100,NEVADA
32023000003,4,4,Dem,20,53,NEVADA
32003006719,3,3,Dem,479,792,NEVADA
32003001633,1,3,Dem,681,826,NEVADA
32003004903,4,4,Dem,0,0,NEVADA
32021000007,4,4,Dem,18,17,NEVADA
32003007675,3,1,Dem,296,342,NEVADA
32003002044,4,4,Dem,473,685,NEVADA
32003004635,4,4,Dem,360,428,NEVADA
32003004507,4,4,Dem,861,982,NEVADA
32003004528,4,4,Dem,848,933,NEVADA
32003003724,4,4,Dem,444,551,NEVADA
32003002476,4,4,Dem,115,136,NEVADA
32003007684,3,1,Dem,333,412,NEVADA
32003003742,4,4,Dem,577,672,NEVADA
32003004591,1,4,Dem,163,175,NEVADA
32023000029,4,4,Dem,325,446,NEVADA
32023000030,4,4,Dem,246,337,NEVADA
32003005598,1,1,Dem,626,701,NEVADA
32003002673,4,4,Dem,38,45,NEVADA
32003007663,3,1,Dem,498,624,NEVADA
32003002456,4,4,Dem,574,875,NEVADA
32003004597,4,4,Dem,764,821,NEVADA
32003001353,3,,Dem,700,1193,NEVADA
32003001718,3,1,Dem,564,644,NEVADA
32003002600,4,4,Dem,472,540,NEVADA
32003002671,4,4,Dem,477,670,NEVADA
32003007611,3,1,Dem,287,419,NEVADA
32001000006,2,2,Dem,101,129,NEVADA
32001000011,2,2,Dem,140,176,NEVADA
32017000233,4,4,Dem,86,94,NEVADA
32510000309,2,2,Dem,400,503,NEVADA
32023000027,4,4,Dem,200,261,NEVADA
32021000004,4,4,Dem,40,71,NEVADA
32003003723,4,3,Dem,260,524,NEVADA
32003003371,3,3,Dem,338,412,NEVADA
32003002613,4,4,Dem,458,617,NEVADA
32003007702,3,1,Dem,549,695,NEVADA
32003005515,1,1,Dem,295,339,NEVADA
32003003465,4,4,Dem,351,445,NEVADA
32003001618,3,3,Dem,516,756,NEVADA
32003005589,1,,Dem,145,184,NEVADA
32003002729,4,4,Dem,313,426,NEVADA
32003004567,4,4,Dem,946,987,NEVADA
32003007570,3,1,Dem,284,353,NEVADA
32003006632,1,3,Dem,287,364,NEVADA
32021000011,4,4,Dem,192,239,NEVADA
32003005596,1,1,Dem,705,750,NEVADA
32003002731,4,4,Dem,531,716,NEVADA
32003001617,1,3,Dem,459,705,NEVADA
32003003768,4,4,Dem,424,506,NEVADA
32003005394,1,1,Dem,334,422,NEVADA
32003002393,4,4,Dem,700,852,NEVADA
32003007631,3,1,Dem,525,697,NEVADA
32003003365,4,3,Dem,338,412,NEVADA
32003007575,3,1,Dem,162,239,NEVADA
32003006686,1,3,Dem,412,453,NEVADA
32003004559,4,4,Dem,597,630,NEVADA
32003002663,4,4,Dem,227,278,NEVADA
32003002483,4,4,Dem,929,1424,NEVADA
32003002653,4,4,Dem,372,483,NEVADA
32023000019,4,4,Dem,381,739,NEVADA
32023000020,4,4,Dem,151,247,NEVADA
32011000004,2,2,Dem,14,20,NEVADA
32011000003,2,2,Dem,7,16,NEVADA
32003001721,3,1,Dem,402,469,NEVADA
32003007413,3,1,Dem,597,1045,NEVADA
32003004381,1,1,Dem,380,337,NEVADA
32003003842,4,4,Dem,507,599,NEVADA
32003003380,3,3,Dem,270,316,NEVADA
32003004651,4,4,Dem,1,0,NEVADA
32003003728,3,3,Dem,495,616,NEVADA
32003003866,3,3,Dem,120,161,NEVADA
32003003364,3,3,Dem,503,631,NEVADA
32003002711,4,4,Dem,421,516,NEVADA
32003006471,3,3,Dem,566,765,NEVADA
32003006475,3,3,Dem,547,775,NEVADA
32003001303,3,3,Dem,528,743,NEVADA
32003007713,3,1,Dem,285,352,NEVADA
32007000036,2,2,Dem,18,22,NEVADA
32007000038,2,2,Dem,81,125,NEVADA
32007000015,2,2,Dem,55,67,NEVADA
32003003763,4,3,Dem,0,0,NEVADA
32003002373,4,4,Dem,363,424,NEVADA
32003005631,1,1,Dem,310,373,NEVADA
32003007332,1,1,Dem,498,651,NEVADA
32003004384,1,1,Dem,445,490,NEVADA
32003006431,1,3,Dem,438,520,NEVADA
32003001631,1,3,Dem,584,658,NEVADA
32003002464,4,4,Dem,249,1240,NEVADA
32003007410,3,1,Dem,414,538,NEVADA
32029000005,2,2,Dem,243,299,NEVADA
32029000004,2,2,Dem,101,128,NEVADA
32029000003,2,2,Dem,1,2,NEVADA
32029000006,2,2,Dem,219,243,NEVADA
32003001679,3,3,Dem,426,503,NEVADA
32003003372,3,3,Dem,494,557,NEVADA
32003001072,3,3,Dem,60,61,NEVADA
32003006488,3,3,Dem,21,35,NEVADA
32003002726,4,4,Dem,71,82,NEVADA
32007000027,2,2,Dem,34,41,NEVADA
32003006530,3,3,Dem,477,590,NEVADA
32003007623,3,1,Dem,472,662,NEVADA
32003007653,3,1,Dem,258,342,NEVADA
32003007704,3,1,Dem,211,262,NEVADA
32003003431,4,3,Dem,447,521,NEVADA
32003007555,3,1,Dem,372,446,NEVADA
32011000001,2,2,Dem,27,27,NEVADA
32023000021,4,4,Dem,298,395,NEVADA
32023000032,4,4,Dem,406,540,NEVADA
32023000014,4,4,Dem,157,188,NEVADA
32003006752,3,3,Dem,376,855,NEVADA
32003005571,1,1,Dem,507,650,NEVADA
32003001391,3,1,Dem,645,838,NEVADA
32003007592,3,1,Dem,317,494,NEVADA
32003003908,4,3,Dem,0,0,NEVADA
32003002382,4,4,Dem,827,922,NEVADA
32003007672,3,1,Dem,309,419,NEVADA
32003001644,3,3,Dem,0,1,NEVADA
32003005643,3,1,Dem,0,0,NEVADA
32003003790,4,3,Dem,398,489,NEVADA
32003007500,3,1,Dem,694,852,NEVADA
32003003605,4,4,Dem,91,101,NEVADA
32003002445,4,4,Dem,0,0,NEVADA
32003004461,4,4,Dem,777,910,NEVADA
32003001689,3,3,Dem,386,514,NEVADA
32003006694,3,3,Dem,328,379,NEVADA
32003003385,4,3,Dem,625,801,NEVADA
32003002602,4,4,Dem,44,56,NEVADA
