Year,Month,UnemploymentRate,CPI,Open,High,Low,Close,AdjClose,Volume
2014,1,6.6,1.60%,4160.029785,4246.549805,4044.76001,4103.879883,4103.879883,45227610000
2014,2,6.7,1.10%,4105.060059,4342.589844,3968.189941,4308.120117,4308.120117,39978180000
2014,3,6.7,1.50%,4261.419922,4371.709961,4131.810059,4198.990234,4198.990234,46796180000
2014,4,6.2,2.00%,4219.870117,4286.089844,3946.030029,4114.560059,4114.560059,44391220000
2014,5,6.3,2.10%,4121.25,4252.080078,4021.050049,4242.620117,4242.620117,39290130000
2014,6,6.1,2.10%,4247.959961,4417.459961,4207.609863,4408.180176,4408.180176,40249370000
2014,7,6.2,2.00%,4424.709961,4485.930176,4351.040039,4369.77002,4369.77002,39536410000
2014,8,6.1,1.70%,4363.390137,4580.27002,4321.890137,4580.27002,4580.27002,33417300000
2014,9,5.9,1.70%,4592.419922,4610.569824,4464.439941,4493.390137,4493.390137,39631130000
2014,10,5.7,1.70%,4486.649902,4641.509766,4116.600098,4630.740234,4630.740234,50136190000
2014,11,5.8,1.30%,4633.709961,4810.859863,4594.919922,4791.629883,4791.629883,32967990000
2014,12,5.6,0.80%,4777.72998,4814.950195,4547.310059,4736.049805,4736.049805,39587090000
2015,1,5.7,-0.10%,4760.240234,4777.009766,4563.109863,4635.240234,4635.240234,38719030000
2015,2,5.5,0.00%,4650.600098,4989.25,4580.459961,4963.529785,4963.529785,35773090000
2015,3,5.4,-0.10%,4973.430176,5042.140137,4825.930176,4900.879883,4900.879883,41204240000
2015,4,5.4,-0.20%,4894.359863,5119.830078,4844.390137,4941.419922,4941.419922,37409760000
2015,5,5.6,0.00%,4966.319824,5111.540039,4888.169922,5070.029785,5070.029785,35994540000
2015,6,5.3,0.10%,5094.939941,5164.359863,4956.22998,4986.870117,4986.870117,41338820000
2015,7,5.2,0.20%,5029.049805,5231.939941,4901.509766,5128.279785,5128.279785,40633420000
2015,8,5.1,0.20%,5134.339844,5175.259766,4292.140137,4776.509766,4776.509766,43408300000
2015,9,5,0.00%,4673.609863,4960.870117,4487.060059,4620.160156,4620.160156,41503920000
2015,10,5,0.20%,4624.459961,5095.689941,4552.339844,5053.75,5053.75,42348240000
2015,11,5.1,0.50%,5065.640137,5163.470215,4908.660156,5108.669922,5108.669922,36834860000
2015,12,5,0.70%,5129.640137,5176.77002,4871.589844,5007.410156,5007.410156,40617940000
2016,1,4.8,1.40%,4897.649902,4926.72998,4313.390137,4613.950195,4613.950195,44877130000
