variable,dtype,var_type,role,isCount,weighting_var
Year,int64,ordinal,['splitby'],False,
Month,int64,ordinal,['ignore'],False,
Unemployment rate,float64,continuous,"['independent', 'dependent']",False,
CPI,object,categorical,"['independent', 'dependent']",False,
Open,float64,continuous,['ignore'],False,
High,float64,continuous,['ignore'],False,
Low,float64,continuous,['ignore'],False,
Close,float64,continuous,"['independent', 'dependent']",False,
Adj Close,float64,continuous,['ignore'],False,
Volume,float64,continuous,"['independent', 'dependent']",False,
