Year,Month,UnempoymentRate,CPI,Open,High,Low,Close,AdjClose,Volume
2021,1,6.4,0.014,12958.51953,13728.98047,12543.24023,13070.69043,13070.69043,1.40E+11
2021,2,6.2,0.017,13226.17969,14175.12012,13003.98047,13192.34961,13192.34961,1.43E+11
2021,3,6.1,0.026,13406.16016,13620.70996,12397.04981,13246.87012,13246.87012,1.34E+11
2021,4,6.1,0.042,13414.32031,14211.57031,13404.17969,13962.67969,13962.67969,91591470000
2021,5,5.8,0.05,14031.76953,14042.12012,13002.54004,13748.74023,13748.74023,89415440000
2021,6,5.9,0.054,13829.05957,14535.96973,13548.92969,14503.9502,14503.9502,1.08E+11
2021,7,5.4,0.054,14493.69043,14863.65039,14178.66016,14672.67969,14672.67969,88708530000
2021,8,5.1,0.053,14758.59961,15288.08008,14423.16016,15259.24023,15259.24023,88083480000
2021,9,4.7,0.054,15308.98047,15403.44043,14444.29981,14448.58008,14448.58008,95275100000
2021,10,4.5,0.062,14494.92969,15504.12012,14181.69043,15498.38965,15498.38965,99492020000
2021,11,4.1,0.068,15541.25977,16212.23047,15451.38965,15537.69043,15537.69043,1.09E+11
2021,12,3.9,0.07,15752.26953,15901.46973,14860.04004,15644.96973,15644.96973,1.04E+11
2022,1,4,0.075,15732.5,15852.13965,13094.65039,14239.87988,14239.87988,1.00E+11
2022,2,3.8,0.079,14277.42969,14509.55957,12587.87988,13751.40039,13751.40039,89543300000
2022,3,3.6,0.085,13716.7002,14646.90039,12555.34961,14220.51953,14220.51953,1.31E+11
2022,4,3.7,0.083,14269.53027,14534.37988,12315.74023,12334.63965,12334.63965,96581010000
2022,5,3.6,0.086,12331.69043,12985.00977,11035.69043,12081.38965,12081.38965,1.11E+11
2022,6,3.6,0.091,12176.88965,12320.12012,10565.13965,11028.74023,11028.74023,1.14E+11
2022,7,3.5,0.085,11006.83008,12426.25977,10911.4502,12390.69043,12390.69043,94293720000
2022,8,3.6,0.083,12317.95996,13181.08984,11790.01953,11816.2002,11816.2002,1.10E+11
2022,9,3.5,0.082,11707.44043,12270.19043,10572.33008,10575.62012,10575.62012,98888530000
2022,10,3.6,0.077,10659.00977,11230.44043,10088.83008,10988.15039,10988.15039,98292380000
2022,11,3.6,0.071,11154.74023,11492.62012,10262.92969,11468,11468,1.02E+11
2022,12,3.5,0.065,11475.16992,11571.63965,10207.46973,10466.48047,10466.48047,1.00E+11
2023,1,3.4,0.064,10562.05957,11691.88965,10265.04004,11584.54981,11584.54981,1.07E+11
2023,2,3.6,0.06,11573.13965,12269.54981,11334.46973,11455.54004,11455.54004,99644100000
2023,3,3.5,0.05,11447.58008,12227.92969,10982.79981,12221.91016,12221.91016,1.20E+11
2023,4,3.4,0.049,12146.08984,12245.42969,11798.76953,12226.58008,12226.58008,90509520000
2023,5,3.7,0.04,12210.04981,13154.29004,11925.37012,12935.29004,12935.29004,1.01E+11
2023,6,3.6,0.03,12944.45996,13864.05957,12903.62988,13787.91992,13787.91992,1.08E+11
2023,7,3.5,0.032,13798.7002,14446.54981,13567.25,14346.01953,14346.01953,96983440000
2023,8,3.8,0.037,14274.92969,14309.20996,13161.75977,14034.96973,14034.96973,1.11E+11
2023,9,3.8,0.037,14129.95996,14149.62012,12963.16016,13219.32031,13219.32031,94727650000
2023,10,3.8,0.032,13217.98047,13714.13965,12543.86035,12851.24023,12851.24023,97818540000
2023,11,3.7,0.031,12887.05957,14423.21973,12875.2002,14226.21973,14226.21973,95884580000
2023,12,3.7,0.034,14181.34961,15150.07031,14058.51953,15011.34961,15011.34961,1.20E+11
