variable,dtype,var_type,role,isCount,weighting_var
Year,int64,ordinal,['splitby'],FALSE,
Month,int64,ordinal,['ignore'],FALSE,
UnemploymentRate,float64,continuous,['independent'],FALSE,
CPI,float64,continuous,['independent'],FALSE,
Open,float64,continuous,['ignore'],FALSE,
High,float64,continuous,['ignore'],FALSE,
Low,float64,continuous,['ignore'],FALSE,
Close,float64,continuous,['dependent'],FALSE,
AdjClose,float64,continuous,['ignore'],FALSE,
Volume,float64,continuous,"['independent', 'dependent']",FALSE,
