ID,Total VAP,Party,Partisan Lean
1,610601,Dem,0.4725
2,605498,Dem,0.32
3,612600,Dem,0.6857
4,598377,Dem,0.3161
5,611712,Dem,0.3771
6,630924,Dem,0.4183
7,613931,Dem,0.4054
8,602499,Dem,0.3643
9,614128,Dem,0.48100000000000004
10,616057,Dem,0.4532
11,622345,Dem,0.7833
12,607868,Dem,0.3496
13,625362,Dem,0.4929
14,631072,Dem,0.4412
15,604588,Dem,0.4468
1,610601,Rep,0.5043
2,605498,Rep,0.6575
3,612600,Rep,0.2917
4,598377,Rep,0.659
5,611712,Rep,0.5938
6,630924,Rep,0.5581
7,613931,Rep,0.5681
8,602499,Rep,0.6128
9,614128,Rep,0.4904
10,616057,Rep,0.522
11,622345,Rep,0.1966
12,607868,Rep,0.6247
13,625362,Rep,0.4841
14,631072,Rep,0.5335
15,604588,Rep,0.5296
1,610601,Oth,0.0232
2,605498,Oth,0.0225
3,612600,Oth,0.0225
4,598377,Oth,0.0249
5,611712,Oth,0.028999999999999998
6,630924,Oth,0.0236
7,613931,Oth,0.0265
8,602499,Oth,0.0228
9,614128,Oth,0.0286
10,616057,Oth,0.0248
11,622345,Oth,0.02
12,607868,Oth,0.0257
13,625362,Oth,0.023
14,631072,Oth,0.0253
15,604588,Oth,0.0236
