FriendlyId,district2020,district2022,party,votes2016,votes2020,state
39061031AKJ,1,1,Dem,478,400,OHIO
39061031ABK,2,1,Dem,446,537,OHIO
39061031BKQ,2,8,Dem,554,698,OHIO
39061031BLU,2,8,Dem,530,582,OHIO
39061031AYG,2,8,Dem,679,822,OHIO
39061031AOO,1,1,Dem,353,454,OHIO
39061031BQN,1,1,Dem,404,551,OHIO
39167084ABR,6,6,Dem,95,123,OHIO
39061031BNQ,1,1,Dem,332,424,OHIO
39061031BKN,1,8,Dem,503,572,OHIO
39061031ABE,2,1,Dem,293,359,OHIO
39061031AFB,1,1,Dem,115,472,OHIO
39061031AJP,1,1,Dem,455,433,OHIO
39061031AVB,2,1,Dem,311,411,OHIO
39061031AWL,1,1,Dem,232,258,OHIO
39061031BDM,2,1,Dem,308,361,OHIO
39061031BHE,1,8,Dem,261,329,OHIO
39061031BOM,2,8,Dem,847,879,OHIO
39061031AKY,1,1,Dem,304,291,OHIO
39061031AFA,1,1,Dem,598,777,OHIO
39061031AFC,1,1,Dem,658,757,OHIO
39061031AJA,2,1,Dem,729,795,OHIO
39061031AJN,1,1,Dem,800,1029,OHIO
39061031BOI,1,8,Dem,155,267,OHIO
39061031ABB,2,1,Dem,59,65,OHIO
39061031AUG,2,8,Dem,341,427,OHIO
39061031AKL,1,1,Dem,509,684,OHIO
39061031AMU,1,1,Dem,549,609,OHIO
39061031ACI,2,1,Dem,532,821,OHIO
39061031BEB,1,1,Dem,257,306,OHIO
39061031AXW,1,8,Dem,322,363,OHIO
39061031ASP,2,1,Dem,317,518,OHIO
39061031AMC,1,1,Dem,438,484,OHIO
39061031BMW,2,1,Dem,430,533,OHIO
39061031BHG,1,8,Dem,238,293,OHIO
39061031BHV,1,8,Dem,227,312,OHIO
39061031AAF,2,1,Dem,277,346,OHIO
39077039ABE,7,5,Dem,203,235,OHIO
39077039ACK,7,5,Dem,63,52,OHIO
39077039ABP,7,5,Dem,65,68,OHIO
39013007ACL,6,6,Dem,144,151,OHIO
39013007AAB,6,6,Dem,171,157,OHIO
39077039ACF,7,5,Dem,135,135,OHIO
39077039ACI,4,5,Dem,186,189,OHIO
39061031BMO,2,1,Dem,414,474,OHIO
39061031AGN,1,1,Dem,522,373,OHIO
39061031BOF,2,1,Dem,227,278,OHIO
39061031ARG,2,1,Dem,293,406,OHIO
39061031ARE,2,1,Dem,240,333,OHIO
39061031AQZ,2,1,Dem,290,386,OHIO
39061031AKX,1,1,Dem,284,322,OHIO
39061031BAS,2,1,Dem,312,422,OHIO
39005003ACO,7,4,Dem,115,136,OHIO
39013007ADK,6,6,Dem,96,103,OHIO
39013007ADW,6,6,Dem,69,72,OHIO
39013007ADI,6,6,Dem,207,202,OHIO
39127064AAY,15,12,Dem,225,235,OHIO
39127064AAQ,15,12,Dem,86,71,OHIO
39127064AAR,15,12,Dem,83,81,OHIO
39129065ABD,15,2,Dem,127,128,OHIO
39077039ACM,4,5,Dem,223,247,OHIO
39005003ABI,7,4,Dem,183,201,OHIO
39005003ACH,7,4,Dem,60,94,OHIO
39005003ACB,7,4,Dem,62,65,OHIO
39077039ABT,4,5,Dem,146,162,OHIO
39077039ABU,7,5,Dem,149,167,OHIO
39077039AAD,4,5,Dem,250,274,OHIO
39077039ABA,7,5,Dem,132,120,OHIO
39013007ACN,6,6,Dem,150,151,OHIO
39013007ABG,6,6,Dem,32,34,OHIO
39013007ADD,6,6,Dem,64,59,OHIO
39083042AAY,7,12,Dem,97,118,OHIO
39059030ABE,6,12,Dem,190,192,OHIO
39059030ABR,6,12,Dem,72,65,OHIO
39059030ACR,6,12,Dem,132,130,OHIO
39059030AAX,6,12,Dem,152,196,OHIO
39059030ABS,6,12,Dem,105,120,OHIO
39059030AAA,6,12,Dem,208,233,OHIO
39059030ABU,6,12,Dem,93,76,OHIO
39129065AAQ,15,2,Dem,68,69,OHIO
39127064ABM,15,12,Dem,114,93,OHIO
39127064ABN,15,12,Dem,143,136,OHIO
39127064AAM,15,12,Dem,98,101,OHIO
39129065ABJ,15,2,Dem,118,137,OHIO
39127064ABK,15,12,Dem,93,101,OHIO
39057029AHW,10,10,Dem,133,135,OHIO
39057029ACO,10,10,Dem,182,277,OHIO
39057029AFG,10,10,Dem,203,219,OHIO
39057029AHJ,10,10,Dem,576,528,OHIO
39167084ABP,6,6,Dem,155,165,OHIO
39129065AAI,15,2,Dem,266,269,OHIO
39129065AAR,15,2,Dem,229,232,OHIO
39129065AAS,15,2,Dem,110,112,OHIO
39129065ABM,15,2,Dem,124,140,OHIO
39059030ACK,6,12,Dem,139,119,OHIO
39075038AAX,7,12,Dem,96,99,OHIO
39129065AAW,15,2,Dem,202,190,OHIO
39057029AFS,10,10,Dem,235,239,OHIO
39057029AIP,10,10,Dem,120,153,OHIO
39057029AFN,10,10,Dem,158,131,OHIO
39057029AGZ,10,10,Dem,57,64,OHIO
39083042AAO,7,12,Dem,184,223,OHIO
39083042ABO,7,12,Dem,103,110,OHIO
39129065ABI,15,2,Dem,99,93,OHIO
39129065ABZ,15,2,Dem,58,57,OHIO
39083042ABL,7,12,Dem,146,157,OHIO
39083042ACB,7,12,Dem,120,167,OHIO
39081041ADW,6,6,Dem,231,243,OHIO
39121061AAL,6,6,Dem,57,45,OHIO
39121061AAJ,6,6,Dem,45,45,OHIO
39059030ABM,6,12,Dem,120,122,OHIO
39059030ABG,6,12,Dem,125,162,OHIO
39121061AAS,6,6,Dem,97,101,OHIO
39121061AAC,6,6,Dem,129,125,OHIO
39097049AAG,15,15,Dem,246,289,OHIO
39127064ABE,15,12,Dem,192,195,OHIO
39077039AAL,4,5,Dem,207,278,OHIO
39077039ABJ,7,5,Dem,154,173,OHIO
39063032ACL,5,5,Dem,83,86,OHIO
39063032ABV,5,5,Dem,139,166,OHIO
39063032ABH,5,5,Dem,124,131,OHIO
39063032AAP,5,5,Dem,199,236,OHIO
39063032ACB,5,5,Dem,194,272,OHIO
39103052AFW,16,7,Dem,295,380,OHIO
39009005ABM,15,12,Dem,333,382,OHIO
39009005AAA,15,12,Dem,638,576,OHIO
39009005ABU,15,12,Dem,199,207,OHIO
39009005ABT,15,12,Dem,250,291,OHIO
39009005ACC,15,12,Dem,294,311,OHIO
39009005ACE,15,12,Dem,282,270,OHIO
39009005ABB,15,12,Dem,168,208,OHIO
39077039ACC,4,5,Dem,174,163,OHIO
39097049AAO,15,15,Dem,208,227,OHIO
39097049AAJ,15,15,Dem,225,444,OHIO
39097049AAH,15,15,Dem,190,236,OHIO
39097049AAK,15,15,Dem,55,68,OHIO
39103052AEE,7,7,Dem,232,270,OHIO
39063032ACI,5,5,Dem,109,144,OHIO
39063032AAL,5,5,Dem,211,229,OHIO
39063032ACR,5,5,Dem,179,218,OHIO
39063032ACO,5,5,Dem,79,99,OHIO
39063032ABY,5,5,Dem,152,200,OHIO
39063032ABR,5,5,Dem,94,90,OHIO
39063032ABI,5,5,Dem,149,203,OHIO
39013007ADF,6,6,Dem,100,110,OHIO
39013007ACP,6,6,Dem,90,84,OHIO
39013007ABN,6,6,Dem,184,171,OHIO
39097049AAL,15,15,Dem,151,147,OHIO
39097049AAM,15,15,Dem,179,188,OHIO
39059030AAJ,6,12,Dem,132,139,OHIO
39083042AAS,7,12,Dem,99,107,OHIO
39129065AAF,15,2,Dem,173,234,OHIO
39119060ACO,12,12,Dem,124,118,OHIO
39119060ACM,12,12,Dem,41,48,OHIO
39119060ACL,6,12,Dem,200,230,OHIO
39119060AAX,6,12,Dem,29,30,OHIO
39119060ABZ,6,12,Dem,35,39,OHIO
39119060AAT,12,12,Dem,282,296,OHIO
39119060ACI,12,12,Dem,165,161,OHIO
39119060ABN,12,12,Dem,159,149,OHIO
39119060ACN,6,12,Dem,74,64,OHIO
39119060ABX,6,12,Dem,120,111,OHIO
39119060AAI,12,12,Dem,256,262,OHIO
39083042AAE,7,12,Dem,153,144,OHIO
39083042ABQ,7,12,Dem,103,114,OHIO
39115058AAL,15,12,Dem,183,180,OHIO
39115058AAP,15,12,Dem,175,163,OHIO
39115058AAS,15,12,Dem,94,92,OHIO
39115058AAU,15,12,Dem,204,225,OHIO
39059030ABQ,6,12,Dem,82,93,OHIO
39121061AAV,6,6,Dem,106,92,OHIO
39059030ACE,6,12,Dem,193,211,OHIO
39059030AAW,6,12,Dem,231,207,OHIO
39135068ABQ,8,8,Dem,96,107,OHIO
39135068AAL,8,8,Dem,204,228,OHIO
39135068AAP,8,8,Dem,191,203,OHIO
39135068ABH,8,8,Dem,42,46,OHIO
39035018BWA,9,11,Dem,586,773,OHIO
39035018ARI,11,11,Dem,395,335,OHIO
39035018ANN,11,11,Dem,369,189,OHIO
39035018ACA,11,11,Dem,355,319,OHIO
39035018CTP,11,11,Dem,636,711,OHIO
39035018CME,16,7,Dem,365,373,OHIO
39035018AON,11,11,Dem,364,215,OHIO
39035018CDB,16,7,Dem,391,432,OHIO
39035018BTA,11,11,Dem,337,379,OHIO
39035018BOO,11,11,Dem,452,554,OHIO
