ID,Total VAP,Race,Race Percentage
1,597950,White,0.6224
2,609272,White,0.6542
3,594875,White,0.6473
4,605586,White,0.6792
5,603015,White,0.6579
1,597950,Black,0.1029
2,609272,Black,0.0425
3,594875,Black,0.0624
4,605586,Black,0.0917
5,603015,Black,0.1308
1,597950,Asian,0.0384
2,609272,Asian,0.0102
3,594875,Asian,0.0206
4,605586,Asian,0.0343
5,603015,Asian,0.0417
1,597950,Hispanic,0.1144
2,609272,Hispanic,0.0434
3,594875,Hispanic,0.1697
4,605586,Hispanic,0.0835
5,603015,Hispanic,0.0817
1,597950,Native,0.1308
2,609272,Native,0.2542
3,594875,Native,0.1061
4,605586,Native,0.1157
5,603015,Native,0.0944
1,597950,Pacific,0.0023
2,609272,Pacific,0.0018
3,594875,Pacific,0.0052
4,605586,Pacific,0.0036
5,603015,Pacific,0.0022
