state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,190415,DEMOCRAT,KOJO ASAMOA-CAESAR,66
OKLAHOMA,1,1,190415,REPUBLICAN,KEVIN HERN,395
OKLAHOMA,1,1,190416,DEMOCRAT,KOJO ASAMOA-CAESAR,108
OKLAHOMA,1,1,190416,REPUBLICAN,KEVIN HERN,683
OKLAHOMA,1,1,190417,DEMOCRAT,KOJO ASAMOA-CAESAR,258
OKLAHOMA,1,1,190417,REPUBLICAN,KEVIN HERN,1573
OKLAHOMA,1,1,660006,DEMOCRAT,KOJO ASAMOA-CAESAR,154
OKLAHOMA,1,1,660006,REPUBLICAN,KEVIN HERN,795
OKLAHOMA,1,1,660010,DEMOCRAT,KOJO ASAMOA-CAESAR,405
OKLAHOMA,1,1,660010,REPUBLICAN,KEVIN HERN,1485
OKLAHOMA,1,1,660021,DEMOCRAT,KOJO ASAMOA-CAESAR,82
OKLAHOMA,1,1,660021,REPUBLICAN,KEVIN HERN,594
OKLAHOMA,1,1,660025,DEMOCRAT,KOJO ASAMOA-CAESAR,48
OKLAHOMA,1,1,660025,REPUBLICAN,KEVIN HERN,220
OKLAHOMA,1,1,660031,DEMOCRAT,KOJO ASAMOA-CAESAR,442
OKLAHOMA,1,1,660031,REPUBLICAN,KEVIN HERN,1492
OKLAHOMA,1,1,660130,DEMOCRAT,KOJO ASAMOA-CAESAR,571
OKLAHOMA,1,1,660130,REPUBLICAN,KEVIN HERN,2127
OKLAHOMA,1,1,720001,DEMOCRAT,KOJO ASAMOA-CAESAR,577
OKLAHOMA,1,1,720001,REPUBLICAN,KEVIN HERN,63
OKLAHOMA,1,1,720002,DEMOCRAT,KOJO ASAMOA-CAESAR,558
OKLAHOMA,1,1,720002,REPUBLICAN,KEVIN HERN,114
OKLAHOMA,1,1,720003,DEMOCRAT,KOJO ASAMOA-CAESAR,124
OKLAHOMA,1,1,720003,REPUBLICAN,KEVIN HERN,199
OKLAHOMA,1,1,720004,DEMOCRAT,KOJO ASAMOA-CAESAR,616
OKLAHOMA,1,1,720004,REPUBLICAN,KEVIN HERN,86
OKLAHOMA,1,1,720005,DEMOCRAT,KOJO ASAMOA-CAESAR,323
OKLAHOMA,1,1,720005,REPUBLICAN,KEVIN HERN,67
OKLAHOMA,1,1,720006,DEMOCRAT,KOJO ASAMOA-CAESAR,691
OKLAHOMA,1,1,720006,REPUBLICAN,KEVIN HERN,62
OKLAHOMA,1,1,720007,DEMOCRAT,KOJO ASAMOA-CAESAR,271
OKLAHOMA,1,1,720007,REPUBLICAN,KEVIN HERN,50
OKLAHOMA,1,1,720008,DEMOCRAT,KOJO ASAMOA-CAESAR,301
OKLAHOMA,1,1,720008,REPUBLICAN,KEVIN HERN,104
OKLAHOMA,1,1,720009,DEMOCRAT,KOJO ASAMOA-CAESAR,108
OKLAHOMA,1,1,720009,REPUBLICAN,KEVIN HERN,32
OKLAHOMA,1,1,720010,DEMOCRAT,KOJO ASAMOA-CAESAR,386
OKLAHOMA,1,1,720010,REPUBLICAN,KEVIN HERN,63
OKLAHOMA,1,1,720011,DEMOCRAT,KOJO ASAMOA-CAESAR,254
OKLAHOMA,1,1,720011,REPUBLICAN,KEVIN HERN,185
OKLAHOMA,1,1,720012,DEMOCRAT,KOJO ASAMOA-CAESAR,222
OKLAHOMA,1,1,720012,REPUBLICAN,KEVIN HERN,144
OKLAHOMA,1,1,720013,DEMOCRAT,KOJO ASAMOA-CAESAR,658
OKLAHOMA,1,1,720013,REPUBLICAN,KEVIN HERN,55
OKLAHOMA,1,1,720014,DEMOCRAT,KOJO ASAMOA-CAESAR,550
OKLAHOMA,1,1,720014,REPUBLICAN,KEVIN HERN,90
OKLAHOMA,1,1,720015,DEMOCRAT,KOJO ASAMOA-CAESAR,257
OKLAHOMA,1,1,720015,REPUBLICAN,KEVIN HERN,97
OKLAHOMA,1,1,720016,DEMOCRAT,KOJO ASAMOA-CAESAR,73
OKLAHOMA,1,1,720016,REPUBLICAN,KEVIN HERN,77
OKLAHOMA,1,1,720017,DEMOCRAT,KOJO ASAMOA-CAESAR,148
OKLAHOMA,1,1,720017,REPUBLICAN,KEVIN HERN,155
OKLAHOMA,1,1,720018,DEMOCRAT,KOJO ASAMOA-CAESAR,141
OKLAHOMA,1,1,720018,REPUBLICAN,KEVIN HERN,173
OKLAHOMA,1,1,720019,DEMOCRAT,KOJO ASAMOA-CAESAR,141
OKLAHOMA,1,1,720019,REPUBLICAN,KEVIN HERN,226
OKLAHOMA,1,1,720020,DEMOCRAT,KOJO ASAMOA-CAESAR,169
OKLAHOMA,1,1,720020,REPUBLICAN,KEVIN HERN,184
OKLAHOMA,1,1,720021,DEMOCRAT,KOJO ASAMOA-CAESAR,5
OKLAHOMA,1,1,720021,REPUBLICAN,KEVIN HERN,41
OKLAHOMA,1,1,720022,DEMOCRAT,KOJO ASAMOA-CAESAR,156
OKLAHOMA,1,1,720022,REPUBLICAN,KEVIN HERN,264
OKLAHOMA,1,1,720023,DEMOCRAT,KOJO ASAMOA-CAESAR,86
OKLAHOMA,1,1,720023,REPUBLICAN,KEVIN HERN,205
OKLAHOMA,1,1,720024,DEMOCRAT,KOJO ASAMOA-CAESAR,127
OKLAHOMA,1,1,720024,REPUBLICAN,KEVIN HERN,269
OKLAHOMA,1,1,720025,DEMOCRAT,KOJO ASAMOA-CAESAR,112
OKLAHOMA,1,1,720025,REPUBLICAN,KEVIN HERN,162
OKLAHOMA,1,1,720026,DEMOCRAT,KOJO ASAMOA-CAESAR,206
OKLAHOMA,1,1,720026,REPUBLICAN,KEVIN HERN,187
OKLAHOMA,1,1,720027,DEMOCRAT,KOJO ASAMOA-CAESAR,119
OKLAHOMA,1,1,720027,REPUBLICAN,KEVIN HERN,201
OKLAHOMA,1,1,720028,DEMOCRAT,KOJO ASAMOA-CAESAR,179
OKLAHOMA,1,1,720028,REPUBLICAN,KEVIN HERN,259
OKLAHOMA,1,1,720029,DEMOCRAT,KOJO ASAMOA-CAESAR,204
OKLAHOMA,1,1,720029,REPUBLICAN,KEVIN HERN,274
OKLAHOMA,1,1,720030,DEMOCRAT,KOJO ASAMOA-CAESAR,351
OKLAHOMA,1,1,720030,REPUBLICAN,KEVIN HERN,307
OKLAHOMA,1,1,720031,DEMOCRAT,KOJO ASAMOA-CAESAR,175
OKLAHOMA,1,1,720031,REPUBLICAN,KEVIN HERN,103
OKLAHOMA,1,1,720032,DEMOCRAT,KOJO ASAMOA-CAESAR,261
OKLAHOMA,1,1,720032,REPUBLICAN,KEVIN HERN,137
OKLAHOMA,1,1,720033,DEMOCRAT,KOJO ASAMOA-CAESAR,212
OKLAHOMA,1,1,720033,REPUBLICAN,KEVIN HERN,132
OKLAHOMA,1,1,720034,DEMOCRAT,KOJO ASAMOA-CAESAR,117
OKLAHOMA,1,1,720034,REPUBLICAN,KEVIN HERN,128
OKLAHOMA,1,1,720035,DEMOCRAT,KOJO ASAMOA-CAESAR,453
OKLAHOMA,1,1,720035,REPUBLICAN,KEVIN HERN,393
OKLAHOMA,1,1,720036,DEMOCRAT,KOJO ASAMOA-CAESAR,363
OKLAHOMA,1,1,720036,REPUBLICAN,KEVIN HERN,403
