FriendlyId,District2010Cycle,District2020Cycle,Party,Votes2016,Votes2020,state
40079000102,2,2,Dem,75,82,OKLAHOMA
40113000113,3,3,Dem,17,14,OKLAHOMA
40113000102,3,3,Dem,31,24,OKLAHOMA
40113000101,3,3,Dem,28,20,OKLAHOMA
40079000301,2,2,Dem,92,95,OKLAHOMA
40079000107,2,2,Dem,149,147,OKLAHOMA
40079000109,2,2,Dem,139,124,OKLAHOMA
40079000211,2,2,Dem,95,100,OKLAHOMA
40113000107,3,3,Dem,304,323,OKLAHOMA
40113000103,3,3,Dem,44,45,OKLAHOMA
40113000112,3,3,Dem,88,85,OKLAHOMA
40037000143,3,1,Dem,258,304,OKLAHOMA
40037000421,3,1,Dem,237,303,OKLAHOMA
40037000408,3,3,Dem,48,59,OKLAHOMA
40037000211,3,3,Dem,126,130,OKLAHOMA
40113000204,3,3,Dem,176,194,OKLAHOMA
40049000007,4,4,Dem,96,112,OKLAHOMA
40099000018,4,4,Dem,93,95,OKLAHOMA
40099000007,4,4,Dem,77,65,OKLAHOMA
40099000009,4,4,Dem,75,72,OKLAHOMA
40099000012,4,4,Dem,45,44,OKLAHOMA
40151000001,3,3,Dem,175,186,OKLAHOMA
40151000002,3,3,Dem,59,82,OKLAHOMA
40049000024,4,4,Dem,133,137,OKLAHOMA
40053000017,3,3,Dem,24,25,OKLAHOMA
40045000006,3,3,Dem,6,4,OKLAHOMA
40045000008,3,3,Dem,15,16,OKLAHOMA
40045000003,3,3,Dem,36,40,OKLAHOMA
40007000025,3,3,Dem,18,23,OKLAHOMA
40007000013,3,3,Dem,5,2,OKLAHOMA
40053000011,3,3,Dem,23,23,OKLAHOMA
40053000025,3,3,Dem,54,46,OKLAHOMA
40007000023,3,3,Dem,78,89,OKLAHOMA
40027000016,4,4,Dem,379,512,OKLAHOMA
40027000089,4,4,Dem,633,956,OKLAHOMA
40027000034,4,4,Dem,336,357,OKLAHOMA
40053000029,3,3,Dem,32,33,OKLAHOMA
40007000033,3,3,Dem,48,52,OKLAHOMA
40079000104,2,2,Dem,138,117,OKLAHOMA
40037000402,3,1,Dem,195,203,OKLAHOMA
40113000301,3,3,Dem,163,181,OKLAHOMA
40113000205,3,3,Dem,66,85,OKLAHOMA
40095000202,2,2,Dem,109,89,OKLAHOMA
40125000012,5,5,Dem,312,387,OKLAHOMA
40125000006,5,5,Dem,258,314,OKLAHOMA
40125000027,5,5,Dem,143,168,OKLAHOMA
40033000003,4,4,Dem,62,65,OKLAHOMA
40053000026,3,3,Dem,26,25,OKLAHOMA
40037000122,3,1,Dem,182,166,OKLAHOMA
40113000201,3,3,Dem,400,448,OKLAHOMA
40113000306,3,3,Dem,90,80,OKLAHOMA
40037000311,3,3,Dem,168,143,OKLAHOMA
40071000503,3,3,Dem,277,322,OKLAHOMA
40071000001,3,3,Dem,164,143,OKLAHOMA
40071000413,3,3,Dem,212,238,OKLAHOMA
40071000412,3,3,Dem,61,63,OKLAHOMA
40071000517,3,3,Dem,242,267,OKLAHOMA
40079000311,2,2,Dem,103,118,OKLAHOMA
40067000009,4,4,Dem,88,70,OKLAHOMA
40121000031,2,2,Dem,70,87,OKLAHOMA
40121000028,2,2,Dem,54,38,OKLAHOMA
40121000037,2,2,Dem,112,98,OKLAHOMA
40121000041,2,2,Dem,159,159,OKLAHOMA
40121000015,2,2,Dem,100,82,OKLAHOMA
40121000020,2,2,Dem,18,12,OKLAHOMA
40121000047,2,2,Dem,84,83,OKLAHOMA
40121000034,2,2,Dem,163,143,OKLAHOMA
40139000304,3,3,Dem,53,75,OKLAHOMA
40071000101,3,3,Dem,170,180,OKLAHOMA
40071000516,3,3,Dem,202,183,OKLAHOMA
40071000202,3,3,Dem,147,164,OKLAHOMA
40121000038,2,2,Dem,5,6,OKLAHOMA
40121000027,2,2,Dem,186,240,OKLAHOMA
40121000046,2,2,Dem,32,42,OKLAHOMA
40121000026,2,2,Dem,64,62,OKLAHOMA
40121000029,2,2,Dem,51,60,OKLAHOMA
40121000036,2,2,Dem,34,47,OKLAHOMA
40121000019,2,2,Dem,42,39,OKLAHOMA
40139000205,3,3,Dem,80,115,OKLAHOMA
40139000201,3,3,Dem,154,164,OKLAHOMA
40139000305,3,3,Dem,173,172,OKLAHOMA
40139000202,3,3,Dem,98,83,OKLAHOMA
40079000208,2,2,Dem,170,159,OKLAHOMA
40139000104,3,3,Dem,41,43,OKLAHOMA
40067000003,4,4,Dem,14,12,OKLAHOMA
40139000303,3,3,Dem,39,42,OKLAHOMA
40139000302,3,3,Dem,12,11,OKLAHOMA
40139000101,3,3,Dem,79,73,OKLAHOMA
40027000064,4,4,Dem,263,377,OKLAHOMA
40027000068,4,4,Dem,556,869,OKLAHOMA
40027000095,4,4,Dem,113,130,OKLAHOMA
40027000015,4,4,Dem,717,785,OKLAHOMA
40027000030,4,4,Dem,337,444,OKLAHOMA
40033000004,4,4,Dem,72,58,OKLAHOMA
40033000009,4,4,Dem,48,59,OKLAHOMA
40033000005,4,4,Dem,109,93,OKLAHOMA
40095000302,2,2,Dem,86,88,OKLAHOMA
40131000130,1,1,Dem,542,689,OKLAHOMA
40131000033,2,2,Dem,81,113,OKLAHOMA
40139000107,3,3,Dem,14,16,OKLAHOMA
40139000102,3,3,Dem,115,100,OKLAHOMA
40091000203,2,2,Dem,180,164,OKLAHOMA
40117000314,3,3,Dem,142,136,OKLAHOMA
40117000217,3,3,Dem,135,156,OKLAHOMA
40117000104,3,3,Dem,126,125,OKLAHOMA
40117000215,3,3,Dem,45,40,OKLAHOMA
40145000308,1,1,Dem,196,217,OKLAHOMA
40145000101,1,1,Dem,196,214,OKLAHOMA
40111000018,2,2,Dem,142,120,OKLAHOMA
40111000014,2,2,Dem,99,94,OKLAHOMA
40111000016,2,2,Dem,154,130,OKLAHOMA
40067000006,4,4,Dem,70,66,OKLAHOMA
