state,FriendlyId,district2010,district2020,party,votes
OKLAHOMA,40079000102,2,2,Dem,82
OKLAHOMA,40113000113,3,3,Dem,14
OKLAHOMA,40113000102,3,3,Dem,24
OKLAHOMA,40113000101,3,3,Dem,20
OKLAHOMA,40079000301,2,2,Dem,95
OKLAHOMA,40079000107,2,2,Dem,147
OKLAHOMA,40079000109,2,2,Dem,124
OKLAHOMA,40079000211,2,2,Dem,100
OKLAHOMA,40113000107,3,3,Dem,323
OKLAHOMA,40113000103,3,3,Dem,45
OKLAHOMA,40113000112,3,3,Dem,85
OKLAHOMA,40037000143,3,1,Dem,304
OKLAHOMA,40037000421,3,1,Dem,303
OKLAHOMA,40037000408,3,3,Dem,59
OKLAHOMA,40037000211,3,3,Dem,130
OKLAHOMA,40113000204,3,3,Dem,194
OKLAHOMA,40049000007,4,4,Dem,112
OKLAHOMA,40099000018,4,4,Dem,95
OKLAHOMA,40099000007,4,4,Dem,65
OKLAHOMA,40099000009,4,4,Dem,72
OKLAHOMA,40099000012,4,4,Dem,44
OKLAHOMA,40151000001,3,3,Dem,186
OKLAHOMA,40151000002,3,3,Dem,82
OKLAHOMA,40049000024,4,4,Dem,137
OKLAHOMA,40053000017,3,3,Dem,25
OKLAHOMA,40045000006,3,3,Dem,4
OKLAHOMA,40045000008,3,3,Dem,16
OKLAHOMA,40045000003,3,3,Dem,40
OKLAHOMA,40007000025,3,3,Dem,23
OKLAHOMA,40007000013,3,3,Dem,2
OKLAHOMA,40053000011,3,3,Dem,23
OKLAHOMA,40053000025,3,3,Dem,46
OKLAHOMA,40007000023,3,3,Dem,89
OKLAHOMA,40027000016,4,4,Dem,512
OKLAHOMA,40027000089,4,4,Dem,956
OKLAHOMA,40027000034,4,4,Dem,357
OKLAHOMA,40053000029,3,3,Dem,33
OKLAHOMA,40007000033,3,3,Dem,52
OKLAHOMA,40079000104,2,2,Dem,117
OKLAHOMA,40037000402,3,1,Dem,203
OKLAHOMA,40113000301,3,3,Dem,181
OKLAHOMA,40113000205,3,3,Dem,85
OKLAHOMA,40095000202,2,2,Dem,89
OKLAHOMA,40125000012,5,5,Dem,387
OKLAHOMA,40125000006,5,5,Dem,314
OKLAHOMA,40125000027,5,5,Dem,168
OKLAHOMA,40033000003,4,4,Dem,65
OKLAHOMA,40053000026,3,3,Dem,25
OKLAHOMA,40037000122,3,1,Dem,166
OKLAHOMA,40113000201,3,3,Dem,448
OKLAHOMA,40113000306,3,3,Dem,80
OKLAHOMA,40037000311,3,3,Dem,143
OKLAHOMA,40071000503,3,3,Dem,322
OKLAHOMA,40071000001,3,3,Dem,143
OKLAHOMA,40071000413,3,3,Dem,238
OKLAHOMA,40071000412,3,3,Dem,63
OKLAHOMA,40071000517,3,3,Dem,267
OKLAHOMA,40079000311,2,2,Dem,118
OKLAHOMA,40067000009,4,4,Dem,70
