FriendlyId,district2020,district2022,party,votes2016,votes2020,state
42035000100,12,15,Dem,129,158,PENNSYLVANIA
42099000250,12,13,Dem,166,212,PENNSYLVANIA
42099000260,12,13,Dem,70,72,PENNSYLVANIA
42099000040,12,13,Dem,511,648,PENNSYLVANIA
42099000150,12,13,Dem,375,539,PENNSYLVANIA
42099000020,12,13,Dem,129,166,PENNSYLVANIA
42003005041,18,12,Dem,297,245,PENNSYLVANIA
42003000430,17,17,Dem,129,169,PENNSYLVANIA
42003000411,17,17,Dem,417,551,PENNSYLVANIA
42003002571,17,17,Dem,199,238,PENNSYLVANIA
42007000985,17,17,Dem,420,480,PENNSYLVANIA
42007000435,17,17,Dem,318,379,PENNSYLVANIA
42007000975,17,17,Dem,326,385,PENNSYLVANIA
42007001460,17,17,Dem,186,214,PENNSYLVANIA
42007001040,17,17,Dem,366,401,PENNSYLVANIA
42007000065,17,17,Dem,383,462,PENNSYLVANIA
42099000065,12,13,Dem,174,248,PENNSYLVANIA
42099000240,12,13,Dem,294,377,PENNSYLVANIA
42099000120,12,13,Dem,25,28,PENNSYLVANIA
42099000050,12,13,Dem,215,309,PENNSYLVANIA
42099000270,12,13,Dem,230,303,PENNSYLVANIA
42099000191,12,13,Dem,133,158,PENNSYLVANIA
42007000780,17,17,Dem,317,420,PENNSYLVANIA
42007000510,17,17,Dem,164,189,PENNSYLVANIA
42007000550,17,17,Dem,291,325,PENNSYLVANIA
42007001240,17,17,Dem,269,330,PENNSYLVANIA
42007000015,17,17,Dem,525,482,PENNSYLVANIA
42007000995,17,17,Dem,427,478,PENNSYLVANIA
42007000500,17,17,Dem,207,231,PENNSYLVANIA
42007001210,17,17,Dem,142,165,PENNSYLVANIA
42007000075,17,17,Dem,307,352,PENNSYLVANIA
42099000290,12,13,Dem,30,29,PENNSYLVANIA
42099000330,12,13,Dem,298,387,PENNSYLVANIA
42099000320,12,13,Dem,142,163,PENNSYLVANIA
42099000080,12,13,Dem,137,167,PENNSYLVANIA
42099000100,12,13,Dem,33,33,PENNSYLVANIA
42007001480,17,17,Dem,159,190,PENNSYLVANIA
42007001560,17,17,Dem,220,267,PENNSYLVANIA
42007000055,17,17,Dem,578,738,PENNSYLVANIA
42007001185,17,17,Dem,305,349,PENNSYLVANIA
42007001380,17,17,Dem,112,147,PENNSYLVANIA
42007001055,17,17,Dem,315,339,PENNSYLVANIA
42007000440,17,17,Dem,315,435,PENNSYLVANIA
42007001320,17,17,Dem,94,109,PENNSYLVANIA
42007001175,17,17,Dem,260,319,PENNSYLVANIA
42007001290,17,17,Dem,185,205,PENNSYLVANIA
42007000405,17,17,Dem,331,359,PENNSYLVANIA
42007001148,17,17,Dem,142,154,PENNSYLVANIA
42007000155,17,17,Dem,265,348,PENNSYLVANIA
42007001080,17,17,Dem,124,149,PENNSYLVANIA
42003005880,18,12,Dem,264,286,PENNSYLVANIA
4200300E010,18,12,Dem,186,248,PENNSYLVANIA
4200300E140,18,12,Dem,188,341,PENNSYLVANIA
42003003360,17,17,Dem,262,332,PENNSYLVANIA
42003003700,18,12,Dem,211,192,PENNSYLVANIA
4200300B030,18,12,Dem,226,276,PENNSYLVANIA
42003000452,18,12,Dem,268,342,PENNSYLVANIA
42003000441,18,12,Dem,300,370,PENNSYLVANIA
42003000472,18,12,Dem,359,448,PENNSYLVANIA
42003001200,18,12,Dem,259,206,PENNSYLVANIA
42003001740,18,12,Dem,241,213,PENNSYLVANIA
4200300B130,18,12,Dem,225,279,PENNSYLVANIA
42067000200,12,13,Dem,193,217,PENNSYLVANIA
42007001535,17,17,Dem,349,362,PENNSYLVANIA
42007000265,17,17,Dem,298,348,PENNSYLVANIA
42007000005,17,17,Dem,99,105,PENNSYLVANIA
42003005291,17,17,Dem,187,221,PENNSYLVANIA
42003003000,18,12,Dem,468,667,PENNSYLVANIA
4200300H091,18,17,Dem,490,402,PENNSYLVANIA
42003006390,18,12,Dem,695,663,PENNSYLVANIA
4200300B600,18,12,Dem,264,329,PENNSYLVANIA
4200300C440,18,12,Dem,195,212,PENNSYLVANIA
42003009130,18,12,Dem,506,384,PENNSYLVANIA
42003000770,17,17,Dem,335,437,PENNSYLVANIA
42003003570,18,12,Dem,5,4,PENNSYLVANIA
4200300B660,18,12,Dem,222,232,PENNSYLVANIA
4200300A350,18,12,Dem,103,53,PENNSYLVANIA
42003003070,18,12,Dem,359,529,PENNSYLVANIA
42003000950,17,17,Dem,126,179,PENNSYLVANIA
42003001451,17,17,Dem,354,388,PENNSYLVANIA
4200300B720,18,12,Dem,76,82,PENNSYLVANIA
42007001095,17,17,Dem,436,456,PENNSYLVANIA
42007001340,17,17,Dem,228,241,PENNSYLVANIA
42007000735,17,17,Dem,331,396,PENNSYLVANIA
42007001400,17,17,Dem,203,241,PENNSYLVANIA
42007000808,17,17,Dem,238,288,PENNSYLVANIA
4200300B620,18,12,Dem,27,34,PENNSYLVANIA
4200300B700,18,12,Dem,324,312,PENNSYLVANIA
42003002920,17,17,Dem,277,339,PENNSYLVANIA
42003002640,17,17,Dem,588,743,PENNSYLVANIA
42003005370,17,17,Dem,413,585,PENNSYLVANIA
42003005241,17,17,Dem,409,491,PENNSYLVANIA
42001000400,13,13,Dem,191,258,PENNSYLVANIA
42001000370,13,13,Dem,384,496,PENNSYLVANIA
42117000130,12,15,Dem,1,2,PENNSYLVANIA
42117000430,12,15,Dem,255,331,PENNSYLVANIA
42117000460,12,15,Dem,67,92,PENNSYLVANIA
42067000071,12,13,Dem,39,51,PENNSYLVANIA
42117000320,12,15,Dem,245,287,PENNSYLVANIA
42117000230,12,15,Dem,63,76,PENNSYLVANIA
42117000392,12,15,Dem,80,90,PENNSYLVANIA
42067000030,12,13,Dem,206,266,PENNSYLVANIA
42067000010,12,13,Dem,51,57,PENNSYLVANIA
42003003021,18,12,Dem,210,252,PENNSYLVANIA
42003000050,17,17,Dem,435,491,PENNSYLVANIA
4200300E685,17,17,Dem,188,238,PENNSYLVANIA
4200300C860,18,12,Dem,332,425,PENNSYLVANIA
42003003440,17,17,Dem,196,250,PENNSYLVANIA
4200300A210,18,12,Dem,317,493,PENNSYLVANIA
42003004940,17,17,Dem,103,124,PENNSYLVANIA
42003002501,17,17,Dem,431,498,PENNSYLVANIA
4200300A290,18,12,Dem,249,317,PENNSYLVANIA
4200300B390,18,12,Dem,168,199,PENNSYLVANIA
4200300D420,18,12,Dem,209,240,PENNSYLVANIA
4200300D200,18,12,Dem,253,280,PENNSYLVANIA
4200300F510,18,12,Dem,301,365,PENNSYLVANIA
4200300D300,18,12,Dem,322,370,PENNSYLVANIA
42003006500,18,12,Dem,66,148,PENNSYLVANIA
42003006920,18,12,Dem,262,316,PENNSYLVANIA
4200300E000,18,12,Dem,206,236,PENNSYLVANIA
42003007390,18,12,Dem,476,542,PENNSYLVANIA
42003007890,18,12,Dem,273,359,PENNSYLVANIA
4200300B520,18,12,Dem,260,347,PENNSYLVANIA
42003003580,18,12,Dem,68,62,PENNSYLVANIA
