FriendlyId,district2020,district2022,party,votes2016,votes2020,state
45079000401,6,6,Dem,314,312,SOUTHCAROLINA
45079000132,6,6,Dem,632,566,SOUTHCAROLINA
45079000458,6,6,Dem,1227,1425,SOUTHCAROLINA
45079000129,6,6,Dem,845,826,SOUTHCAROLINA
45071000005,5,3,Dem,276,290,SOUTHCAROLINA
45071000001,5,3,Dem,134,157,SOUTHCAROLINA
45071000034,5,3,Dem,26,32,SOUTHCAROLINA
45071000040,3,3,Dem,88,111,SOUTHCAROLINA
45071000015,5,3,Dem,209,307,SOUTHCAROLINA
45079000448,2,2,Dem,726,1159,SOUTHCAROLINA
45079000126,2,2,Dem,660,687,SOUTHCAROLINA
45071000002,5,3,Dem,206,290,SOUTHCAROLINA
45071000019,3,3,Dem,108,98,SOUTHCAROLINA
45071000042,5,3,Dem,267,286,SOUTHCAROLINA
45079000484,2,2,Dem,425,1230,SOUTHCAROLINA
45079000480,6,6,Dem,766,1076,SOUTHCAROLINA
45079000102,6,6,Dem,392,378,SOUTHCAROLINA
45079000455,6,6,Dem,813,1075,SOUTHCAROLINA
45079000442,6,6,Dem,718,1119,SOUTHCAROLINA
45079000403,2,2,Dem,275,494,SOUTHCAROLINA
45079000441,6,6,Dem,718,945,SOUTHCAROLINA
45079000478,6,6,Dem,963,957,SOUTHCAROLINA
45079000413,2,2,Dem,1060,1389,SOUTHCAROLINA
45079000452,6,6,Dem,1394,1339,SOUTHCAROLINA
45079000492,2,2,Dem,545,625,SOUTHCAROLINA
45079000109,6,6,Dem,610,485,SOUTHCAROLINA
45079000449,6,6,Dem,905,1669,SOUTHCAROLINA
45079000408,2,2,Dem,805,1460,SOUTHCAROLINA
45079000501,2,2,Dem,300,455,SOUTHCAROLINA
45079000400,2,2,Dem,582,743,SOUTHCAROLINA
45079000513,6,6,Dem,1037,848,SOUTHCAROLINA
45071000007,5,3,Dem,374,331,SOUTHCAROLINA
45071000008,5,3,Dem,314,403,SOUTHCAROLINA
45079000457,2,2,Dem,528,705,SOUTHCAROLINA
45079000417,6,6,Dem,532,459,SOUTHCAROLINA
45079000426,6,6,Dem,1366,1831,SOUTHCAROLINA
45079000464,2,2,Dem,981,1531,SOUTHCAROLINA
45079000114,2,6,Dem,786,830,SOUTHCAROLINA
45079000467,2,2,Dem,224,303,SOUTHCAROLINA
45071000039,3,3,Dem,173,199,SOUTHCAROLINA
45071000013,3,3,Dem,159,184,SOUTHCAROLINA
45071000036,5,3,Dem,222,264,SOUTHCAROLINA
45071000028,5,3,Dem,236,267,SOUTHCAROLINA
45079000494,2,2,Dem,1132,1428,SOUTHCAROLINA
45079000450,6,6,Dem,1672,1717,SOUTHCAROLINA
45079000459,6,6,Dem,298,411,SOUTHCAROLINA
45079000406,2,2,Dem,363,772,SOUTHCAROLINA
45079000430,2,2,Dem,496,607,SOUTHCAROLINA
45079000131,6,6,Dem,607,596,SOUTHCAROLINA
45079000103,6,6,Dem,800,791,SOUTHCAROLINA
45079000405,6,6,Dem,1253,1280,SOUTHCAROLINA
45079000415,6,6,Dem,955,923,SOUTHCAROLINA
45079000122,6,6,Dem,1031,947,SOUTHCAROLINA
45079000439,2,2,Dem,956,1172,SOUTHCAROLINA
45079000125,2,2,Dem,431,482,SOUTHCAROLINA
45023000001,5,5,Dem,409,441,SOUTHCAROLINA
45023000003,5,5,Dem,426,272,SOUTHCAROLINA
45023000011,5,5,Dem,475,408,SOUTHCAROLINA
45079000497,6,6,Dem,1366,1941,SOUTHCAROLINA
45079000509,6,6,Dem,1528,2176,SOUTHCAROLINA
45027000016,6,6,Dem,175,130,SOUTHCAROLINA
45027000019,6,6,Dem,282,146,SOUTHCAROLINA
45027000006,6,6,Dem,517,615,SOUTHCAROLINA
45027000020,6,6,Dem,518,755,SOUTHCAROLINA
45079000506,2,2,Dem,340,382,SOUTHCAROLINA
45079000460,6,2,Dem,1301,1574,SOUTHCAROLINA
45059000007,3,3,Dem,250,263,SOUTHCAROLINA
45079000433,2,2,Dem,501,627,SOUTHCAROLINA
45079000503,6,6,Dem,1285,1643,SOUTHCAROLINA
45089000022,6,6,Dem,195,181,SOUTHCAROLINA
45035000049,1,1,Dem,204,355,SOUTHCAROLINA
45035000092,1,1,Dem,160,293,SOUTHCAROLINA
45035000043,1,1,Dem,245,330,SOUTHCAROLINA
45035000073,1,1,Dem,463,604,SOUTHCAROLINA
45079000511,6,6,Dem,524,607,SOUTHCAROLINA
45079000496,6,6,Dem,633,623,SOUTHCAROLINA
45079000104,6,6,Dem,708,838,SOUTHCAROLINA
45059000013,3,3,Dem,375,453,SOUTHCAROLINA
45059000022,3,3,Dem,449,664,SOUTHCAROLINA
45079000453,2,2,Dem,1199,2333,SOUTHCAROLINA
45015000002,6,1,Dem,17,18,SOUTHCAROLINA
45015000035,1,1,Dem,288,199,SOUTHCAROLINA
45015000029,1,1,Dem,94,130,SOUTHCAROLINA
45015000087,1,1,Dem,702,862,SOUTHCAROLINA
45015000012,1,1,Dem,304,649,SOUTHCAROLINA
45059000018,3,3,Dem,341,457,SOUTHCAROLINA
45059000029,3,3,Dem,62,89,SOUTHCAROLINA
45059000015,3,3,Dem,447,515,SOUTHCAROLINA
45057000009,5,5,Dem,554,535,SOUTHCAROLINA
45023000018,5,5,Dem,198,216,SOUTHCAROLINA
45059000002,3,3,Dem,274,248,SOUTHCAROLINA
45059000020,3,3,Dem,340,335,SOUTHCAROLINA
45059000010,3,3,Dem,185,236,SOUTHCAROLINA
45029000024,6,6,Dem,93,105,SOUTHCAROLINA
45029000029,6,6,Dem,302,496,SOUTHCAROLINA
45029000015,6,6,Dem,302,311,SOUTHCAROLINA
45029000025,6,6,Dem,485,376,SOUTHCAROLINA
45029000031,6,6,Dem,672,813,SOUTHCAROLINA
45029000032,6,6,Dem,274,428,SOUTHCAROLINA
45059000014,3,3,Dem,284,274,SOUTHCAROLINA
45029000033,6,6,Dem,118,92,SOUTHCAROLINA
45079000402,2,2,Dem,355,502,SOUTHCAROLINA
45079000105,6,6,Dem,380,378,SOUTHCAROLINA
45089000011,6,6,Dem,680,651,SOUTHCAROLINA
45015000027,6,1,Dem,247,225,SOUTHCAROLINA
45015000034,1,1,Dem,294,294,SOUTHCAROLINA
45015000049,1,1,Dem,534,716,SOUTHCAROLINA
45015000007,6,1,Dem,566,656,SOUTHCAROLINA
45015000038,1,1,Dem,227,295,SOUTHCAROLINA
45015000045,1,1,Dem,300,493,SOUTHCAROLINA
45015000072,1,1,Dem,361,516,SOUTHCAROLINA
45057000010,5,5,Dem,523,638,SOUTHCAROLINA
45057000041,5,5,Dem,248,339,SOUTHCAROLINA
45057000035,5,5,Dem,688,1155,SOUTHCAROLINA
45023000026,5,5,Dem,393,278,SOUTHCAROLINA
45023000031,5,5,Dem,391,567,SOUTHCAROLINA
45007000045,3,3,Dem,127,121,SOUTHCAROLINA
45057000026,5,5,Dem,212,229,SOUTHCAROLINA
45057000019,5,5,Dem,63,68,SOUTHCAROLINA
45015000001,6,1,Dem,454,380,SOUTHCAROLINA
45035000109,1,1,Dem,350,432,SOUTHCAROLINA
45057000007,5,5,Dem,199,242,SOUTHCAROLINA
45061000004,5,5,Dem,392,427,SOUTHCAROLINA
45085000116,5,5,Dem,252,302,SOUTHCAROLINA
45089000016,6,6,Dem,1050,1313,SOUTHCAROLINA
45089000004,6,6,Dem,109,127,SOUTHCAROLINA
45035000048,1,1,Dem,534,737,SOUTHCAROLINA
45035000069,1,1,Dem,391,632,SOUTHCAROLINA
45035000031,6,6,Dem,336,348,SOUTHCAROLINA
45035000027,6,6,Dem,299,427,SOUTHCAROLINA
45089000002,6,6,Dem,458,362,SOUTHCAROLINA
45089000005,6,6,Dem,415,431,SOUTHCAROLINA
45089000013,6,6,Dem,807,818,SOUTHCAROLINA
45035000044,1,1,Dem,175,413,SOUTHCAROLINA
45035000029,6,6,Dem,353,337,SOUTHCAROLINA
45089000008,6,6,Dem,735,765,SOUTHCAROLINA
45089000029,6,6,Dem,641,617,SOUTHCAROLINA
45089000015,6,6,Dem,440,505,SOUTHCAROLINA
45085000153,5,5,Dem,57,63,SOUTHCAROLINA
45023000004,5,5,Dem,190,203,SOUTHCAROLINA
45023000030,5,5,Dem,423,497,SOUTHCAROLINA
45035000096,1,1,Dem,117,126,SOUTHCAROLINA
45023000013,5,5,Dem,158,171,SOUTHCAROLINA
45085000128,6,6,Dem,365,362,SOUTHCAROLINA
45085000127,6,6,Dem,719,666,SOUTHCAROLINA
45085000131,5,6,Dem,545,538,SOUTHCAROLINA
45085000108,6,6,Dem,421,291,SOUTHCAROLINA
45085000126,6,6,Dem,491,420,SOUTHCAROLINA
45007000066,3,3,Dem,87,112,SOUTHCAROLINA
45007000071,3,3,Dem,312,422,SOUTHCAROLINA
45035000104,1,1,Dem,371,440,SOUTHCAROLINA
45035000095,6,6,Dem,308,364,SOUTHCAROLINA
45027000007,6,6,Dem,287,238,SOUTHCAROLINA
45085000130,6,6,Dem,599,517,SOUTHCAROLINA
45085000152,5,5,Dem,634,817,SOUTHCAROLINA
45085000155,5,5,Dem,376,519,SOUTHCAROLINA
45007000015,3,3,Dem,71,85,SOUTHCAROLINA
45007000064,3,3,Dem,234,331,SOUTHCAROLINA
45007000013,3,3,Dem,323,390,SOUTHCAROLINA
45035000105,1,1,Dem,118,267,SOUTHCAROLINA
45035000087,1,1,Dem,145,179,SOUTHCAROLINA
45035000079,1,1,Dem,398,504,SOUTHCAROLINA
45035000034,6,6,Dem,255,251,SOUTHCAROLINA
45089000032,6,6,Dem,67,46,SOUTHCAROLINA
45089000030,6,6,Dem,71,69,SOUTHCAROLINA
45089000018,6,6,Dem,584,554,SOUTHCAROLINA
45035000090,1,1,Dem,273,434,SOUTHCAROLINA
45035000108,1,1,Dem,262,441,SOUTHCAROLINA
45087000003,5,5,Dem,205,205,SOUTHCAROLINA
45087000011,5,5,Dem,236,248,SOUTHCAROLINA
45087000023,5,5,Dem,77,68,SOUTHCAROLINA
45015000040,1,1,Dem,298,397,SOUTHCAROLINA
45087000012,5,5,Dem,90,89,SOUTHCAROLINA
45089000006,6,6,Dem,105,113,SOUTHCAROLINA
45015000011,6,1,Dem,286,349,SOUTHCAROLINA
45015000026,6,1,Dem,526,583,SOUTHCAROLINA
45015000030,1,1,Dem,210,261,SOUTHCAROLINA
45015000003,1,1,Dem,295,326,SOUTHCAROLINA
45015000037,6,1,Dem,616,854,SOUTHCAROLINA
45007000068,3,3,Dem,184,232,SOUTHCAROLINA
45007000057,3,3,Dem,150,208,SOUTHCAROLINA
45007000111,3,3,Dem,299,347,SOUTHCAROLINA
45007000039,3,3,Dem,189,210,SOUTHCAROLINA
45007000042,3,3,Dem,126,132,SOUTHCAROLINA
45007000058,3,3,Dem,132,151,SOUTHCAROLINA
45015000042,6,1,Dem,736,822,SOUTHCAROLINA
45015000079,1,1,Dem,704,705,SOUTHCAROLINA
45015000085,1,1,Dem,170,689,SOUTHCAROLINA
45015000099,6,1,Dem,20,0,SOUTHCAROLINA
45015000077,1,1,Dem,558,605,SOUTHCAROLINA
45015000067,1,1,Dem,441,735,SOUTHCAROLINA
45085000125,6,6,Dem,712,714,SOUTHCAROLINA
45085000158,5,5,Dem,202,296,SOUTHCAROLINA
45015000086,1,1,Dem,15,195,SOUTHCAROLINA
45007000069,3,3,Dem,97,115,SOUTHCAROLINA
45015000031,1,1,Dem,363,540,SOUTHCAROLINA
45027000022,6,6,Dem,620,593,SOUTHCAROLINA
45015000041,6,1,Dem,130,116,SOUTHCAROLINA
45051000109,7,7,Dem,641,805,SOUTHCAROLINA
45051000163,7,7,Dem,181,203,SOUTHCAROLINA
45051000138,7,7,Dem,326,366,SOUTHCAROLINA
45051000231,7,7,Dem,52,538,SOUTHCAROLINA
45051000168,7,7,Dem,207,206,SOUTHCAROLINA
45015000044,1,1,Dem,385,442,SOUTHCAROLINA
45015000033,1,1,Dem,580,888,SOUTHCAROLINA
45061000008,5,5,Dem,217,248,SOUTHCAROLINA
45085000156,5,5,Dem,473,553,SOUTHCAROLINA
45085000150,5,5,Dem,225,294,SOUTHCAROLINA
45085000111,5,5,Dem,383,562,SOUTHCAROLINA
45085000102,5,5,Dem,313,325,SOUTHCAROLINA
45085000105,5,5,Dem,397,529,SOUTHCAROLINA
45089000024,6,6,Dem,385,333,SOUTHCAROLINA
45035000070,1,1,Dem,255,389,SOUTHCAROLINA
45035000026,6,6,Dem,189,230,SOUTHCAROLINA
45007000049,3,3,Dem,378,498,SOUTHCAROLINA
45007000024,3,3,Dem,197,303,SOUTHCAROLINA
45015000046,1,1,Dem,450,642,SOUTHCAROLINA
