FriendlyId,district2020,district2022,party,votes2016,votes2020,state
47135006954,7,7,Dem,46,56,TENNESSEE
47135006952,7,7,Dem,59,57,TENNESSEE
47071003705,7,8,Dem,293,299,TENNESSEE
47157008171,9,9,Dem,1043,910,TENNESSEE
47157008195,9,9,Dem,2005,2091,TENNESSEE
47099005174,7,4,Dem,24,30,TENNESSEE
47099005164,7,4,Dem,151,153,TENNESSEE
47017000819,8,8,Dem,28,31,TENNESSEE
47017000803,8,8,Dem,142,127,TENNESSEE
47043002267,5,7,Dem,411,531,TENNESSEE
47101005251,7,5,Dem,97,96,TENNESSEE
47083004304,7,7,Dem,112,99,TENNESSEE
47079004112,8,8,Dem,260,335,TENNESSEE
47079004110,8,8,Dem,358,405,TENNESSEE
47157008190,9,9,Dem,1541,1597,TENNESSEE
47157008170,9,9,Dem,1239,1212,TENNESSEE
47071003702,7,8,Dem,57,86,TENNESSEE
47071003716,7,8,Dem,51,25,TENNESSEE
47071003712,7,8,Dem,38,48,TENNESSEE
47071003718,7,8,Dem,86,91,TENNESSEE
47157008237,9,9,Dem,1020,1376,TENNESSEE
47157008110,9,9,Dem,1857,2041,TENNESSEE
47157008231,9,9,Dem,2126,2432,TENNESSEE
47157008250,9,9,Dem,2477,2692,TENNESSEE
47157008070,8,8,Dem,511,765,TENNESSEE
47157008168,9,9,Dem,2225,2265,TENNESSEE
47157008131,9,9,Dem,1610,1389,TENNESSEE
47157008233,9,9,Dem,1514,1836,TENNESSEE
47157008182,9,9,Dem,665,706,TENNESSEE
47085004406,7,7,Dem,242,257,TENNESSEE
47085004407,7,7,Dem,237,255,TENNESSEE
47085004401,7,7,Dem,314,323,TENNESSEE
47085004403,7,7,Dem,341,320,TENNESSEE
47049002559,6,6,Dem,42,57,TENNESSEE
47049002557,6,6,Dem,97,64,TENNESSEE
47049002551,6,6,Dem,47,73,TENNESSEE
47049002562,6,6,Dem,108,114,TENNESSEE
47049002552,6,6,Dem,91,109,TENNESSEE
47083004302,7,7,Dem,133,121,TENNESSEE
47083004303,7,7,Dem,133,126,TENNESSEE
47099005163,7,4,Dem,117,139,TENNESSEE
47099005160,7,4,Dem,133,157,TENNESSEE
47099005173,7,4,Dem,78,99,TENNESSEE
47099005151,7,4,Dem,207,261,TENNESSEE
47099005159,7,4,Dem,67,100,TENNESSEE
47079004101,8,8,Dem,220,229,TENNESSEE
47101005252,7,5,Dem,74,121,TENNESSEE
47079004105,8,8,Dem,291,381,TENNESSEE
47079004103,8,8,Dem,274,309,TENNESSEE
47079004109,8,8,Dem,403,513,TENNESSEE
47079004102,8,8,Dem,167,161,TENNESSEE
47079004108,8,8,Dem,231,258,TENNESSEE
47051002661,4,4,Dem,19,18,TENNESSEE
47051002663,4,4,Dem,145,144,TENNESSEE
47157008122,9,9,Dem,1333,1580,TENNESSEE
47157008091,8,8,Dem,481,693,TENNESSEE
47157008071,8,8,Dem,670,1009,TENNESSEE
47157008055,8,,Dem,1120,1535,TENNESSEE
47157008184,9,9,Dem,1286,1165,TENNESSEE
47157008101,9,9,Dem,2057,2494,TENNESSEE
47077004002,7,8,Dem,178,200,TENNESSEE
47045002361,8,8,Dem,555,565,TENNESSEE
47045002362,8,8,Dem,305,353,TENNESSEE
47045002358,8,8,Dem,105,103,TENNESSEE
47109006151,7,8,Dem,174,198,TENNESSEE
47109006155,7,8,Dem,125,104,TENNESSEE
47085004405,7,7,Dem,278,285,TENNESSEE
47169008801,6,6,Dem,114,135,TENNESSEE
47169008807,6,6,Dem,120,119,TENNESSEE
47157008057,8,,Dem,686,977,TENNESSEE
47157008089,8,8,Dem,1094,1616,TENNESSEE
47157008176,9,9,Dem,1230,1749,TENNESSEE
47157008174,8,8,Dem,911,1313,TENNESSEE
47045002359,8,8,Dem,108,126,TENNESSEE
47101005254,7,5,Dem,193,262,TENNESSEE
47157008136,9,9,Dem,1190,1277,TENNESSEE
47157008103,9,9,Dem,1116,1162,TENNESSEE
47079004104,8,8,Dem,438,450,TENNESSEE
47053002771,8,8,Dem,78,64,TENNESSEE
47085004402,7,7,Dem,293,284,TENNESSEE
47085004408,7,7,Dem,64,61,TENNESSEE
47085004404,7,7,Dem,198,232,TENNESSEE
47017000809,8,8,Dem,208,258,TENNESSEE
47099005170,7,4,Dem,98,106,TENNESSEE
47099005156,7,4,Dem,97,99,TENNESSEE
47151007754,3,,Dem,141,127,TENNESSEE
47151007751,3,,Dem,61,73,TENNESSEE
47137007055,6,6,Dem,33,50,TENNESSEE
47055002860,7,4,Dem,146,154,TENNESSEE
47055002854,7,4,Dem,203,259,TENNESSEE
47055002862,7,4,Dem,414,392,TENNESSEE
47055002857,7,4,Dem,177,221,TENNESSEE
47055002856,7,4,Dem,150,176,TENNESSEE
47055002853,7,4,Dem,168,207,TENNESSEE
47011000502,4,3,Dem,820,1231,TENNESSEE
47151007760,3,,Dem,48,60,TENNESSEE
47051002660,4,4,Dem,827,864,TENNESSEE
47051002657,4,4,Dem,269,310,TENNESSEE
47051002667,4,4,Dem,271,307,TENNESSEE
47043002256,5,7,Dem,164,228,TENNESSEE
47043002255,5,7,Dem,349,496,TENNESSEE
47051002666,4,4,Dem,217,252,TENNESSEE
47043002254,5,7,Dem,238,348,TENNESSEE
47043002265,5,7,Dem,441,641,TENNESSEE
47043002259,5,7,Dem,270,270,TENNESSEE
47043002253,5,7,Dem,218,368,TENNESSEE
47119005969,4,5,Dem,191,224,TENNESSEE
47119005970,4,5,Dem,372,913,TENNESSEE
47045002356,8,8,Dem,88,84,TENNESSEE
47109006157,7,8,Dem,162,173,TENNESSEE
47109006158,7,8,Dem,137,127,TENNESSEE
47109006167,7,8,Dem,150,171,TENNESSEE
47077004003,7,8,Dem,308,359,TENNESSEE
47145007471,3,3,Dem,170,201,TENNESSEE
47145007458,3,3,Dem,779,920,TENNESSEE
47157008202,9,9,Dem,2587,2579,TENNESSEE
47157008121,9,9,Dem,1328,1230,TENNESSEE
47157008145,9,9,Dem,756,703,TENNESSEE
47157008197,9,9,Dem,1355,1504,TENNESSEE
47157008222,9,9,Dem,1880,2389,TENNESSEE
47157008183,9,9,Dem,1343,1358,TENNESSEE
47157008189,9,9,Dem,1751,1841,TENNESSEE
47119005960,4,5,Dem,605,808,TENNESSEE
47119005964,4,5,Dem,494,595,TENNESSEE
47119005966,4,5,Dem,544,641,TENNESSEE
47045002352,8,8,Dem,99,93,TENNESSEE
47099005165,7,4,Dem,161,179,TENNESSEE
47017000810,8,8,Dem,82,100,TENNESSEE
47017000807,8,8,Dem,230,246,TENNESSEE
47017000812,8,8,Dem,85,91,TENNESSEE
47117005855,4,5,Dem,431,511,TENNESSEE
47117005856,4,5,Dem,319,416,TENNESSEE
47055002852,7,4,Dem,123,140,TENNESSEE
47055002859,7,4,Dem,237,294,TENNESSEE
47117005859,4,5,Dem,396,475,TENNESSEE
47051002653,4,4,Dem,156,160,TENNESSEE
47043002266,5,7,Dem,460,569,TENNESSEE
47109006152,7,8,Dem,79,88,TENNESSEE
47077004013,7,8,Dem,47,50,TENNESSEE
47109006154,7,8,Dem,50,49,TENNESSEE
47109006165,7,8,Dem,93,85,TENNESSEE
47119005967,4,5,Dem,385,558,TENNESSEE
47131006761,8,8,Dem,163,166,TENNESSEE
47053002762,8,8,Dem,157,149,TENNESSEE
47053002753,8,8,Dem,76,90,TENNESSEE
47053002770,8,8,Dem,205,250,TENNESSEE
47011000507,4,3,Dem,481,704,TENNESSEE
47011000501,4,3,Dem,195,270,TENNESSEE
47011000509,4,3,Dem,518,737,TENNESSEE
47051002652,4,4,Dem,549,674,TENNESSEE
47145007467,3,3,Dem,265,295,TENNESSEE
47011000504,4,3,Dem,749,1120,TENNESSEE
47119005954,7,5,Dem,140,173,TENNESSEE
47053002777,8,8,Dem,332,340,TENNESSEE
47053002772,8,8,Dem,104,100,TENNESSEE
47077004005,7,8,Dem,143,187,TENNESSEE
47145007464,3,3,Dem,208,298,TENNESSEE
47145007452,3,3,Dem,255,380,TENNESSEE
47145007472,3,3,Dem,355,408,TENNESSEE
47003000109,4,4,Dem,445,571,TENNESSEE
47003000111,4,4,Dem,385,555,TENNESSEE
47003000110,4,4,Dem,436,516,TENNESSEE
47151007757,3,6,Dem,124,161,TENNESSEE
47157008172,9,9,Dem,553,534,TENNESSEE
47157008113,9,9,Dem,1407,1325,TENNESSEE
47157008192,9,9,Dem,1691,1710,TENNESSEE
47043002260,5,7,Dem,394,420,TENNESSEE
47043002263,5,7,Dem,228,259,TENNESSEE
47043002262,5,7,Dem,142,178,TENNESSEE
47053002776,8,8,Dem,46,51,TENNESSEE
47145007463,3,3,Dem,133,145,TENNESSEE
47017000804,8,8,Dem,103,133,TENNESSEE
47099005171,7,4,Dem,55,51,TENNESSEE
47017000801,8,8,Dem,138,146,TENNESSEE
47131006759,8,8,Dem,34,33,TENNESSEE
47131006753,8,8,Dem,118,141,TENNESSEE
47053002760,8,8,Dem,109,117,TENNESSEE
47161008405,7,7,Dem,245,229,TENNESSEE
47151007755,3,6,Dem,70,72,TENNESSEE
47109006156,7,8,Dem,329,354,TENNESSEE
47077004008,7,8,Dem,16,17,TENNESSEE
47077004007,7,8,Dem,103,126,TENNESSEE
47049002556,6,6,Dem,121,122,TENNESSEE
47157008119,9,9,Dem,397,529,TENNESSEE
47157008241,9,9,Dem,1451,2155,TENNESSEE
47157008081,8,8,Dem,328,418,TENNESSEE
47157008234,9,9,Dem,921,1035,TENNESSEE
47157008142,9,9,Dem,1816,1787,TENNESSEE
47157008109,9,9,Dem,1585,2015,TENNESSEE
47157008246,9,9,Dem,1061,1175,TENNESSEE
47071003704,7,8,Dem,185,210,TENNESSEE
47071003717,7,8,Dem,83,108,TENNESSEE
47135006955,7,7,Dem,105,127,TENNESSEE
47135006953,7,7,Dem,61,72,TENNESSEE
47161008402,7,7,Dem,148,172,TENNESSEE
47145007462,3,3,Dem,359,474,TENNESSEE
47145007453,3,3,Dem,94,131,TENNESSEE
47017000808,8,8,Dem,245,251,TENNESSEE
47125006464,7,7,Dem,933,1319,TENNESSEE
