ID,Total Pop,Party,Partisan Lean,Total VAP
1,766987,Dem,0.256,585265
2,766987,Dem,0.3518,557917
3,766987,Dem,0.3862,559329
4,766987,Dem,0.3386,577526
5,766987,Dem,0.3671,573597
6,766987,Dem,0.3548,572594
7,766987,Dem,0.6306,594919
8,766987,Dem,0.3443,565897
9,766987,Dem,0.7604,565956
10,766987,Dem,0.3752,591007
11,766987,Dem,0.2812,567819
12,766987,Dem,0.381,580455
13,766987,Dem,0.2517,585231
14,766987,Dem,0.3451,585292
15,766987,Dem,0.5102,551585
16,766986,Dem,0.6783,573880
17,766987,Dem,0.3626,589524
18,766987,Dem,0.7334,576291
19,766987,Dem,0.2531,578679
20,766987,Dem,0.6466,574548
21,766987,Dem,0.3664,604056
22,766987,Dem,0.3878,557229
23,766987,Dem,0.4524,568074
24,766987,Dem,0.3904,581738
25,766987,Dem,0.3225,586313
26,766987,Dem,0.3672,569880
27,766987,Dem,0.3735,585427
28,766987,Dem,0.5497,552637
29,766987,Dem,0.7081,547845
30,766987,Dem,0.7669,577974
31,766987,Dem,0.3626,574120
32,766987,Dem,0.6289,593970
33,766987,Dem,0.7436,555227
34,766987,Dem,0.6061,542730
35,766987,Dem,0.7119,583808
36,766987,Dem,0.3286,578116
37,766987,Dem,0.7309,622654
38,766987,Dem,0.3708,577591
1,766987,Rep,0.7251,585265
2,766987,Rep,0.6252,557917
3,766987,Rep,0.5874,559329
4,766987,Rep,0.6384,577526
5,766987,Rep,0.6122,573597
6,766987,Rep,0.6225,572594
7,766987,Rep,0.3474,594919
8,766987,Rep,0.6348,565897
9,766987,Rep,0.2208,565956
10,766987,Rep,0.5955,591007
11,766987,Rep,0.695,567819
12,766987,Rep,0.5931,580455
13,766987,Rep,0.7222,585231
14,766987,Rep,0.632,585292
15,766987,Rep,0.4673,551585
16,766986,Rep,0.2889,573880
17,766987,Rep,0.6121,589524
18,766987,Rep,0.2438,576291
19,766987,Rep,0.721,578679
20,766987,Rep,0.3251,574548
21,766987,Rep,0.6081,604056
22,766987,Rep,0.5905,557229
23,766987,Rep,0.5214,568074
24,766987,Rep,0.5852,581738
25,766987,Rep,0.6553,586313
26,766987,Rep,0.6077,569880
27,766987,Rep,0.6041,585427
28,766987,Rep,0.4245,552637
29,766987,Rep,0.2702,547845
30,766987,Rep,0.2128,577974
31,766987,Rep,0.6066,574120
32,766987,Rep,0.3447,593970
33,766987,Rep,0.2315,555227
34,766987,Rep,0.3693,542730
35,766987,Rep,0.2567,583808
36,766987,Rep,0.6516,578116
37,766987,Rep,0.2368,622654
38,766987,Rep,0.6072,577591
1,766987,Oth,0.0189,585265
2,766987,Oth,0.023,557917
3,766987,Oth,0.0264,559329
4,766987,Oth,0.0231,577526
5,766987,Oth,0.0207,573597
6,766987,Oth,0.0228,572594
7,766987,Oth,0.022000000000000002,594919
8,766987,Oth,0.0209,565897
9,766987,Oth,0.0187,565956
10,766987,Oth,0.0292,591007
11,766987,Oth,0.0238,567819
12,766987,Oth,0.0259,580455
13,766987,Oth,0.0261,585231
14,766987,Oth,0.0229,585292
15,766987,Oth,0.0225,551585
16,766986,Oth,0.0328,573880
17,766987,Oth,0.0253,589524
18,766987,Oth,0.0228,576291
19,766987,Oth,0.0259,578679
20,766987,Oth,0.0283,574548
21,766987,Oth,0.0255,604056
22,766987,Oth,0.0217,557229
23,766987,Oth,0.0262,568074
24,766987,Oth,0.0244,581738
25,766987,Oth,0.0223,586313
26,766987,Oth,0.0251,569880
27,766987,Oth,0.0225,585427
28,766987,Oth,0.0258,552637
29,766987,Oth,0.0217,547845
30,766987,Oth,0.0203,577974
31,766987,Oth,0.0308,574120
32,766987,Oth,0.0264,593970
33,766987,Oth,0.0249,555227
34,766987,Oth,0.0246,542730
35,766987,Oth,0.0314,583808
36,766987,Oth,0.0197,578116
37,766987,Oth,0.0323,622654
38,766987,Oth,0.022000000000000002,577591
