FriendlyId,district2020,district2022,party,votes2016,votes2020,state
48355000039,27,27,Dem,148,147,TEXAS
48355000107,27,27,Dem,647,843,TEXAS
48355000019,27,27,Dem,619,692,TEXAS
48101000101,13,13,Dem,22,28,TEXAS
48101000301,13,13,Dem,35,35,TEXAS
48355000037,27,27,Dem,492,433,TEXAS
48355000085,27,27,Dem,159,172,TEXAS
48355000071,27,27,Dem,464,516,TEXAS
48355000026,27,27,Dem,927,1285,TEXAS
48355000011,27,27,Dem,177,167,TEXAS
48355000040,27,27,Dem,549,827,TEXAS
48355000067,27,27,Dem,783,1240,TEXAS
48061000037,34,34,Dem,567,455,TEXAS
48061000017,34,34,Dem,1107,1111,TEXAS
48061000044,34,34,Dem,677,897,TEXAS
48307000202,11,11,Dem,17,18,TEXAS
48257000017,5,5,Dem,140,219,TEXAS
48257000028,5,5,Dem,169,225,TEXAS
48257000030,5,5,Dem,206,279,TEXAS
48051000114,17,10,Dem,221,289,TEXAS
48307000401,11,11,Dem,62,50,TEXAS
48055000108,35,27,Dem,24,31,TEXAS
48165000007,19,19,Dem,93,75,TEXAS
48027000307,31,31,Dem,901,1059,TEXAS
48063004004,4,1,Dem,272,309,TEXAS
48099000415,25,31,Dem,18,19,TEXAS
48457000003,36,36,Dem,181,222,TEXAS
48247000002,15,28,Dem,417,316,TEXAS
48247000003,15,28,Dem,340,263,TEXAS
48247000004,15,28,Dem,429,293,TEXAS
48173000003,11,11,Dem,1,6,TEXAS
48061000078,34,34,Dem,735,903,TEXAS
48061000035,34,34,Dem,290,339,TEXAS
48453000443,35,35,Dem,1651,2047,TEXAS
48453000365,21,21,Dem,923,1412,TEXAS
48453000352,21,37,Dem,1811,2372,TEXAS
48453000113,17,37,Dem,2871,4827,TEXAS
48453000438,35,35,Dem,822,1347,TEXAS
48453000200,10,37,Dem,3298,4124,TEXAS
48453000259,17,37,Dem,1364,1802,TEXAS
48029002082,20,20,Dem,462,625,TEXAS
48123000401,34,27,Dem,226,308,TEXAS
48123000301,34,27,Dem,113,127,TEXAS
48355000001,27,27,Dem,806,406,TEXAS
48355000036,27,27,Dem,272,275,TEXAS
48355000103,27,27,Dem,316,630,TEXAS
48355000117,27,27,Dem,395,590,TEXAS
48355000065,27,27,Dem,794,1021,TEXAS
48355000008,27,27,Dem,860,1535,TEXAS
48355000124,27,27,Dem,740,958,TEXAS
48371000007,23,23,Dem,358,326,TEXAS
48453000266,10,37,Dem,239,297,TEXAS
48453000212,10,10,Dem,1508,2051,TEXAS
48453000338,25,37,Dem,2078,2789,TEXAS
