FriendlyId,district2020,district2022,party,votes2016,votes2020,state
51117000901,5,5,Dem,24,26,VIRGINIA
51117000601,5,5,Dem,232,164,VIRGINIA
51117000803,5,5,Dem,272,278,VIRGINIA
51053000201,4,4,Dem,417,589,VIRGINIA
51053000102,4,4,Dem,242,218,VIRGINIA
51147000601,5,5,Dem,755,855,VIRGINIA
51163000203,6,6,Dem,188,159,VIRGINIA
51147000302,5,5,Dem,256,422,VIRGINIA
51163000503,6,6,Dem,158,232,VIRGINIA
51147000501,5,5,Dem,247,351,VIRGINIA
51117000802,5,5,Dem,277,213,VIRGINIA
51163000501,6,6,Dem,68,102,VIRGINIA
51163000301,6,6,Dem,225,405,VIRGINIA
51005005701,9,6,Dem,358,375,VIRGINIA
51079000401,5,7,Dem,892,1055,VIRGINIA
51079000101,5,7,Dem,259,309,VIRGINIA
51079000301,5,7,Dem,615,798,VIRGINIA
51700000302,3,3,Dem,1241,1404,VIRGINIA
51700000108,3,3,Dem,1419,1882,VIRGINIA
51700000311,3,3,Dem,1377,1503,VIRGINIA
51700000106,3,3,Dem,2050,2496,VIRGINIA
51700000314,3,3,Dem,601,685,VIRGINIA
51163000202,6,6,Dem,457,411,VIRGINIA
51163000504,6,6,Dem,240,282,VIRGINIA
51163000502,6,6,Dem,275,369,VIRGINIA
51163000101,6,6,Dem,389,349,VIRGINIA
51163000302,6,6,Dem,190,265,VIRGINIA
51125000101,5,5,Dem,776,1166,VIRGINIA
51125000401,5,5,Dem,524,461,VIRGINIA
51053000303,4,4,Dem,695,711,VIRGINIA
51161000105,9,6,Dem,781,862,VIRGINIA
51810000024,2,2,Dem,744,1116,VIRGINIA
51810000082,2,2,Dem,674,891,VIRGINIA
51810000086,2,2,Dem,975,809,VIRGINIA
51810000001,2,2,Dem,941,1070,VIRGINIA
51810000042,2,2,Dem,1124,1497,VIRGINIA
51163000401,6,6,Dem,204,249,VIRGINIA
51117000701,5,5,Dem,303,403,VIRGINIA
51117000302,5,5,Dem,339,374,VIRGINIA
51117000103,5,5,Dem,536,518,VIRGINIA
51117000501,5,5,Dem,702,842,VIRGINIA
51005005201,9,6,Dem,114,102,VIRGINIA
51009000303,6,5,Dem,123,221,VIRGINIA
51107000615,10,10,Dem,1214,1860,VIRGINIA
51810000037,2,2,Dem,780,1179,VIRGINIA
51810000041,2,2,Dem,1897,2419,VIRGINIA
51161000104,9,6,Dem,486,574,VIRGINIA
51009000101,6,5,Dem,612,809,VIRGINIA
51009000201,6,5,Dem,803,692,VIRGINIA
51005005101,9,6,Dem,152,154,VIRGINIA
51107000416,10,10,Dem,1184,1549,VIRGINIA
51107000403,10,10,Dem,1144,1715,VIRGINIA
51107000808,10,10,Dem,1500,1903,VIRGINIA
51107000122,10,10,Dem,1410,1462,VIRGINIA
51083000401,5,5,Dem,505,322,VIRGINIA
51083000502,5,5,Dem,468,523,VIRGINIA
51107000121,10,10,Dem,783,1190,VIRGINIA
51107000210,10,10,Dem,1516,2132,VIRGINIA
51107000401,10,10,Dem,1048,2054,VIRGINIA
51065000301,5,5,Dem,1092,1731,VIRGINIA
51077000203,9,9,Dem,276,195,VIRGINIA
51083000701,5,5,Dem,295,337,VIRGINIA
51085000704,1,1,Dem,767,873,VIRGINIA
51085000602,1,1,Dem,625,844,VIRGINIA
51085000406,1,1,Dem,148,371,VIRGINIA
51085000703,1,5,Dem,583,955,VIRGINIA
51199000502,2,1,Dem,1358,1694,VIRGINIA
51199000103,2,1,Dem,1739,2853,VIRGINIA
51077000202,9,9,Dem,90,73,VIRGINIA
51125000501,5,5,Dem,295,317,VIRGINIA
51185000502,9,9,Dem,459,633,VIRGINIA
51167000403,9,9,Dem,130,138,VIRGINIA
51107000207,10,10,Dem,738,971,VIRGINIA
51107000307,10,10,Dem,610,1369,VIRGINIA
51107000503,10,10,Dem,582,674,VIRGINIA
51107000114,10,10,Dem,1150,909,VIRGINIA
51107000411,10,10,Dem,722,1097,VIRGINIA
51167000501,9,9,Dem,446,328,VIRGINIA
51185000214,9,9,Dem,76,92,VIRGINIA
51167000301,9,9,Dem,59,57,VIRGINIA
51167000402,9,9,Dem,156,180,VIRGINIA
51077000108,9,9,Dem,46,79,VIRGINIA
51077000101,9,9,Dem,80,99,VIRGINIA
51077000104,9,9,Dem,66,51,VIRGINIA
51107000625,10,10,Dem,494,675,VIRGINIA
51107000316,10,10,Dem,2037,2093,VIRGINIA
51107000701,10,10,Dem,1337,1724,VIRGINIA
51095000403,1,1,Dem,1044,1616,VIRGINIA
51095000202,1,1,Dem,1523,1865,VIRGINIA
51810000052,2,2,Dem,1188,1352,VIRGINIA
51810000030,2,2,Dem,650,699,VIRGINIA
51810000027,2,2,Dem,850,1014,VIRGINIA
51810000044,2,2,Dem,966,1096,VIRGINIA
51810000038,2,2,Dem,970,680,VIRGINIA
51810000059,2,2,Dem,759,951,VIRGINIA
51141000501,9,9,Dem,78,91,VIRGINIA
51141000503,9,9,Dem,152,140,VIRGINIA
51590000016,5,5,Dem,646,750,VIRGINIA
51590000004,5,5,Dem,1067,1186,VIRGINIA
51083000302,5,5,Dem,253,340,VIRGINIA
51083000203,5,5,Dem,451,566,VIRGINIA
51141000301,9,9,Dem,270,288,VIRGINIA
51141000502,9,9,Dem,125,148,VIRGINIA
51141000202,9,9,Dem,188,185,VIRGINIA
51141000302,9,9,Dem,75,93,VIRGINIA
51141000401,9,9,Dem,190,193,VIRGINIA
51053000502,4,4,Dem,1345,1528,VIRGINIA
51125000502,5,5,Dem,720,717,VIRGINIA
51125000402,5,5,Dem,40,120,VIRGINIA
51035000303,9,9,Dem,47,60,VIRGINIA
51035000301,9,9,Dem,377,312,VIRGINIA
51011000102,5,5,Dem,302,348,VIRGINIA
51011000202,5,5,Dem,223,256,VIRGINIA
51011000401,5,5,Dem,353,401,VIRGINIA
51011000501,5,5,Dem,321,410,VIRGINIA
51057000301,1,1,Dem,447,587,VIRGINIA
51035000102,9,9,Dem,117,142,VIRGINIA
51011000101,5,5,Dem,112,136,VIRGINIA
51810000083,2,2,Dem,792,1196,VIRGINIA
51810000046,2,2,Dem,1235,1541,VIRGINIA
51810000021,2,2,Dem,1560,1906,VIRGINIA
51810000016,2,2,Dem,1270,1710,VIRGINIA
51810000063,2,2,Dem,1038,1309,VIRGINIA
51035000402,9,9,Dem,254,203,VIRGINIA
51035000202,9,9,Dem,113,145,VIRGINIA
51185000401,9,9,Dem,519,576,VIRGINIA
51141000402,9,9,Dem,190,98,VIRGINIA
51185000204,9,9,Dem,60,58,VIRGINIA
51185000501,9,9,Dem,148,145,VIRGINIA
51107000622,10,10,Dem,1559,2083,VIRGINIA
51107000707,10,10,Dem,1145,1428,VIRGINIA
51107000308,10,10,Dem,584,1092,VIRGINIA
51057000201,1,1,Dem,821,1014,VIRGINIA
51107000402,10,10,Dem,900,1452,VIRGINIA
51107000311,10,10,Dem,810,1602,VIRGINIA
51107000305,10,10,Dem,424,840,VIRGINIA
51590000003,5,5,Dem,815,718,VIRGINIA
51197000203,9,9,Dem,649,528,VIRGINIA
51197000402,9,9,Dem,189,248,VIRGINIA
51197000303,9,9,Dem,686,568,VIRGINIA
51199000401,2,1,Dem,819,801,VIRGINIA
51199000303,2,1,Dem,1153,1913,VIRGINIA
51199000102,2,1,Dem,972,1286,VIRGINIA
51685000002,10,10,Dem,1012,1579,VIRGINIA
51167000102,9,9,Dem,123,158,VIRGINIA
51167000202,9,9,Dem,68,100,VIRGINIA
51590000013,5,5,Dem,1001,1035,VIRGINIA
51125000301,5,5,Dem,577,550,VIRGINIA
51035000201,9,9,Dem,349,258,VIRGINIA
51035000502,9,9,Dem,167,198,VIRGINIA
51035000105,9,9,Dem,134,114,VIRGINIA
51197000102,9,9,Dem,312,426,VIRGINIA
51199000302,2,1,Dem,800,765,VIRGINIA
51107000319,10,10,Dem,507,1777,VIRGINIA
51071000302,9,9,Dem,384,487,VIRGINIA
51820000001,6,6,Dem,695,1130,VIRGINIA
51125000202,5,5,Dem,264,352,VIRGINIA
51199000301,2,1,Dem,708,1232,VIRGINIA
51043000201,10,6,Dem,681,772,VIRGINIA
51590000011,5,5,Dem,1092,1093,VIRGINIA
51035000302,9,9,Dem,111,119,VIRGINIA
51167000302,9,9,Dem,70,88,VIRGINIA
51185000104,9,9,Dem,54,132,VIRGINIA
51590000010,5,5,Dem,674,779,VIRGINIA
51590000017,5,5,Dem,375,369,VIRGINIA
51043000101,10,6,Dem,504,515,VIRGINIA
51043000401,10,6,Dem,602,902,VIRGINIA
51810000093,2,2,Dem,1679,2535,VIRGINIA
51161000106,9,,Dem,526,492,VIRGINIA
51161000507,6,9,Dem,817,1074,VIRGINIA
51810000014,2,2,Dem,973,1458,VIRGINIA
51810000025,2,2,Dem,1385,1769,VIRGINIA
51810000099,2,2,Dem,379,914,VIRGINIA
51810000034,2,2,Dem,173,341,VIRGINIA
51810000050,2,2,Dem,945,1504,VIRGINIA
51043000301,10,6,Dem,449,491,VIRGINIA
51043000501,10,6,Dem,453,491,VIRGINIA
51155000202,9,9,Dem,76,73,VIRGINIA
51820000002,6,6,Dem,1064,1174,VIRGINIA
51083000702,5,5,Dem,116,193,VIRGINIA
51141000201,9,9,Dem,50,75,VIRGINIA
51161000405,6,6,Dem,415,305,VIRGINIA
51165000201,6,6,Dem,240,267,VIRGINIA
51165000104,6,6,Dem,47,139,VIRGINIA
51165000406,6,6,Dem,606,636,VIRGINIA
51085000303,1,1,Dem,539,687,VIRGINIA
51085000601,1,1,Dem,814,1214,VIRGINIA
51085000603,1,1,Dem,634,1116,VIRGINIA
51165000502,6,6,Dem,280,516,VIRGINIA
51185000209,9,9,Dem,517,364,VIRGINIA
51185000301,9,9,Dem,256,238,VIRGINIA
51049000501,5,5,Dem,399,516,VIRGINIA
51057000101,1,1,Dem,610,727,VIRGINIA
51107000218,10,10,Dem,1027,1753,VIRGINIA
51107000309,10,10,Dem,373,830,VIRGINIA
51107000219,10,10,Dem,1078,1593,VIRGINIA
51107000312,10,10,Dem,1371,1748,VIRGINIA
51107000504,10,10,Dem,1182,1379,VIRGINIA
51177000302,7,7,Dem,1273,1472,VIRGINIA
51177000602,7,7,Dem,1697,2472,VIRGINIA
51177000301,7,7,Dem,1059,1592,VIRGINIA
51177000303,7,7,Dem,1107,1369,VIRGINIA
51165000503,6,6,Dem,409,571,VIRGINIA
51101000201,1,1,Dem,204,241,VIRGINIA
51101000101,1,1,Dem,514,886,VIRGINIA
51820000004,6,6,Dem,1194,1252,VIRGINIA
51083000101,5,5,Dem,326,450,VIRGINIA
