state,district2010,district2020,precinct,party,candidate,votes
WASHINGTON,1,1,WOODSHIRE,REPUBLICAN,JEFFREY BEELER SR,246
WASHINGTON,2,2,160,DEMOCRAT,RICK LARSEN,615
WASHINGTON,2,2,160,REPUBLICAN,TIMOTHY S HAZELO,261
WASHINGTON,2,2,161,DEMOCRAT,RICK LARSEN,371
WASHINGTON,2,2,161,REPUBLICAN,TIMOTHY S HAZELO,179
WASHINGTON,2,2,169,DEMOCRAT,RICK LARSEN,776
WASHINGTON,2,2,169,REPUBLICAN,TIMOTHY S HAZELO,308
WASHINGTON,2,2,170,DEMOCRAT,RICK LARSEN,342
WASHINGTON,2,2,170,REPUBLICAN,TIMOTHY S HAZELO,158
WASHINGTON,2,2,171,DEMOCRAT,RICK LARSEN,670
WASHINGTON,2,2,171,REPUBLICAN,TIMOTHY S HAZELO,225
WASHINGTON,2,2,172,DEMOCRAT,RICK LARSEN,339
WASHINGTON,2,2,172,REPUBLICAN,TIMOTHY S HAZELO,173
WASHINGTON,2,2,173,DEMOCRAT,RICK LARSEN,422
WASHINGTON,2,2,173,REPUBLICAN,TIMOTHY S HAZELO,184
WASHINGTON,2,2,174,DEMOCRAT,RICK LARSEN,608
WASHINGTON,2,2,174,REPUBLICAN,TIMOTHY S HAZELO,220
WASHINGTON,2,2,175,DEMOCRAT,RICK LARSEN,746
WASHINGTON,2,2,175,REPUBLICAN,TIMOTHY S HAZELO,239
WASHINGTON,2,2,176,DEMOCRAT,RICK LARSEN,485
WASHINGTON,2,2,176,REPUBLICAN,TIMOTHY S HAZELO,205
WASHINGTON,2,2,177,DEMOCRAT,RICK LARSEN,441
WASHINGTON,2,2,177,REPUBLICAN,TIMOTHY S HAZELO,207
WASHINGTON,2,2,178,DEMOCRAT,RICK LARSEN,698
WASHINGTON,2,2,178,REPUBLICAN,TIMOTHY S HAZELO,268
WASHINGTON,2,2,180,DEMOCRAT,RICK LARSEN,504
WASHINGTON,2,2,180,REPUBLICAN,TIMOTHY S HAZELO,163
WASHINGTON,2,2,181,DEMOCRAT,RICK LARSEN,708
WASHINGTON,2,2,181,REPUBLICAN,TIMOTHY S HAZELO,426
WASHINGTON,2,2,182,DEMOCRAT,RICK LARSEN,729
WASHINGTON,2,2,182,REPUBLICAN,TIMOTHY S HAZELO,591
WASHINGTON,2,2,201,DEMOCRAT,RICK LARSEN,921
WASHINGTON,2,2,201,REPUBLICAN,TIMOTHY S HAZELO,359
WASHINGTON,2,2,202,DEMOCRAT,RICK LARSEN,803
WASHINGTON,2,2,202,REPUBLICAN,TIMOTHY S HAZELO,284
WASHINGTON,2,2,203,DEMOCRAT,RICK LARSEN,716
WASHINGTON,2,2,203,REPUBLICAN,TIMOTHY S HAZELO,340
WASHINGTON,2,2,204,DEMOCRAT,RICK LARSEN,499
WASHINGTON,2,2,204,REPUBLICAN,TIMOTHY S HAZELO,167
WASHINGTON,2,2,205,DEMOCRAT,RICK LARSEN,412
WASHINGTON,2,2,205,REPUBLICAN,TIMOTHY S HAZELO,166
WASHINGTON,2,2,206,DEMOCRAT,RICK LARSEN,907
WASHINGTON,2,2,206,REPUBLICAN,TIMOTHY S HAZELO,245
WASHINGTON,2,2,207,DEMOCRAT,RICK LARSEN,434
WASHINGTON,2,2,207,REPUBLICAN,TIMOTHY S HAZELO,120
WASHINGTON,2,2,208,DEMOCRAT,RICK LARSEN,1063
WASHINGTON,2,2,208,REPUBLICAN,TIMOTHY S HAZELO,222
WASHINGTON,2,2,209,DEMOCRAT,RICK LARSEN,644
WASHINGTON,2,2,209,REPUBLICAN,TIMOTHY S HAZELO,164
WASHINGTON,2,2,210,DEMOCRAT,RICK LARSEN,858
WASHINGTON,2,2,210,REPUBLICAN,TIMOTHY S HAZELO,106
WASHINGTON,2,2,211,DEMOCRAT,RICK LARSEN,817
WASHINGTON,2,2,211,REPUBLICAN,TIMOTHY S HAZELO,356
WASHINGTON,2,2,212,DEMOCRAT,RICK LARSEN,602
WASHINGTON,2,2,212,REPUBLICAN,TIMOTHY S HAZELO,236
WASHINGTON,2,2,213,DEMOCRAT,RICK LARSEN,706
WASHINGTON,2,2,213,REPUBLICAN,TIMOTHY S HAZELO,217
WASHINGTON,2,2,214,DEMOCRAT,RICK LARSEN,597
WASHINGTON,2,2,214,REPUBLICAN,TIMOTHY S HAZELO,87
WASHINGTON,2,2,215,DEMOCRAT,RICK LARSEN,752
WASHINGTON,2,2,215,REPUBLICAN,TIMOTHY S HAZELO,98
WASHINGTON,2,2,216,DEMOCRAT,RICK LARSEN,840
WASHINGTON,2,2,216,REPUBLICAN,TIMOTHY S HAZELO,111
WASHINGTON,2,2,217,DEMOCRAT,RICK LARSEN,396
WASHINGTON,2,2,217,REPUBLICAN,TIMOTHY S HAZELO,213
WASHINGTON,2,2,218,DEMOCRAT,RICK LARSEN,578
WASHINGTON,2,2,218,REPUBLICAN,TIMOTHY S HAZELO,197
