state,district1,district2,district3,precinct,party,candidate,votes
WISCONSIN,1,1,1,CITY OF BELOIT WARD 25,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF BELOIT WARD 25,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF BURLINGTON WARD 10,DEMOCRAT,ROGER POLACK,1
WISCONSIN,1,1,1,CITY OF BURLINGTON WARD 10,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF BURLINGTON WARD 9,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF BURLINGTON WARD 9,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF BURLINGTON WARDS 1-4,DEMOCRAT,ROGER POLACK,1122
WISCONSIN,1,1,1,CITY OF BURLINGTON WARDS 1-4,REPUBLICAN,BRYAN STEIL,1791
WISCONSIN,1,1,1,CITY OF BURLINGTON WARDS 5-8,DEMOCRAT,ROGER POLACK,1093
WISCONSIN,1,1,1,CITY OF BURLINGTON WARDS 5-8,REPUBLICAN,BRYAN STEIL,1862
WISCONSIN,1,1,1,CITY OF DELAVAN WARD 15,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF DELAVAN WARD 15,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,"CITY OF DELAVAN WARDS 1-14,16",DEMOCRAT,ROGER POLACK,1690
WISCONSIN,1,1,1,"CITY OF DELAVAN WARDS 1-14,16",REPUBLICAN,BRYAN STEIL,2086
WISCONSIN,1,1,1,CITY OF ELKHORN WARD 8,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF ELKHORN WARD 8,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF ELKHORN WARDS 1-7,DEMOCRAT,ROGER POLACK,1880
WISCONSIN,1,1,1,CITY OF ELKHORN WARDS 1-7,REPUBLICAN,BRYAN STEIL,3136
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 1,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 1,REPUBLICAN,BRYAN STEIL,1
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 10,DEMOCRAT,ROGER POLACK,192
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 10,REPUBLICAN,BRYAN STEIL,235
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 11,DEMOCRAT,ROGER POLACK,469
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 11,REPUBLICAN,BRYAN STEIL,705
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 12,DEMOCRAT,ROGER POLACK,298
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 12,REPUBLICAN,BRYAN STEIL,533
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 13,DEMOCRAT,ROGER POLACK,477
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 13,REPUBLICAN,BRYAN STEIL,691
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 14,DEMOCRAT,ROGER POLACK,411
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 14,REPUBLICAN,BRYAN STEIL,591
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 15A,DEMOCRAT,ROGER POLACK,179
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 15A,REPUBLICAN,BRYAN STEIL,344
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 15B,DEMOCRAT,ROGER POLACK,155
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 15B,REPUBLICAN,BRYAN STEIL,219
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 16,DEMOCRAT,ROGER POLACK,449
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 16,REPUBLICAN,BRYAN STEIL,768
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 17,DEMOCRAT,ROGER POLACK,356
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 17,REPUBLICAN,BRYAN STEIL,386
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 18,DEMOCRAT,ROGER POLACK,184
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 18,REPUBLICAN,BRYAN STEIL,274
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 19,DEMOCRAT,ROGER POLACK,470
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 19,REPUBLICAN,BRYAN STEIL,770
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 2,DEMOCRAT,ROGER POLACK,531
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 2,REPUBLICAN,BRYAN STEIL,966
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 20,DEMOCRAT,ROGER POLACK,301
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 20,REPUBLICAN,BRYAN STEIL,351
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 21,DEMOCRAT,ROGER POLACK,161
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 21,REPUBLICAN,BRYAN STEIL,137
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 22A,DEMOCRAT,ROGER POLACK,274
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 22A,REPUBLICAN,BRYAN STEIL,424
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 22B,DEMOCRAT,ROGER POLACK,248
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 22B,REPUBLICAN,BRYAN STEIL,408
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 23,DEMOCRAT,ROGER POLACK,418
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 23,REPUBLICAN,BRYAN STEIL,828
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 3,DEMOCRAT,ROGER POLACK,631
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 3,REPUBLICAN,BRYAN STEIL,918
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 4,DEMOCRAT,ROGER POLACK,272
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 4,REPUBLICAN,BRYAN STEIL,503
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 5,DEMOCRAT,ROGER POLACK,257
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 5,REPUBLICAN,BRYAN STEIL,386
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 6,DEMOCRAT,ROGER POLACK,411
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 6,REPUBLICAN,BRYAN STEIL,641
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 7,DEMOCRAT,ROGER POLACK,553
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 7,REPUBLICAN,BRYAN STEIL,845
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 8,DEMOCRAT,ROGER POLACK,489
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 8,REPUBLICAN,BRYAN STEIL,463
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 9,DEMOCRAT,ROGER POLACK,460
WISCONSIN,1,1,1,CITY OF FRANKLIN WARD 9,REPUBLICAN,BRYAN STEIL,501
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 1,DEMOCRAT,ROGER POLACK,804
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 1,REPUBLICAN,BRYAN STEIL,644
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 10,DEMOCRAT,ROGER POLACK,471
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 10,REPUBLICAN,BRYAN STEIL,396
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 11,DEMOCRAT,ROGER POLACK,694
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 11,REPUBLICAN,BRYAN STEIL,448
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 12,DEMOCRAT,ROGER POLACK,922
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 12,REPUBLICAN,BRYAN STEIL,836
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 13,DEMOCRAT,ROGER POLACK,830
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 13,REPUBLICAN,BRYAN STEIL,541
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 14,DEMOCRAT,ROGER POLACK,895
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 14,REPUBLICAN,BRYAN STEIL,624
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 15,DEMOCRAT,ROGER POLACK,702
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 15,REPUBLICAN,BRYAN STEIL,478
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 16,DEMOCRAT,ROGER POLACK,518
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 16,REPUBLICAN,BRYAN STEIL,407
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 17,DEMOCRAT,ROGER POLACK,862
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 17,REPUBLICAN,BRYAN STEIL,697
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 18,DEMOCRAT,ROGER POLACK,815
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 18,REPUBLICAN,BRYAN STEIL,665
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 19,DEMOCRAT,ROGER POLACK,222
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 19,REPUBLICAN,BRYAN STEIL,303
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 2,DEMOCRAT,ROGER POLACK,717
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 2,REPUBLICAN,BRYAN STEIL,595
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 20,DEMOCRAT,ROGER POLACK,303
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 20,REPUBLICAN,BRYAN STEIL,356
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 21,DEMOCRAT,ROGER POLACK,674
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 21,REPUBLICAN,BRYAN STEIL,692
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 22,DEMOCRAT,ROGER POLACK,684
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 22,REPUBLICAN,BRYAN STEIL,838
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 23,DEMOCRAT,ROGER POLACK,375
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 23,REPUBLICAN,BRYAN STEIL,386
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 24,DEMOCRAT,ROGER POLACK,602
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 24,REPUBLICAN,BRYAN STEIL,401
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 25,DEMOCRAT,ROGER POLACK,699
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 25,REPUBLICAN,BRYAN STEIL,676
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 26,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 26,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 27,DEMOCRAT,ROGER POLACK,980
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 27,REPUBLICAN,BRYAN STEIL,928
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 28,DEMOCRAT,ROGER POLACK,794
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 28,REPUBLICAN,BRYAN STEIL,762
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 29,DEMOCRAT,ROGER POLACK,19
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 29,REPUBLICAN,BRYAN STEIL,11
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 3,DEMOCRAT,ROGER POLACK,619
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 3,REPUBLICAN,BRYAN STEIL,406
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 31,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 31,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 32,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 32,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 33,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 33,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 36,DEMOCRAT,ROGER POLACK,1
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 36,REPUBLICAN,BRYAN STEIL,1
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 4,DEMOCRAT,ROGER POLACK,481
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 4,REPUBLICAN,BRYAN STEIL,312
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 5,DEMOCRAT,ROGER POLACK,673
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 5,REPUBLICAN,BRYAN STEIL,600
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 6,DEMOCRAT,ROGER POLACK,446
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 6,REPUBLICAN,BRYAN STEIL,477
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 7,DEMOCRAT,ROGER POLACK,827
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 7,REPUBLICAN,BRYAN STEIL,614
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 8,DEMOCRAT,ROGER POLACK,550
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 8,REPUBLICAN,BRYAN STEIL,479
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 9,DEMOCRAT,ROGER POLACK,560
WISCONSIN,1,1,1,CITY OF JANESVILLE WARD 9,REPUBLICAN,BRYAN STEIL,497
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 1,DEMOCRAT,ROGER POLACK,361
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 1,REPUBLICAN,BRYAN STEIL,232
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 10,DEMOCRAT,ROGER POLACK,272
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 10,REPUBLICAN,BRYAN STEIL,122
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 100,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 100,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 101,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 101,REPUBLICAN,BRYAN STEIL,3
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 102,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 102,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 103,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 103,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 104,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 104,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 105,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 105,REPUBLICAN,BRYAN STEIL,1
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 106,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 106,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 107,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 107,REPUBLICAN,BRYAN STEIL,2
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 108,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 108,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 109,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 109,REPUBLICAN,BRYAN STEIL,2
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 11,DEMOCRAT,ROGER POLACK,279
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 11,REPUBLICAN,BRYAN STEIL,160
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 110,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 110,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 111,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 111,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 112,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 112,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 113,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 113,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 114,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 114,REPUBLICAN,BRYAN STEIL,1
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 115,DEMOCRAT,ROGER POLACK,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 115,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 116,DEMOCRAT,ROGER POLACK,2
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 116,REPUBLICAN,BRYAN STEIL,0
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 12,DEMOCRAT,ROGER POLACK,345
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 12,REPUBLICAN,BRYAN STEIL,268
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 13,DEMOCRAT,ROGER POLACK,350
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 13,REPUBLICAN,BRYAN STEIL,373
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 14,DEMOCRAT,ROGER POLACK,393
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 14,REPUBLICAN,BRYAN STEIL,334
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 15,DEMOCRAT,ROGER POLACK,552
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 15,REPUBLICAN,BRYAN STEIL,474
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 16,DEMOCRAT,ROGER POLACK,200
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 16,REPUBLICAN,BRYAN STEIL,222
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 17,DEMOCRAT,ROGER POLACK,94
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 17,REPUBLICAN,BRYAN STEIL,80
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 18,DEMOCRAT,ROGER POLACK,404
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 18,REPUBLICAN,BRYAN STEIL,337
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 19,DEMOCRAT,ROGER POLACK,161
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 19,REPUBLICAN,BRYAN STEIL,129
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 2,DEMOCRAT,ROGER POLACK,254
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 2,REPUBLICAN,BRYAN STEIL,245
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 20,DEMOCRAT,ROGER POLACK,274
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 20,REPUBLICAN,BRYAN STEIL,337
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 21,DEMOCRAT,ROGER POLACK,135
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 21,REPUBLICAN,BRYAN STEIL,187
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 22,DEMOCRAT,ROGER POLACK,724
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 22,REPUBLICAN,BRYAN STEIL,839
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 23,DEMOCRAT,ROGER POLACK,193
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 23,REPUBLICAN,BRYAN STEIL,181
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 24,DEMOCRAT,ROGER POLACK,355
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 24,REPUBLICAN,BRYAN STEIL,340
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 25,DEMOCRAT,ROGER POLACK,409
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 25,REPUBLICAN,BRYAN STEIL,366
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 26,DEMOCRAT,ROGER POLACK,205
