FriendlyId,district2020,district2022,party,votes2016,votes2020,state
55099004857,7,7,Dem,184,210,WISCONSIN
55099004865,7,7,Dem,39,39,WISCONSIN
55099004859,7,7,Dem,67,71,WISCONSIN
55099004889,7,7,Dem,105,110,WISCONSIN
55099004884,7,7,Dem,82,105,WISCONSIN
55099004882,7,7,Dem,86,98,WISCONSIN
55099004858,7,7,Dem,36,43,WISCONSIN
55099004870,7,7,Dem,106,123,WISCONSIN
55099004856,7,7,Dem,40,48,WISCONSIN
55099004863,7,7,Dem,19,27,WISCONSIN
55135006989,8,8,Dem,53,60,WISCONSIN
55017000595,3,3,Dem,201,235,WISCONSIN
55127006278,1,1,Dem,138,170,WISCONSIN
55127006271,5,1,Dem,370,352,WISCONSIN
55127006218,1,1,Dem,278,336,WISCONSIN
55127006222,1,1,Dem,107,132,WISCONSIN
55127006174,1,1,Dem,83,109,WISCONSIN
55127006285,1,1,Dem,133,154,WISCONSIN
55127006173,1,1,Dem,154,181,WISCONSIN
55127006289,1,5,Dem,168,220,WISCONSIN
55127006296,1,1,Dem,145,187,WISCONSIN
55127006211,1,1,Dem,215,266,WISCONSIN
55135006931,8,8,Dem,43,49,WISCONSIN
55135006962,8,8,Dem,132,150,WISCONSIN
55135006985,8,8,Dem,180,219,WISCONSIN
55135006941,8,8,Dem,45,44,WISCONSIN
55135006925,8,8,Dem,84,94,WISCONSIN
55135006998,8,8,Dem,94,105,WISCONSIN
55099004878,7,7,Dem,109,120,WISCONSIN
55135006943,8,8,Dem,105,126,WISCONSIN
55099004861,7,7,Dem,70,85,WISCONSIN
55099004886,7,7,Dem,43,63,WISCONSIN
55099004877,7,7,Dem,108,120,WISCONSIN
55125006134,7,7,Dem,130,179,WISCONSIN
55125006121,7,7,Dem,184,240,WISCONSIN
55067002994,7,7,Dem,160,169,WISCONSIN
55067003020,7,7,Dem,136,159,WISCONSIN
55067003006,7,7,Dem,152,179,WISCONSIN
55067003005,7,7,Dem,84,94,WISCONSIN
55067003023,7,7,Dem,172,208,WISCONSIN
55135006982,8,8,Dem,56,69,WISCONSIN
55135006916,8,8,Dem,54,64,WISCONSIN
55135006919,8,8,Dem,113,129,WISCONSIN
55135006956,8,8,Dem,76,80,WISCONSIN
55135006979,8,8,Dem,65,84,WISCONSIN
55135006984,8,8,Dem,201,225,WISCONSIN
55135007001,8,8,Dem,53,60,WISCONSIN
55135006967,8,8,Dem,61,69,WISCONSIN
55135006996,8,8,Dem,75,79,WISCONSIN
55135006973,8,8,Dem,122,147,WISCONSIN
55135006960,8,8,Dem,48,57,WISCONSIN
55009000383,8,8,Dem,607,717,WISCONSIN
55009000385,8,8,Dem,578,700,WISCONSIN
55009000206,8,8,Dem,372,408,WISCONSIN
55027001487,6,6,Dem,90,94,WISCONSIN
55027001565,5,5,Dem,80,86,WISCONSIN
55067002988,7,7,Dem,14,19,WISCONSIN
55067002995,7,7,Dem,22,28,WISCONSIN
55067003022,7,7,Dem,146,169,WISCONSIN
55125006123,7,7,Dem,220,250,WISCONSIN
55125006127,7,7,Dem,87,108,WISCONSIN
55009000282,8,8,Dem,95,108,WISCONSIN
55141007305,7,7,Dem,311,307,WISCONSIN
55141007296,7,7,Dem,315,345,WISCONSIN
55141007356,3,3,Dem,183,227,WISCONSIN
55141007264,7,7,Dem,95,110,WISCONSIN
55141007349,3,3,Dem,314,344,WISCONSIN
55141007283,7,7,Dem,20,21,WISCONSIN
55141007324,7,7,Dem,42,48,WISCONSIN
55141007303,7,7,Dem,282,361,WISCONSIN
55141007348,3,3,Dem,89,96,WISCONSIN
55141007284,7,7,Dem,158,169,WISCONSIN
55141007268,3,3,Dem,29,43,WISCONSIN
55141007360,3,3,Dem,108,118,WISCONSIN
55141007373,3,3,Dem,117,129,WISCONSIN
55027001547,5,5,Dem,118,127,WISCONSIN
55027001514,5,5,Dem,90,108,WISCONSIN
55009000269,8,8,Dem,424,531,WISCONSIN
55009000333,8,8,Dem,122,127,WISCONSIN
55099004866,7,7,Dem,48,55,WISCONSIN
55099004864,7,7,Dem,37,34,WISCONSIN
55141007338,3,3,Dem,143,155,WISCONSIN
55141007262,7,7,Dem,45,54,WISCONSIN
55141007362,3,3,Dem,76,95,WISCONSIN
55125006130,7,7,Dem,114,146,WISCONSIN
55125006143,7,7,Dem,94,118,WISCONSIN
55027001602,5,5,Dem,57,65,WISCONSIN
55009000234,8,8,Dem,537,564,WISCONSIN
55009000387,8,8,Dem,405,480,WISCONSIN
55009000341,8,8,Dem,157,195,WISCONSIN
55085004221,7,7,Dem,76,93,WISCONSIN
55085004263,7,7,Dem,113,130,WISCONSIN
55085004259,7,7,Dem,194,280,WISCONSIN
55085004245,7,7,Dem,60,79,WISCONSIN
