FriendlyId,district2020,district2022,party,votes,state
55099004857,7.0,7.0,Dem,210,WISCONSIN
55099004865,7.0,7.0,Dem,39,WISCONSIN
55099004859,7.0,7.0,Dem,71,WISCONSIN
55099004889,7.0,7.0,Dem,110,WISCONSIN
55099004884,7.0,7.0,Dem,105,WISCONSIN
55099004882,7.0,7.0,Dem,98,WISCONSIN
55099004858,7.0,7.0,Dem,43,WISCONSIN
55099004870,7.0,7.0,Dem,123,WISCONSIN
55099004856,7.0,7.0,Dem,48,WISCONSIN
55099004863,7.0,7.0,Dem,27,WISCONSIN
55135006989,8.0,8.0,Dem,60,WISCONSIN
55017000595,3.0,3.0,Dem,235,WISCONSIN
55127006278,1.0,1.0,Dem,170,WISCONSIN
55127006271,5.0,1.0,Dem,352,WISCONSIN
55127006218,1.0,1.0,Dem,336,WISCONSIN
55127006222,1.0,1.0,Dem,132,WISCONSIN
55127006174,1.0,1.0,Dem,109,WISCONSIN
55127006285,1.0,1.0,Dem,154,WISCONSIN
55127006173,1.0,1.0,Dem,181,WISCONSIN
55127006289,1.0,5.0,Dem,220,WISCONSIN
55127006296,1.0,1.0,Dem,187,WISCONSIN
55127006211,1.0,1.0,Dem,266,WISCONSIN
55135006931,8.0,8.0,Dem,49,WISCONSIN
55135006962,8.0,8.0,Dem,150,WISCONSIN
55135006985,8.0,8.0,Dem,219,WISCONSIN
55135006941,8.0,8.0,Dem,44,WISCONSIN
55135006925,8.0,8.0,Dem,94,WISCONSIN
55135006998,8.0,8.0,Dem,105,WISCONSIN
55099004878,7.0,7.0,Dem,120,WISCONSIN
55135006943,8.0,8.0,Dem,126,WISCONSIN
55099004861,7.0,7.0,Dem,85,WISCONSIN
55099004886,7.0,7.0,Dem,63,WISCONSIN
55099004877,7.0,7.0,Dem,120,WISCONSIN
55125006134,7.0,7.0,Dem,179,WISCONSIN
55125006121,7.0,7.0,Dem,240,WISCONSIN
55067002994,7.0,7.0,Dem,169,WISCONSIN
55067003020,7.0,7.0,Dem,159,WISCONSIN
55067003006,7.0,7.0,Dem,179,WISCONSIN
55067003005,7.0,7.0,Dem,94,WISCONSIN
55067003023,7.0,7.0,Dem,208,WISCONSIN
55135006982,8.0,8.0,Dem,69,WISCONSIN
55135006916,8.0,8.0,Dem,64,WISCONSIN
55135006919,8.0,8.0,Dem,129,WISCONSIN
55135006956,8.0,8.0,Dem,80,WISCONSIN
55135006979,8.0,8.0,Dem,84,WISCONSIN
55135006984,8.0,8.0,Dem,225,WISCONSIN
55135007001,8.0,8.0,Dem,60,WISCONSIN
55135006967,8.0,8.0,Dem,69,WISCONSIN
55135006996,8.0,8.0,Dem,79,WISCONSIN
55135006973,8.0,8.0,Dem,147,WISCONSIN
55135006960,8.0,8.0,Dem,57,WISCONSIN
55009000383,8.0,8.0,Dem,717,WISCONSIN
55009000385,8.0,8.0,Dem,700,WISCONSIN
55009000206,8.0,8.0,Dem,408,WISCONSIN
55027001487,6.0,6.0,Dem,94,WISCONSIN
55027001565,5.0,5.0,Dem,86,WISCONSIN
55067002988,7.0,7.0,Dem,19,WISCONSIN
55067002995,7.0,7.0,Dem,28,WISCONSIN
55067003022,7.0,7.0,Dem,169,WISCONSIN
55125006123,7.0,7.0,Dem,250,WISCONSIN
55125006127,7.0,7.0,Dem,108,WISCONSIN
55009000282,8.0,8.0,Dem,108,WISCONSIN
55141007305,7.0,7.0,Dem,307,WISCONSIN
55141007296,7.0,7.0,Dem,345,WISCONSIN
55141007356,3.0,3.0,Dem,227,WISCONSIN
55141007264,7.0,7.0,Dem,110,WISCONSIN
55141007349,3.0,3.0,Dem,344,WISCONSIN
55141007283,7.0,7.0,Dem,21,WISCONSIN
55141007324,7.0,7.0,Dem,48,WISCONSIN
55141007303,7.0,7.0,Dem,361,WISCONSIN
55141007348,3.0,3.0,Dem,96,WISCONSIN
55141007284,7.0,7.0,Dem,169,WISCONSIN
55141007268,3.0,3.0,Dem,43,WISCONSIN
55141007360,3.0,3.0,Dem,118,WISCONSIN
55141007373,3.0,3.0,Dem,129,WISCONSIN
55027001547,5.0,5.0,Dem,127,WISCONSIN
55027001514,5.0,5.0,Dem,108,WISCONSIN
55009000269,8.0,8.0,Dem,531,WISCONSIN
55009000333,8.0,8.0,Dem,127,WISCONSIN
55099004866,7.0,7.0,Dem,55,WISCONSIN
55099004864,7.0,7.0,Dem,34,WISCONSIN
55141007338,3.0,3.0,Dem,155,WISCONSIN
55141007262,7.0,7.0,Dem,54,WISCONSIN
55141007362,3.0,3.0,Dem,95,WISCONSIN
55125006130,7.0,7.0,Dem,146,WISCONSIN
55125006143,7.0,7.0,Dem,118,WISCONSIN
55027001602,5.0,5.0,Dem,65,WISCONSIN
55009000234,8.0,8.0,Dem,564,WISCONSIN
55009000387,8.0,8.0,Dem,480,WISCONSIN
55009000341,8.0,8.0,Dem,195,WISCONSIN
55085004221,7.0,7.0,Dem,93,WISCONSIN
55085004263,7.0,7.0,Dem,130,WISCONSIN
55085004259,7.0,7.0,Dem,280,WISCONSIN
55085004245,7.0,7.0,Dem,79,WISCONSIN
55085004255,7.0,7.0,Dem,24,WISCONSIN
55085004233,7.0,7.0,Dem,190,WISCONSIN
55085004226,7.0,7.0,Dem,221,WISCONSIN
55125006103,7.0,7.0,Dem,68,WISCONSIN
55125006125,7.0,7.0,Dem,88,WISCONSIN
55027001525,5.0,5.0,Dem,131,WISCONSIN
55027001460,5.0,5.0,Dem,154,WISCONSIN
55027001601,5.0,5.0,Dem,136,WISCONSIN
55027001588,6.0,6.0,Dem,247,WISCONSIN
55033001739,3.0,3.0,Dem,61,WISCONSIN
55033001778,3.0,3.0,Dem,181,WISCONSIN
55127006207,1.0,1.0,Dem,151,WISCONSIN
55127006212,1.0,1.0,Dem,249,WISCONSIN
55127006258,1.0,1.0,Dem,5,WISCONSIN
55127006195,1.0,5.0,Dem,153,WISCONSIN
55127006237,1.0,1.0,Dem,144,WISCONSIN
55127006185,1.0,1.0,Dem,115,WISCONSIN
55127006295,1.0,1.0,Dem,103,WISCONSIN
55127006263,1.0,1.0,Dem,77,WISCONSIN
55127006208,1.0,1.0,Dem,123,WISCONSIN
55127006264,1.0,1.0,Dem,65,WISCONSIN
55127006240,1.0,1.0,Dem,134,WISCONSIN
55127006189,1.0,1.0,Dem,199,WISCONSIN
55127006194,1.0,5.0,Dem,122,WISCONSIN
55027001557,5.0,5.0,Dem,116,WISCONSIN
55085004243,7.0,7.0,Dem,202,WISCONSIN
55085004280,7.0,7.0,Dem,47,WISCONSIN
55085004257,7.0,7.0,Dem,273,WISCONSIN
55085004252,7.0,7.0,Dem,269,WISCONSIN
55085004273,7.0,7.0,Dem,260,WISCONSIN
55033001743,3.0,3.0,Dem,374,WISCONSIN
55033001781,3.0,3.0,Dem,378,WISCONSIN
