workclass,education,marital-status,occupation,relationship,race,sex,income
 State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0
 Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0
 Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,1
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,1
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,1
 Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,0
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,1
 Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0
 Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0
 Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,1
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0
 Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0
 Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0
 Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,1
 Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0
 Unknown, Some-college, Married-civ-spouse, Unknown, Husband, Asian-Pac-Islander, Male,1
 Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0
 Private, Some-college, Never-married, Sales, Own-child, Black, Male,0
 Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,0
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0
 State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0
 Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,0
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0
 Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,1
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0
 Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,1
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0
 State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0
 Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,1
 Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,1
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,1
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0
 Unknown, 7th-8th, Married-spouse-absent, Unknown, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,1
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Unknown, Some-college, Never-married, Unknown, Own-child, White, Male,0
 Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0
 Private, Bachelors, Separated, Sales, Own-child, Black, Female,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0
 Unknown, 10th, Married-civ-spouse, Unknown, Husband, White, Male,0
 Private, 11th, Never-married, Other-service, Own-child, White, Female,0
 Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0
