exporter,importer,sector,year,trade
ARG,ARG,1,2010,12646.449000000002
ARG,ARG,1,2011,16454.933
ARG,ARG,1,2012,16605.603
ARG,ARG,1,2013,18521.688000000002
ARG,ARG,1,2014,20235.109999999997
ARG,ARG,1,2015,15290.927999999998
ARG,ARG,1,2016,9323.236
ARG,ARG,1,2017,9092.829
ARG,ARG,1,2018,5534.361
ARG,ARG,1,2019,870.8779999999999
ARG,ARG,2,2010,37774.154752
ARG,ARG,2,2011,42801.783808
ARG,ARG,2,2012,45840.956416
ARG,ARG,2,2013,44838.808575999996
ARG,ARG,2,2014,44072.66816
ARG,ARG,2,2015,45270.566912
ARG,ARG,2,2016,45499.649024
ARG,ARG,2,2017,47601.401856
ARG,ARG,2,2018,52876.064768
ARG,ARG,2,2019,47440.984064000004
ARG,ARG,3,2010,1846.649344
ARG,ARG,3,2011,2171.9608
ARG,ARG,3,2012,2283.830848
ARG,ARG,3,2013,2153.84672
ARG,ARG,3,2014,2182.43296
ARG,ARG,3,2015,2808.328064
ARG,ARG,3,2016,2093.60336
ARG,ARG,3,2017,2170.759424
ARG,ARG,3,2018,1710.968144
ARG,ARG,3,2019,1424.45816
ARG,BOL,1,2010,29.081587
ARG,BOL,1,2011,86.90833699999999
ARG,BOL,1,2012,73.74565
ARG,BOL,1,2013,61.84847099999999
ARG,BOL,1,2014,62.840049
ARG,BOL,1,2015,51.85328299999999
ARG,BOL,1,2016,52.850267
ARG,BOL,1,2017,81.63443299999999
ARG,BOL,1,2018,57.62861400000002
ARG,BOL,1,2019,49.567263999999994
ARG,BOL,2,2010,0.371805
ARG,BOL,2,2011,0.640671
ARG,BOL,2,2012,1.08793
ARG,BOL,2,2013,2.230325
ARG,BOL,2,2014,0.341911
ARG,BOL,2,2015,0.26823
ARG,BOL,2,2016,0.204939
ARG,BOL,2,2017,0.548461
ARG,BOL,2,2018,0.501164
ARG,BOL,2,2019,1.2045320000000002
ARG,BOL,3,2010,684.997796
ARG,BOL,3,2011,883.3008840000001
ARG,BOL,3,2012,996.2330140000001
ARG,BOL,3,2013,976.4796019999999
ARG,BOL,3,2014,1141.6196350000005
ARG,BOL,3,2015,1120.8276130000002
ARG,BOL,3,2016,851.399828
ARG,BOL,3,2017,1099.1013290000003
ARG,BOL,3,2018,1095.1695670000004
ARG,BOL,3,2019,1050.6373190000006
ARG,BRA,1,2010,1947.8425919999997
ARG,BRA,1,2011,2494.7472829999992
ARG,BRA,1,2012,2261.8252269999994
ARG,BRA,1,2013,1880.5700410000004
ARG,BRA,1,2014,1283.7137490000002
ARG,BRA,1,2015,1529.0425720000005
ARG,BRA,1,2016,1831.4280749999996
ARG,BRA,1,2017,1707.6876699999998
ARG,BRA,1,2018,1957.362481
ARG,BRA,1,2019,1971.0311589999997
ARG,BRA,2,2010,121.123425
ARG,BRA,2,2011,220.99910000000003
ARG,BRA,2,2012,270.48415900000003
ARG,BRA,2,2013,92.894688
ARG,BRA,2,2014,93.76127699999999
ARG,BRA,2,2015,57.398918
ARG,BRA,2,2016,51.784141
ARG,BRA,2,2017,30.839087999999997
ARG,BRA,2,2018,54.95769
ARG,BRA,2,2019,40.386176999999996
ARG,BRA,3,2010,13101.034069000001
ARG,BRA,3,2011,14924.868832999999
ARG,BRA,3,2012,14426.034166999994
ARG,BRA,3,2013,15148.322341999998
ARG,BRA,3,2014,13232.239056
ARG,BRA,3,2015,9062.207525
ARG,BRA,3,2016,7536.091885999997
ARG,BRA,3,2017,8015.669722999998
ARG,BRA,3,2018,9447.945649000001
ARG,BRA,3,2019,9008.284391000001
ARG,CAN,1,2010,82.23569399999997
ARG,CAN,1,2011,84.80104600000001
ARG,CAN,1,2012,99.410221
ARG,CAN,1,2013,85.785074
ARG,CAN,1,2014,90.99223100000002
ARG,CAN,1,2015,74.01409899999999
ARG,CAN,1,2016,69.45994200000001
ARG,CAN,1,2017,75.58720100000002
ARG,CAN,1,2018,72.63865900000002
ARG,CAN,1,2019,62.065405999999996
ARG,CAN,2,2010,1.075231
ARG,CAN,2,2011,11.829619999999998
ARG,CAN,2,2012,65.527134
ARG,CAN,2,2013,59.867538999999994
ARG,CAN,2,2014,22.660033000000002
ARG,CAN,2,2015,97.02191400000001
ARG,CAN,2,2016,24.597966
ARG,CAN,2,2017,27.129410999999998
ARG,CAN,2,2018,6.821106
ARG,CAN,2,2019,1.2544069999999998
ARG,CAN,3,2010,1427.9603299999999
ARG,CAN,3,2011,2295.730488
ARG,CAN,3,2012,2069.983725000001
ARG,CAN,3,2013,1649.7764100000002
ARG,CAN,3,2014,1657.866466
ARG,CAN,3,2015,1301.0790990000007
ARG,CAN,3,2016,1117.8585679999999
ARG,CAN,3,2017,1310.822342
ARG,CAN,3,2018,1252.6074700000001
ARG,CAN,3,2019,624.9177419999999
ARG,CAN,4,2010,36.00000083446503
ARG,CAN,4,2011,56.50000095367433
ARG,CAN,4,2012,54.0
ARG,CAN,4,2013,32.2000002861023
ARG,CAN,4,2014,30.600000143051147
ARG,CAN,4,2015,21.900000154972076
ARG,CAN,4,2016,34.00000023841858
ARG,CAN,4,2017,24.699999570846558
ARG,CAN,4,2018,0.0
ARG,CAN,4,2019,0.0
ARG,CHL,1,2010,468.13581500000004
ARG,CHL,1,2011,625.5166490000001
ARG,CHL,1,2012,814.918609
