exporter,importer,sector,year,trade
CAN,CAN,1,2010,7536.96
CAN,CAN,1,2011,10182.110999999999
CAN,CAN,1,2012,11965.874999999998
CAN,CAN,1,2013,16768.007999999998
CAN,CAN,1,2014,7618.289000000001
CAN,CAN,1,2015,8422.549
CAN,CAN,1,2016,9128.742
CAN,CAN,1,2017,9268.923999999999
CAN,CAN,1,2018,9311.874000000002
CAN,CAN,1,2019,8351.924
CAN,CAN,3,2010,193704.99099299996
CAN,CAN,3,2011,203118.01170199996
CAN,CAN,3,2012,210011.080733
CAN,CAN,3,2013,199623.40374999994
CAN,CAN,3,2014,191842.888526
CAN,CAN,3,2015,162970.659204
CAN,CAN,3,2016,165911.75085999997
CAN,CAN,3,2017,184397.64265399994
CAN,CAN,3,2018,192894.12199100002
CAN,CAN,3,2019,187568.11222399998
CAN,CAN,4,2010,1492153.48046875
CAN,CAN,4,2011,1629978.9609375
CAN,CAN,4,2012,1694721.603515625
CAN,CAN,4,2013,1715850.55078125
CAN,CAN,4,2014,1680476.525390625
CAN,CAN,4,2015,1481120.296875
CAN,CAN,4,2016,1453983.37109375
CAN,CAN,4,2017,1553190.59765625
CAN,MEX,1,2010,1052.4124590000001
CAN,MEX,1,2011,1500.223234
CAN,MEX,1,2012,1459.4905489999996
CAN,MEX,1,2013,1366.1272400000003
CAN,MEX,1,2014,1258.2346990000003
CAN,MEX,1,2015,1085.8082649999997
CAN,MEX,1,2016,1004.0723170000002
CAN,MEX,1,2017,1129.1686159999997
CAN,MEX,1,2018,1141.6212070000001
CAN,MEX,1,2019,717.247007
CAN,MEX,2,2010,132.184032
CAN,MEX,2,2011,143.072523
CAN,MEX,2,2012,75.20916700000001
CAN,MEX,2,2013,82.177561
CAN,MEX,2,2014,52.107844
CAN,MEX,2,2015,31.002001999999997
CAN,MEX,2,2016,64.81747
CAN,MEX,2,2017,66.478096
CAN,MEX,2,2018,61.555652
CAN,MEX,2,2019,40.227776
CAN,MEX,3,2010,7305.640692000001
CAN,MEX,3,2011,7799.543182
CAN,MEX,3,2012,8194.517833999998
CAN,MEX,3,2013,8268.877659
CAN,MEX,3,2014,8263.251227000002
CAN,MEX,3,2015,8054.168229
CAN,MEX,3,2016,8017.205383000001
CAN,MEX,3,2017,8098.6433560000005
CAN,MEX,3,2018,8899.695278000001
CAN,MEX,3,2019,7970.966676999998
CAN,MEX,4,2010,423.1999969482422
CAN,MEX,4,2011,455.09999990463257
CAN,MEX,4,2012,590.4000015258789
CAN,MEX,4,2013,557.599992275238
CAN,MEX,4,2014,546.1000075340271
CAN,MEX,4,2015,504.0999984741211
CAN,MEX,4,2016,463.4000062942505
CAN,MEX,4,2017,494.79999119043356
CAN,MEX,4,2018,0.0
CAN,MEX,4,2019,0.0
CAN,USA,1,2010,6283.799240000001
CAN,USA,1,2011,6824.433244999999
CAN,USA,1,2012,6832.553920999998
CAN,USA,1,2013,8009.887416000001
CAN,USA,1,2014,8510.973211
CAN,USA,1,2015,7387.787284
CAN,USA,1,2016,6580.185591000001
CAN,USA,1,2017,6765.994664999999
CAN,USA,1,2018,6973.459359999999
CAN,USA,1,2019,6935.535923
CAN,USA,2,2010,69288.538429
