country,broad_sector,year,export_trade,import_trade
BRA,1,2010,358.775724,1882.201569
BRA,1,2011,547.367316,2768.036053
BRA,1,2012,174.75876,2288.733412
BRA,1,2013,1342.949985,2391.614242
BRA,1,2014,1034.6799369999999,2553.093953
BRA,1,2015,281.23739700000004,2141.377295
BRA,1,2016,438.23341300000004,1847.6548549999998
BRA,1,2017,300.164911,1759.7556200000001
BRA,1,2018,292.0860380000001,1641.822941
BRA,1,2019,301.85445599999997,1806.781721
BRA,2,2010,1674.953242,7845.287092
BRA,2,2011,2577.5596889999997,9802.650374
BRA,2,2012,1858.503737,8084.828783
BRA,2,2013,1418.938748,4713.892858
BRA,2,2014,1179.851638,5880.253393999999
BRA,2,2015,1115.0498690000002,4405.413699
BRA,2,2016,860.291543,2710.587492
BRA,2,2017,1469.80123,4503.308419
BRA,2,2018,2390.299823,4503.072840999999
BRA,2,2019,2625.4953649999998,4291.725100000001
BRA,3,2010,26694.254243000007,14457.291836999999
BRA,3,2011,32690.37991,18853.503198000002
BRA,3,2012,32220.727095000002,20888.15534399999
BRA,3,2013,35123.93020399999,19476.551731999996
BRA,3,2014,34658.11004699999,20321.731870999996
BRA,3,2015,26670.99875500002,19240.53543400001
BRA,3,2016,23956.21251599999,18906.326746000002
BRA,3,2017,27547.95602999999,20803.96446899999
BRA,3,2018,32004.352267,22397.40849299999
BRA,3,2019,33755.183232999996,23331.604334000003
BRA,4,2010,18419.0,5058.0
BRA,4,2011,22930.0,6446.0
BRA,4,2012,25418.0,6184.0
BRA,4,2013,27454.0,6555.0
BRA,4,2014,28964.0,7917.0
BRA,4,2015,27115.0,6523.0
BRA,4,2016,22370.0,5224.0
BRA,4,2017,26525.0,5220.0
BRA,4,2018,26573.0,4533.0
BRA,4,2019,24258.0,4720.0
CAN,1,2010,5524.9294070000005,6283.799240000001
CAN,1,2011,6012.2899929999985,6824.433244999999
CAN,1,2012,5996.259090999999,6832.553920999998
CAN,1,2013,6182.236318000001,8009.887416000001
CAN,1,2014,6453.001035999999,8510.973211
CAN,1,2015,6297.495402000001,7387.787284
CAN,1,2016,6074.924245000001,6580.185591000001
CAN,1,2017,6162.388099999997,6765.994664999999
CAN,1,2018,6808.564931999999,6973.459359999999
CAN,1,2019,6825.209869,6935.535923
CAN,2,2010,8196.256687000001,69288.538429
CAN,2,2011,8971.100278000002,85154.781814
CAN,2,2012,8572.099944999998,85692.45603
CAN,2,2013,11592.072213,93274.704172
CAN,2,2014,19333.589339,104813.94322600002
CAN,2,2015,12633.419211,61896.302900999995
CAN,2,2016,9516.952394,48866.357448
CAN,2,2017,12588.088384000002,64899.757685000004
CAN,2,2018,15170.289577000001,75498.191978
CAN,2,2019,15967.155714999999,76829.36404899998
CAN,3,2010,176224.22007100002,192054.456896
CAN,3,2011,199358.70779599994,211579.30391699998
CAN,3,2012,213888.32149600002,222384.37392100008
CAN,3,2013,215824.1635349999,222667.59575299994
CAN,3,2014,218806.70421200004,226053.71940400003
CAN,3,2015,197622.33983200003,215008.022488
CAN,3,2016,187831.29727600008,208340.01417399995
CAN,3,2017,196692.84958000004,209520.2972630001
CAN,3,2018,206005.461491,219174.38917699995
CAN,3,2019,199991.996022,221640.25399700002
CAN,4,2010,57289.0,42677.900650024414
CAN,4,2011,61897.0,47417.59941864014
CAN,4,2012,65774.0,50772.199699401855
CAN,4,2013,67546.0,51275.90033721924
CAN,4,2014,65980.0,50146.90174865723
CAN,4,2015,59816.0,46790.399742126465
CAN,4,2016,60734.0,48176.600425720215
CAN,4,2017,65108.0,51999.899589538574
CAN,4,2018,68684.0,53471.09812164307
CAN,4,2019,69393.0,38674.0
CHN,1,2010,16256.099410000003,1501.837395
CHN,1,2011,19752.187004999996,1658.8342669999997
CHN,1,2012,24629.224067999992,1711.177113
CHN,1,2013,22662.249170000003,1956.113646
CHN,1,2014,24887.180530999995,1857.2211820000002
CHN,1,2015,21161.464947000004,1982.3878149999998
CHN,1,2016,20314.644037,1889.419625
CHN,1,2017,20688.350236,1846.5920390000003
CHN,1,2018,12865.035471000003,2034.433428
CHN,1,2019,10546.247698999998,1568.1840619999998
CHN,2,2010,2446.2695190000004,547.943717
CHN,2,2011,2916.4558509999997,589.022845
CHN,2,2012,3344.4508710000005,558.417774
CHN,2,2013,3579.536421,453.492724
CHN,2,2014,2631.4487,456.575531
CHN,2,2015,1929.0376880000001,468.23609400000004
CHN,2,2016,1684.647236,328.424712
CHN,2,2017,6124.151430000001,396.821023
CHN,2,2018,9751.633043999998,511.007508
CHN,2,2019,4138.092168,407.578532
CHN,3,2010,77152.18039600001,376867.0843329999
CHN,3,2011,88050.74948,410755.7984919999
CHN,3,2012,98796.825389,437736.0039279998
CHN,3,2013,119251.25941500002,452349.15059200005
CHN,3,2014,125557.23470299997,479695.57379999995
CHN,3,2015,125262.052274,496295.97052000003
CHN,3,2016,111844.28930399998,473904.8505429998
CHN,3,2017,124807.872028,516703.3813269999
CHN,3,2018,130575.90776599997,553608.6662650001
