mpg,cylinders,horsepower,acceleration,model year,origin
18.0,8,130.0,12.0,70,1
15.0,8,165.0,11.5,70,1
18.0,8,150.0,11.0,70,1
16.0,8,150.0,12.0,70,1
17.0,8,140.0,10.5,70,1
15.0,8,198.0,10.0,70,1
14.0,8,220.0,9.0,70,1
14.0,8,215.0,8.5,70,1
14.0,8,225.0,10.0,70,1
15.0,8,190.0,8.5,70,1
15.0,8,170.0,10.0,70,1
14.0,8,160.0,8.0,70,1
15.0,8,150.0,9.5,70,1
14.0,8,225.0,10.0,70,1
24.0,4,95.0,15.0,70,3
22.0,6,95.0,15.5,70,1
18.0,6,97.0,15.5,70,1
21.0,6,85.0,16.0,70,1
27.0,4,88.0,14.5,70,3
26.0,4,46.0,20.5,70,2
25.0,4,87.0,17.5,70,2
24.0,4,90.0,14.5,70,2
25.0,4,95.0,17.5,70,2
26.0,4,113.0,12.5,70,2
21.0,6,90.0,15.0,70,1
10.0,8,215.0,14.0,70,1
10.0,8,200.0,15.0,70,1
11.0,8,210.0,13.5,70,1
9.0,8,193.0,18.5,70,1
27.0,4,88.0,14.5,71,3
28.0,4,90.0,15.5,71,1
25.0,4,95.0,14.0,71,3
19.0,6,100.0,13.0,71,1
16.0,6,105.0,15.5,71,1
17.0,6,100.0,15.5,71,1
19.0,6,88.0,15.5,71,1
18.0,6,100.0,15.5,71,1
14.0,8,165.0,12.0,71,1
14.0,8,175.0,11.5,71,1
14.0,8,153.0,13.5,71,1
14.0,8,150.0,13.0,71,1
12.0,8,180.0,11.5,71,1
13.0,8,170.0,12.0,71,1
13.0,8,175.0,12.0,71,1
18.0,6,110.0,13.5,71,1
22.0,4,72.0,19.0,71,1
19.0,6,100.0,15.0,71,1
18.0,6,88.0,14.5,71,1
23.0,4,86.0,14.0,71,1
28.0,4,90.0,14.0,71,2
30.0,4,70.0,19.5,71,2
30.0,4,76.0,14.5,71,2
31.0,4,65.0,19.0,71,3
35.0,4,69.0,18.0,71,3
27.0,4,60.0,19.0,71,2
26.0,4,70.0,20.5,71,1
24.0,4,95.0,15.5,72,3
25.0,4,80.0,17.0,72,1
23.0,4,54.0,23.5,72,2
20.0,4,90.0,19.5,72,1
21.0,4,86.0,16.5,72,1
13.0,8,165.0,12.0,72,1
14.0,8,175.0,12.0,72,1
15.0,8,150.0,13.5,72,1
14.0,8,153.0,13.0,72,1
17.0,8,150.0,11.5,72,1
11.0,8,208.0,11.0,72,1
13.0,8,155.0,13.5,72,1
12.0,8,160.0,13.5,72,1
13.0,8,190.0,12.5,72,1
19.0,3,97.0,13.5,72,3
15.0,8,150.0,12.5,72,1
13.0,8,130.0,14.0,72,1
13.0,8,140.0,16.0,72,1
14.0,8,150.0,14.0,72,1
18.0,4,112.0,14.5,72,2
22.0,4,76.0,18.0,72,2
21.0,4,87.0,19.5,72,2
26.0,4,69.0,18.0,72,2
22.0,4,86.0,16.0,72,1
28.0,4,92.0,17.0,72,3
23.0,4,97.0,14.5,72,3
28.0,4,80.0,15.0,72,1
27.0,4,88.0,16.5,72,3
13.0,8,175.0,13.0,73,1
14.0,8,150.0,11.5,73,1
13.0,8,145.0,13.0,73,1
14.0,8,137.0,14.5,73,1
15.0,8,150.0,12.5,73,1
12.0,8,198.0,11.5,73,1
13.0,8,150.0,12.0,73,1
13.0,8,158.0,13.0,73,1
14.0,8,150.0,14.5,73,1
13.0,8,215.0,11.0,73,1
12.0,8,225.0,11.0,73,1
13.0,8,175.0,11.0,73,1
18.0,6,105.0,16.5,73,1
16.0,6,100.0,18.0,73,1
18.0,6,100.0,16.0,73,1
18.0,6,88.0,16.5,73,1
23.0,6,95.0,16.0,73,1
