variable,dtype,var_type,role,isCount,weighting_var
Name,object,categorical,['ignore'],False,
Predominant Degree,int64,ordinal,['splitby'],False,
Highest Degree,int64,ordinal,['splitby'],False,
Control,object,categorical,['splitby'],False,
Region,object,categorical,['splitby'],False,
Locale,object,categorical,['splitby'],False,
Admission Rate,float64,continuous,['dependent'],False,
ACT Median,int64,ordinal,['independent'],False,
SAT Average,int64,ordinal,['independent'],False,
Average Cost,int64,ordinal,['independent'],False,
Expenditure,int64,ordinal,['independent'],False,
Average Faculty Salary,int64,ordinal,['independent'],False,
Median Debt,float64,continuous,['independent'],False,
Average Age of Entry,float64,continuous,['independent'],False,
Average Family Income,float64,continuous,['independent'],False,
Median Family Income,float64,continuous,['independent'],False,
Mean Earnings,int64,ordinal,['independent'],False,
Median Earnings,int64,ordinal,['independent'],False,
