exporter,importer,sector,industry,year,trade
CHL,ARG,1,1,2010,0.0
USA,ARG,1,1,2010,0.001
ARG,ARG,1,1,2010,309.727
BRA,ARG,1,1,2010,0.001
MEX,ARG,1,1,2010,0.0
BRA,ARG,1,1,2011,0.002
USA,ARG,1,1,2011,0.002
ARG,ARG,1,1,2011,886.473
MEX,ARG,1,1,2011,0.0
CAN,ARG,1,1,2011,5.055
BRA,ARG,1,1,2012,0.015
MEX,ARG,1,1,2012,0.0
USA,ARG,1,1,2012,0.0
ARG,ARG,1,1,2013,1849.477
BRA,ARG,1,1,2013,0.017
USA,ARG,1,1,2013,0.0
ARG,ARG,1,1,2014,1239.342
BRA,ARG,1,1,2014,0.0
BRA,ARG,1,1,2015,0.001
ARG,ARG,1,1,2015,746.781
USA,ARG,1,1,2015,0.02
BRA,ARG,1,1,2016,0.003
CAN,ARG,1,1,2016,2.247
USA,ARG,1,1,2016,0.005
USA,ARG,1,1,2017,0.007
MEX,ARG,1,1,2017,0.0
USA,ARG,1,1,2018,0.033
BRA,ARG,1,1,2018,0.0
USA,ARG,1,1,2019,0.024
BRA,BRA,1,1,2010,1187.316
ARG,BRA,1,1,2010,995.933
USA,BRA,1,1,2010,135.867
CAN,BRA,1,1,2010,100.693
BRA,BRA,1,1,2011,574.303
USA,BRA,1,1,2011,29.912
CAN,BRA,1,1,2011,15.402
ARG,BRA,1,1,2011,1480.524
ARG,BRA,1,1,2012,1369.286
USA,BRA,1,1,2012,15.668
CAN,BRA,1,1,2012,0.346
BRA,BRA,1,1,2012,321.164
CAN,BRA,1,1,2013,99.16
BRA,BRA,1,1,2013,667.114
USA,BRA,1,1,2013,1131.03
ARG,BRA,1,1,2013,884.163
CAN,BRA,1,1,2014,92.923
ARG,BRA,1,1,2014,529.831
USA,BRA,1,1,2014,823.004
BRA,BRA,1,1,2014,1069.94
ARG,BRA,1,1,2015,933.726
USA,BRA,1,1,2015,105.112
BRA,BRA,1,1,2015,359.697
BRA,BRA,1,1,2016,1038.063
USA,BRA,1,1,2016,240.335
ARG,BRA,1,1,2016,772.413
CAN,BRA,1,1,2016,33.515
ARG,BRA,1,1,2017,957.245
BRA,BRA,1,1,2017,674.658
CAN,BRA,1,1,2017,39.875
USA,BRA,1,1,2017,74.06
BRA,BRA,1,1,2018,709.786
USA,BRA,1,1,2018,62.972
ARG,BRA,1,1,2018,1303.809
CAN,BRA,1,1,2018,43.086
CAN,BRA,1,1,2019,27.532
ARG,BRA,1,1,2019,1239.079
USA,BRA,1,1,2019,89.637
CHL,CAN,1,1,2010,0.0
BRA,CAN,1,1,2010,0.0
ARG,CAN,1,1,2010,0.0
MEX,CAN,1,1,2010,1.801
PER,CAN,1,1,2010,0.0
USA,CAN,1,1,2010,12.138
BRA,CAN,1,1,2011,0.055
ARG,CAN,1,1,2011,0.0
CHL,CAN,1,1,2011,0.013
MEX,CAN,1,1,2011,0.0
USA,CAN,1,1,2011,21.954
PER,CAN,1,1,2011,0.001
CAN,CAN,1,1,2012,420.295
MEX,CAN,1,1,2012,0.001
PER,CAN,1,1,2012,0.0
CHL,CAN,1,1,2012,0.008
ARG,CAN,1,1,2012,0.0
USA,CAN,1,1,2012,32.981
ARG,CAN,1,1,2013,0.0
CHL,CAN,1,1,2013,0.02
PER,CAN,1,1,2013,0.0
CAN,CAN,1,1,2013,2199.84
MEX,CAN,1,1,2013,0.001
USA,CAN,1,1,2013,16.574
ARG,CAN,1,1,2014,2.188
CHL,CAN,1,1,2014,0.042
USA,CAN,1,1,2014,18.98
USA,CAN,1,1,2015,15.137
ARG,CAN,1,1,2015,2.683
CHL,CAN,1,1,2015,0.041
MEX,CAN,1,1,2015,0.0
PER,CAN,1,1,2016,0.0
CHL,CAN,1,1,2016,0.016
CAN,CAN,1,1,2016,251.417
MEX,CAN,1,1,2016,0.0
USA,CAN,1,1,2016,19.518
ARG,CAN,1,1,2016,0.545
USA,CAN,1,1,2017,17.516
CHL,CAN,1,1,2017,0.0
ARG,CAN,1,1,2017,0.777
MEX,CAN,1,1,2017,0.0
PER,CAN,1,1,2017,0.0
USA,CAN,1,1,2018,21.305
ARG,CAN,1,1,2018,3.062
CHL,CAN,1,1,2018,0.034
BRA,CAN,1,1,2018,0.0
PER,CAN,1,1,2018,0.0
MEX,CAN,1,1,2018,0.0
USA,CAN,1,1,2019,38.876
ARG,CAN,1,1,2019,3.297
MEX,CAN,1,1,2019,0.0
PER,CAN,1,1,2019,0.001
CHL,CAN,1,1,2019,0.001
BRA,CAN,1,1,2019,0.0
BRA,CHL,1,1,2010,0.011
PER,CHL,1,1,2010,0.001
CAN,CHL,1,1,2010,35.062
ARG,CHL,1,1,2010,5.724
CHL,CHL,1,1,2010,403.5
USA,CHL,1,1,2010,116.323
ARG,CHL,1,1,2011,23.486
CHL,CHL,1,1,2011,514.54
CAN,CHL,1,1,2011,60.098
PER,CHL,1,1,2011,0.001
BRA,CHL,1,1,2011,0.012
MEX,CHL,1,1,2011,0.0
USA,CHL,1,1,2011,142.406
CHL,CHL,1,1,2012,203.211
ARG,CHL,1,1,2012,177.606
CAN,CHL,1,1,2012,38.929
USA,CHL,1,1,2012,59.601
PER,CHL,1,1,2012,0.001
CHL,CHL,1,1,2013,212.687
ARG,CHL,1,1,2013,15.379
PER,CHL,1,1,2013,0.002
CAN,CHL,1,1,2013,69.798
USA,CHL,1,1,2013,240.578
MEX,CHL,1,1,2013,0.0
CAN,CHL,1,1,2014,146.489
PER,CHL,1,1,2014,0.003
USA,CHL,1,1,2014,97.069
MEX,CHL,1,1,2014,0.011
ARG,CHL,1,1,2014,1.758
CHL,CHL,1,1,2014,189.131
ARG,CHL,1,1,2015,46.545
CAN,CHL,1,1,2015,104.227
MEX,CHL,1,1,2015,0.001
PER,CHL,1,1,2015,0.0
USA,CHL,1,1,2015,46.274
CHL,CHL,1,1,2015,387.178
CHL,CHL,1,1,2016,356.598
CAN,CHL,1,1,2016,60.095
USA,CHL,1,1,2016,84.534
PER,CHL,1,1,2016,0.0
ARG,CHL,1,1,2016,29.637
CHL,CHL,1,1,2017,291.731
ARG,CHL,1,1,2017,170.469
MEX,CHL,1,1,2017,0.001
CAN,CHL,1,1,2017,62.667
PER,CHL,1,1,2017,0.0
USA,CHL,1,1,2017,72.832
USA,CHL,1,1,2018,71.3
CHL,CHL,1,1,2018,359.198
PER,CHL,1,1,2018,0.002
ARG,CHL,1,1,2018,126.729
CAN,CHL,1,1,2018,102.822
PER,CHL,1,1,2019,0.005
CAN,CHL,1,1,2019,84.234
ARG,CHL,1,1,2019,107.969
USA,CHL,1,1,2019,96.363
CHL,CHL,1,1,2019,341.19
MEX,CHL,1,1,2019,0.001
PER,COL,1,1,2010,0.005
USA,COL,1,1,2010,160.789
BRA,COL,1,1,2010,7.734
CAN,COL,1,1,2010,146.467
COL,COL,1,1,2010,6.758
ARG,COL,1,1,2010,34.486
COL,COL,1,1,2011,6.198
ARG,COL,1,1,2011,65.171
PER,COL,1,1,2011,0.016
CAN,COL,1,1,2011,207.907
USA,COL,1,1,2011,245.509
