exporter,importer,sector,year,trade
ARG,ARG,1,2010,12646.449000000002
ARG,ARG,1,2011,16454.933
ARG,ARG,1,2012,16605.603
ARG,ARG,1,2013,18521.688
ARG,ARG,1,2014,20235.11
ARG,ARG,1,2015,15290.927999999998
ARG,ARG,1,2016,9323.235999999999
ARG,ARG,1,2017,9092.829
ARG,ARG,1,2018,5534.361
ARG,ARG,1,2019,870.8779999999998
ARG,ARG,2,2010,37774.154751999995
ARG,ARG,2,2011,42801.783808
ARG,ARG,2,2012,45840.956416
ARG,ARG,2,2013,44838.808576
ARG,ARG,2,2014,44072.66816
ARG,ARG,2,2015,45270.566912
ARG,ARG,2,2016,45499.649024
ARG,ARG,2,2017,47601.401856
ARG,ARG,2,2018,52876.064768000004
ARG,ARG,2,2019,47440.984064
ARG,ARG,3,2010,1846.6493440000002
ARG,ARG,3,2011,2171.9608
ARG,ARG,3,2012,2283.830848
ARG,ARG,3,2013,2153.84672
ARG,ARG,3,2014,2182.43296
ARG,ARG,3,2015,2808.3280640000003
ARG,ARG,3,2016,2093.60336
ARG,ARG,3,2017,2170.759424
ARG,ARG,3,2018,1710.9681440000002
ARG,ARG,3,2019,1424.45816
ARG,BRA,1,2010,1947.842592
ARG,BRA,1,2011,2494.7472829999992
ARG,BRA,1,2012,2261.8252269999994
ARG,BRA,1,2013,1880.5700410000006
ARG,BRA,1,2014,1283.7137490000002
ARG,BRA,1,2015,1529.0425720000005
ARG,BRA,1,2016,1831.428075
ARG,BRA,1,2017,1707.6876699999998
ARG,BRA,1,2018,1957.362481
ARG,BRA,1,2019,1971.031159
ARG,BRA,2,2010,121.123425
ARG,BRA,2,2011,220.99910000000003
ARG,BRA,2,2012,270.48415900000003
ARG,BRA,2,2013,92.894688
ARG,BRA,2,2014,93.761277
ARG,BRA,2,2015,57.398918
ARG,BRA,2,2016,51.784141
ARG,BRA,2,2017,30.839088
ARG,BRA,2,2018,54.95769
ARG,BRA,2,2019,40.386177
ARG,BRA,3,2010,13101.034069
ARG,BRA,3,2011,14924.868833
ARG,BRA,3,2012,14426.034166999994
ARG,BRA,3,2013,15148.322341999998
ARG,BRA,3,2014,13232.239056
ARG,BRA,3,2015,9062.207525
ARG,BRA,3,2016,7536.091885999997
ARG,BRA,3,2017,8015.669722999997
ARG,BRA,3,2018,9447.945649
ARG,BRA,3,2019,9008.284391
ARG,CAN,1,2010,82.23569399999997
ARG,CAN,1,2011,84.80104600000001
ARG,CAN,1,2012,99.41022099999999
ARG,CAN,1,2013,85.785074
ARG,CAN,1,2014,90.99223100000002
ARG,CAN,1,2015,74.01409899999999
ARG,CAN,1,2016,69.45994200000001
ARG,CAN,1,2017,75.58720100000002
ARG,CAN,1,2018,72.63865900000002
ARG,CAN,1,2019,62.065406
ARG,CAN,2,2010,1.075231
ARG,CAN,2,2011,11.829619999999998
ARG,CAN,2,2012,65.527134
ARG,CAN,2,2013,59.867539
ARG,CAN,2,2014,22.660033
ARG,CAN,2,2015,97.021914
ARG,CAN,2,2016,24.597966
ARG,CAN,2,2017,27.129411
ARG,CAN,2,2018,6.8211059999999994
ARG,CAN,2,2019,1.2544069999999998
ARG,CAN,3,2010,1427.96033
ARG,CAN,3,2011,2295.7304879999997
ARG,CAN,3,2012,2069.983725000001
ARG,CAN,3,2013,1649.7764100000004
ARG,CAN,3,2014,1657.866466
ARG,CAN,3,2015,1301.0790990000007
ARG,CAN,3,2016,1117.858568
ARG,CAN,3,2017,1310.822342
ARG,CAN,3,2018,1252.60747
ARG,CAN,3,2019,624.9177419999999
ARG,CAN,4,2010,36.000000834465034
ARG,CAN,4,2011,56.50000095367432
ARG,CAN,4,2012,54.0
ARG,CAN,4,2013,32.2000002861023
ARG,CAN,4,2014,30.600000143051147
ARG,CAN,4,2015,21.900000154972076
ARG,CAN,4,2016,34.00000023841858
ARG,CAN,4,2017,24.699999570846558
ARG,CAN,4,2018,0.0
ARG,CAN,4,2019,0.0
ARG,CHL,1,2010,468.135815
ARG,CHL,1,2011,625.5166490000001
ARG,CHL,1,2012,814.918609
ARG,CHL,1,2013,309.48701199999994
ARG,CHL,1,2014,313.728132
ARG,CHL,1,2015,274.676188
ARG,CHL,1,2016,369.652308
ARG,CHL,1,2017,598.9848280000001
ARG,CHL,1,2018,712.679607
ARG,CHL,1,2019,671.6947469999998
ARG,CHL,2,2010,1253.478515
ARG,CHL,2,2011,830.7706299999999
ARG,CHL,2,2012,1145.614251
ARG,CHL,2,2013,694.802761
ARG,CHL,2,2014,119.260642
ARG,CHL,2,2015,34.773969
ARG,CHL,2,2016,46.87034000000001
ARG,CHL,2,2017,53.644665
ARG,CHL,2,2018,221.879408
ARG,CHL,2,2019,594.3236489999998
ARG,CHL,3,2010,3162.7918119999995
ARG,CHL,3,2011,3471.6302619999988
ARG,CHL,3,2012,3614.3821199999975
ARG,CHL,3,2013,3010.6402300000013
ARG,CHL,3,2014,2548.141150000001
ARG,CHL,3,2015,2283.868476000001
ARG,CHL,3,2016,2272.334138000001
ARG,CHL,3,2017,2384.6353130000016
ARG,CHL,3,2018,2584.9575259999992
ARG,CHL,3,2019,2377.972372000001
ARG,CHL,4,2010,357.0
ARG,CHL,4,2011,369.2999877929688
ARG,CHL,4,2012,412.2000122070313
ARG,CHL,4,2013,343.2000122070313
