Page_total_likes,Type,Category,Month,Weekday,Hour,Paid,Reach,Consumers,Num_Comments,Num_Likes,Num_Shares
139441,Photo,2,12,4,3,0.0,2752,109,4,79.0,17.0
139441,Status,2,12,3,10,0.0,10460,1361,5,130.0,29.0
139441,Photo,3,12,3,3,0.0,2413,113,0,66.0,14.0
139441,Photo,2,12,2,10,1.0,50128,790,58,1572.0,147.0
139441,Photo,2,12,2,3,0.0,7244,410,19,325.0,49.0
139441,Status,2,12,1,9,0.0,10472,1073,1,152.0,33.0
139441,Photo,3,12,1,3,1.0,11692,265,3,249.0,27.0
139441,Photo,3,12,7,9,1.0,13720,232,0,325.0,14.0
139441,Status,2,12,7,3,0.0,11844,1407,0,161.0,31.0
139441,Photo,3,12,6,10,0.0,4694,183,3,113.0,26.0
139441,Status,2,12,5,10,0.0,21744,4100,0,233.0,19.0
139441,Photo,2,12,5,10,0.0,3112,127,0,88.0,18.0
139441,Photo,2,12,5,10,0.0,2847,115,0,90.0,14.0
139441,Photo,2,12,5,3,0.0,2549,134,5,137.0,10.0
138414,Photo,2,12,4,5,1.0,22784,337,2,577.0,20.0
138414,Status,2,12,3,10,0.0,10060,1209,4,86.0,18.0
138414,Photo,3,12,3,3,0.0,1722,123,2,40.0,12.0
138414,Photo,1,12,2,12,1.0,53264,1103,15,678.0,20.0
138414,Status,3,12,2,3,0.0,3930,86,4,54.0,17.0
138414,Photo,3,12,1,11,0.0,1591,88,0,34.0,8.0
138414,Photo,2,12,1,3,0.0,2848,142,3,66.0,12.0
138414,Photo,1,12,7,10,0.0,1384,15,0,0.0,0.0
138414,Link,1,12,7,10,0.0,3454,104,0,16.0,2.0
138414,Photo,3,12,7,3,0.0,2723,118,0,72.0,24.0
138414,Status,2,12,6,10,0.0,8488,1270,3,99.0,19.0
138458,Status,2,12,6,3,0.0,8284,1462,0,88.0,18.0
138458,Status,2,12,5,11,0.0,19552,2531,10,412.0,72.0
138458,Photo,3,12,5,3,0.0,2478,124,0,100.0,17.0
138895,Photo,2,12,5,3,0.0,9560,559,36,523.0,63.0
138895,Video,1,12,4,11,1.0,36208,1068,18,143.0,13.0
138895,Photo,2,12,4,2,0.0,4940,306,33,107.0,22.0
138895,Photo,2,12,3,10,0.0,1683,171,1,27.0,11.0
138895,Photo,3,12,3,3,0.0,5280,237,2,155.0,47.0
138895,Photo,3,12,2,9,0.0,3002,185,4,98.0,23.0
138895,Photo,1,12,2,3,0.0,3766,260,2,56.0,17.0
138895,Photo,2,12,1,11,0.0,4512,284,6,172.0,21.0
138895,Photo,3,12,1,3,0.0,2690,168,0,96.0,17.0
138895,Photo,1,12,7,10,1.0,19800,424,16,76.0,8.0
138895,Status,2,12,7,9,0.0,17576,5202,11,227.0,31.0
138895,Photo,1,12,7,3,0.0,3290,284,1,44.0,14.0
138895,Status,2,12,6,11,0.0,13280,1912,7,216.0,39.0
138895,Link,1,12,6,3,1.0,18480,366,6,187.0,18.0
138353,Photo,1,12,5,10,0.0,7268,2079,7,26.0,3.0
138353,Link,1,12,5,3,1.0,2645,109,7,29.0,10.0
138353,Photo,1,12,4,11,0.0,4284,316,0,47.0,11.0
138353,Link,1,12,4,3,1.0,7968,158,4,57.0,10.0
138353,Status,1,12,3,11,0.0,16576,3464,4,174.0,36.0
138353,Link,1,12,3,2,0.0,1925,83,6,18.0,8.0
138353,Photo,1,12,2,11,0.0,3786,283,0,77.0,15.0
138353,Link,1,12,2,2,0.0,1536,76,1,12.0,1.0
138353,Photo,2,11,1,9,0.0,1728,65,1,48.0,9.0
138329,Photo,1,11,1,3,1.0,25248,467,24,285.0,28.0
138329,Photo,1,11,7,9,0.0,4894,181,9,202.0,31.0
138329,Photo,1,11,7,3,0.0,2935,182,4,64.0,19.0
138329,Photo,1,11,6,10,0.0,2425,213,4,66.0,13.0
138329,Video,1,11,6,2,1.0,16416,411,2,65.0,14.0
138329,Photo,1,11,5,11,0.0,5812,204,2,164.0,54.0
138329,Photo,1,11,5,3,0.0,2545,131,0,40.0,13.0
138329,Photo,1,11,4,10,0.0,2257,173,3,76.0,11.0
138329,Photo,1,11,4,3,1.0,27072,304,4,139.0,17.0
138185,Photo,1,11,3,11,1.0,10940,335,8,101.0,14.0
138185,Photo,1,11,3,2,1.0,50912,513,8,144.0,10.0
138185,Photo,1,11,2,10,1.0,28752,654,10,179.0,13.0
138185,Photo,1,11,2,3,1.0,27216,335,4,219.0,22.0
138185,Photo,1,11,1,10,0.0,2352,182,2,60.0,7.0
138185,Photo,1,11,1,3,0.0,3416,298,19,77.0,23.0
138185,Photo,1,11,7,11,0.0,2149,156,0,48.0,7.0
138185,Photo,1,11,7,3,1.0,53456,995,20,697.0,70.0
138185,Photo,1,11,6,11,0.0,2168,168,0,53.0,17.0
137893,Photo,1,11,6,3,0.0,3102,288,7,84.0,28.0
137893,Photo,1,11,5,10,1.0,39344,460,7,146.0,9.0
137893,Video,1,11,5,3,1.0,100768,1735,17,449.0,84.0
137893,Status,3,11,4,11,0.0,9056,847,3,226.0,44.0
137893,Photo,1,11,4,2,1.0,11444,418,14,172.0,47.0
137893,Video,1,11,3,11,0.0,13544,458,2,99.0,13.0
137893,Photo,1,11,3,2,1.0,37376,808,20,411.0,74.0
137893,Photo,1,11,3,2,0.0,1228,17,0,0.0,0.0
137177,Photo,1,11,1,10,0.0,22984,374,4,85.0,8.0
137177,Photo,2,11,1,3,0.0,1445,167,0,56.0,8.0
137177,Photo,1,11,7,12,0.0,3754,640,2,29.0,7.0
137177,Status,2,11,7,3,0.0,8728,2235,2,86.0,13.0
