variable,dtype,var_type,role,isCount,weighting_var
Team,object,categorical,['ignore'],FALSE,
Games,int64,ordinal,['ignore'],FALSE,
Win,int64,ordinal,"['independent', 'dependent']",FALSE,
Loss,int64,ordinal,"['independent', 'dependent']",FALSE,
Off.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Off.Plays,int64,ordinal,"['independent', 'dependent']",FALSE,
Off.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Off.Yards.Play,float64,continuous,"['independent', 'dependent']",FALSE,
Off.TDs,int64,ordinal,"['independent', 'dependent']",FALSE,
Off.Yards.per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Def.Plays,int64,ordinal,"['independent', 'dependent']",FALSE,
Yards.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Yards.Play.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Off.TDs.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Total.TDs.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Yards.Per.Game.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
First.Down.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
First.Down.Runs,int64,ordinal,"['independent', 'dependent']",FALSE,
First.Down.Passes,int64,ordinal,"['independent', 'dependent']",FALSE,
First.Down.Penalties,int64,ordinal,"['independent', 'dependent']",FALSE,
First.Downs,int64,ordinal,"['independent', 'dependent']",FALSE,
First.Down.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.First.Down.Runs,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.First.Down.Passes,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.First.Down.Penalties,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.First.Downs,int64,ordinal,"['independent', 'dependent']",FALSE,
X4th.Down.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
X4th.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
X4th.Conversions,int64,ordinal,"['independent', 'dependent']",FALSE,
X4th.Percent,float64,continuous,"['independent', 'dependent']",FALSE,
X4rd.Down.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.4th.Conversion,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.4th.Attempt,int64,ordinal,"['independent', 'dependent']",FALSE,
Opponent.4th.Percent,float64,continuous,"['independent', 'dependent']",FALSE,
Kickoff.Return.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Kickoffs.Returned,int64,ordinal,"['independent', 'dependent']",FALSE,
Kickoff.Return.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Kickoff.Return.Touchdowns,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Yard.per.Kickoff.Return,int64,ordinal,"['independent', 'dependent']",FALSE,
...40,float64,continuous,"['independent', 'dependent']",FALSE,
Kickoff.Return.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Kickoff.Returns,int64,ordinal,"['independent', 'dependent']",FALSE,
Kickoff.Touchbacks,int64,ordinal,"['independent', 'dependent']",FALSE,
Opponent.Kickoff.Return.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Kickoff.Return.Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Yards.per.Kickoff.Return.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Passing.Off.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Pass.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Pass.Completions,int64,ordinal,"['independent', 'dependent']",FALSE,
Interceptions.Thrown.x,int64,ordinal,"['independent', 'dependent']",FALSE,
Pass.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Pass.Yards.Attempt,float64,continuous,"['independent', 'dependent']",FALSE,
Yards.Completion,float64,continuous,"['independent', 'dependent']",FALSE,
Pass.Touchdowns,int64,ordinal,"['independent', 'dependent']",FALSE,
Pass.Yards.Per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Pass.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Completions.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Pass.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Pass.Yds.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Pass.TDs.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Yards.Attempt.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Yards.Completion.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Pass.Yards.Per.Game.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Penalty.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Penalties,int64,ordinal,"['independent', 'dependent']",FALSE,
Penalty.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Penalty.Yards.Per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Punt.Return.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Punt.Returns,int64,ordinal,"['independent', 'dependent']",FALSE,
Net.Punt.Return.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Punt.Return.Touchdowns,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Yards.Per.Punt.Return,float64,continuous,"['independent', 'dependent']",FALSE,
Punt.Return.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Punt.Returns,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Net.Punt.Return.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Punt.Return.Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Yards.Allowed.per.Punt.Return,float64,continuous,"['independent', 'dependent']",FALSE,
Redzone.Off.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Rush.TD,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Pass.TD,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Field.Goals.Made,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Scores,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Points,float64,continuous,"['independent', 'dependent']",FALSE,
Redzone.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Rush.TD.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Pass.Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Field.Goals.Made,int64,ordinal,"['independent', 'dependent']",FALSE,
