Id,LotArea,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,MasVnrType,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,SaleType,SaleCondition,SalePrice
1,8450,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1710,Gd,8,Typ,0,2,548,Y,WD,Normal,208500
2,9600,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,None,TA,TA,CBlock,GasA,Ex,1,1262,TA,6,Typ,1,2,460,Y,WD,Normal,181500
3,11250,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1786,Gd,6,Typ,1,2,608,Y,WD,Normal,223500
4,9550,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,None,TA,TA,BrkTil,GasA,Gd,1,1717,Gd,7,Typ,1,3,642,Y,WD,Abnorml,140000
5,14260,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,2198,Gd,9,Typ,1,3,836,Y,WD,Normal,250000
6,14115,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,None,TA,TA,Wood,GasA,Ex,1,1362,TA,5,Typ,0,2,480,Y,WD,Normal,143000
7,10084,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Stone,Gd,TA,PConc,GasA,Ex,1,1694,Gd,7,Typ,1,2,636,Y,WD,Normal,307000
8,10382,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Stone,TA,TA,CBlock,GasA,Ex,1,2090,TA,7,Typ,2,2,484,Y,WD,Normal,200000
9,6120,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,None,TA,TA,BrkTil,GasA,Gd,1,1774,TA,8,Min1,2,2,468,Y,WD,Abnorml,129900
10,7420,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,None,TA,TA,BrkTil,GasA,Ex,1,1077,TA,5,Typ,2,1,205,Y,WD,Normal,118000
11,11200,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,CBlock,GasA,Ex,1,1040,TA,5,Typ,0,1,384,Y,WD,Normal,129500
12,11924,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Stone,Ex,TA,PConc,GasA,Ex,1,2324,Ex,11,Typ,2,3,736,Y,New,Partial,345000
13,12968,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,TA,1,912,TA,4,Typ,0,1,352,Y,WD,Normal,144000
14,10652,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Stone,Gd,TA,PConc,GasA,Ex,1,1494,Gd,7,Typ,1,3,840,Y,New,Partial,279500
15,10920,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,BrkFace,TA,TA,CBlock,GasA,TA,1,1253,TA,5,Typ,1,1,352,Y,WD,Normal,157000
16,6120,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,None,TA,TA,BrkTil,GasA,Ex,1,854,TA,5,Typ,0,2,576,Y,WD,Normal,132000
17,11241,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,BrkFace,TA,TA,CBlock,GasA,Ex,1,1004,TA,5,Typ,1,2,480,Y,WD,Normal,149000
18,10791,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,None,TA,TA,Slab,GasA,TA,1,1296,TA,6,Typ,0,2,516,Y,WD,Normal,90000
19,13695,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,None,TA,TA,PConc,GasA,Ex,1,1114,Gd,6,Typ,0,2,576,Y,WD,Normal,159000
20,7560,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,TA,1,1339,TA,6,Min1,0,1,294,Y,COD,Abnorml,139000
21,14215,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,2376,Gd,9,Typ,1,3,853,Y,New,Partial,325300
22,7449,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,None,TA,TA,PConc,GasA,Ex,1,1108,Gd,6,Typ,1,1,280,N,WD,Normal,139400
23,9742,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1795,Gd,7,Typ,1,2,534,Y,WD,Normal,230000
24,4224,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,None,TA,TA,PConc,GasA,TA,1,1060,TA,6,Typ,1,2,572,Y,WD,Normal,129900
25,8246,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,None,TA,Gd,CBlock,GasA,Ex,1,1060,Gd,6,Typ,1,1,270,Y,WD,Normal,154000
26,14230,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Stone,Gd,TA,PConc,GasA,Ex,1,1600,Gd,7,Typ,1,3,890,Y,WD,Normal,256300
27,7200,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,None,TA,TA,CBlock,GasA,TA,1,900,Gd,5,Typ,0,2,576,Y,WD,Normal,134800
28,11478,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Stone,Gd,TA,PConc,GasA,Ex,1,1704,Gd,7,Typ,1,3,772,Y,WD,Normal,306000
