variable,dtype,var_type,role,isCount,weighting_var
Id,int64,ordinal,['ignore'],False,
MSSubClass,int64,ordinal,"['independent', 'dependent', 'splitby']",False,
MSZoning,object,categorical,['splitby'],False,
LotFrontage,float64,continuous,"['independent', 'dependent']",False,
LotArea,int64,ordinal,"['independent', 'dependent']",False,
Street,object,binary,['splitby'],False,
Alley,object,categorical,['splitby'],False,
LotShape,object,categorical,['splitby'],False,
LandContour,object,categorical,['splitby'],False,
Utilities,object,categorical,['splitby'],False,
LotConfig,object,categorical,['splitby'],False,
LandSlope,object,categorical,['splitby'],False,
Neighborhood,object,categorical,['splitby'],False,
Condition1,object,categorical,['splitby'],False,
Condition2,object,categorical,['splitby'],False,
BldgType,object,categorical,['splitby'],False,
HouseStyle,object,categorical,['splitby'],False,
OverallQual,int64,ordinal,"['independent', 'dependent', 'splitby']",False,
OverallCond,int64,ordinal,"['independent', 'dependent', 'splitby']",False,
YearBuilt,int64,ordinal,"['independent', 'splitby']",False,
YearRemodAdd,int64,ordinal,"['independent', 'splitby']",False,
RoofStyle,object,categorical,['splitby'],False,
RoofMatl,object,categorical,['splitby'],False,
Exterior1st,object,categorical,['splitby'],False,
Exterior2nd,object,categorical,['splitby'],False,
MasVnrType,object,categorical,['splitby'],False,
MasVnrArea,float64,continuous,"['independent', 'dependent']",False,
ExterQual,object,categorical,['splitby'],False,
ExterCond,object,categorical,['splitby'],False,
Foundation,object,categorical,['splitby'],False,
BsmtQual,object,categorical,['splitby'],False,
BsmtCond,object,categorical,['splitby'],False,
BsmtExposure,object,categorical,['splitby'],False,
BsmtFinType1,object,categorical,['splitby'],False,
BsmtFinSF1,int64,ordinal,"['independent', 'dependent']",False,
BsmtFinType2,object,categorical,['splitby'],False,
BsmtFinSF2,int64,ordinal,"['independent', 'dependent']",False,
BsmtUnfSF,int64,ordinal,"['independent', 'dependent']",False,
TotalBsmtSF,int64,ordinal,"['independent', 'dependent']",False,
Heating,object,categorical,['splitby'],False,
HeatingQC,object,categorical,['splitby'],False,
CentralAir,object,binary,"['splitby', 'prediction']",False,
Electrical,object,categorical,['splitby'],False,
1stFlrSF,int64,ordinal,"['independent', 'dependent']",False,
2ndFlrSF,int64,ordinal,"['independent', 'dependent']",False,
LowQualFinSF,int64,ordinal,"['independent', 'dependent']",False,
GrLivArea,int64,ordinal,"['independent', 'dependent']",False,
BsmtFullBath,int64,ordinal,['splitby'],False,
BsmtHalfBath,int64,ordinal,['splitby'],False,
FullBath,int64,ordinal,['splitby'],False,
HalfBath,int64,ordinal,['splitby'],False,
BedroomAbvGr,int64,categorical,['splitby'],False,
KitchenAbvGr,int64,categorical,"['splitby', 'prediction']",False,
KitchenQual,object,categorical,['splitby'],False,
TotRmsAbvGrd,int64,ordinal,"['independent', 'dependent', 'splitby']",False,
Functional,object,categorical,['splitby'],False,
Fireplaces,int64,ordinal,['splitby'],False,
FireplaceQu,object,categorical,['splitby'],False,
GarageType,object,categorical,['splitby'],False,
GarageYrBlt,float64,continuous,"['independent', 'dependent']",False,
GarageFinish,object,categorical,['splitby'],False,
GarageCars,int64,ordinal,['splitby'],False,
GarageArea,int64,ordinal,"['independent', 'dependent']",False,
GarageQual,object,categorical,['splitby'],False,
GarageCond,object,categorical,['splitby'],False,
PavedDrive,object,categorical,['splitby'],False,
WoodDeckSF,int64,ordinal,"['independent', 'dependent']",False,
OpenPorchSF,int64,ordinal,"['independent', 'dependent']",False,
EnclosedPorch,int64,ordinal,"['independent', 'dependent']",False,
3SsnPorch,int64,ordinal,"['independent', 'dependent']",False,
ScreenPorch,int64,ordinal,"['independent', 'dependent']",False,
PoolArea,int64,ordinal,"['independent', 'dependent']",False,
PoolQC,object,categorical,['splitby'],False,
Fence,object,categorical,['splitby'],False,
MiscFeature,object,categorical,['splitby'],False,
MiscVal,int64,ordinal,"['independent', 'dependent']",False,
MoSold,int64,ordinal,"['independent', 'dependent']",False,
YrSold,int64,ordinal,"['independent', 'dependent']",False,
SaleType,object,categorical,['splitby'],False,
SaleCondition,object,categorical,['splitby'],False,
SalePrice,int64,ordinal,"['independent', 'dependent']",False,
