variable,dtype,var_type,role,isCount,weighting_var
Id,int64,ordinal,['ignore'],False,
LotArea,int64,ordinal,['independent'],False,
LandContour,object,categorical,['splitby'],False,
LotConfig,object,categorical,['splitby'],False,
LandSlope,object,categorical,['splitby'],False,
Neighborhood,object,categorical,['splitby'],False,
Condition1,object,categorical,['splitby'],False,
Condition2,object,categorical,['splitby'],False,
BldgType,object,categorical,['splitby'],False,
HouseStyle,object,categorical,['splitby'],False,
OverallQual,int64,ordinal,['splitby'],False,
OverallCond,int64,ordinal,['splitby'],False,
MasVnrType,object,categorical,['splitby'],False,
ExterQual,object,categorical,['splitby'],False,
ExterCond,object,categorical,['splitby'],False,
Foundation,object,categorical,['splitby'],False,
Heating,object,categorical,['splitby'],False,
HeatingQC,object,categorical,['splitby'],False,
CentralAir,int64,binary,['splitby'],False,
GrLivArea,int64,ordinal,['independent'],False,
KitchenQual,object,categorical,['splitby'],False,
TotRmsAbvGrd,int64,ordinal,['splitby'],False,
Functional,object,categorical,['splitby'],False,
Fireplaces,int64,ordinal,['splitby'],False,
GarageCars,int64,ordinal,['splitby'],False,
GarageArea,int64,ordinal,['independent'],False,
PavedDrive,object,categorical,['splitby'],False,
SaleType,object,categorical,['splitby'],False,
SaleCondition,object,categorical,['splitby'],False,
SalePrice,int64,ordinal,['dependent'],False,
