feat1,feat2,group_feat,subgroup,subgroup_trend,subgroup_trend_strength,trend_type,agg_trend,agg_trend_strength,distance
sepal length,sepal width,class,Iris-setosa,0.7467803732639269,0.7467803732639269,pearson_corr,-0.10936924995064937,0.10936924995064937,1.0
sepal length,sepal width,class,Iris-versicolor,0.5259107172828243,0.5259107172828243,pearson_corr,-0.10936924995064937,0.10936924995064937,1.0
sepal length,sepal width,class,Iris-virginica,0.4572278163941129,0.4572278163941129,pearson_corr,-0.10936924995064937,0.10936924995064937,1.0
sepal length,petal length,class,Iris-setosa,0.26387409291868696,0.26387409291868696,pearson_corr,0.8717541573048719,0.8717541573048719,0.0
sepal length,petal length,class,Iris-versicolor,0.7540489585920161,0.7540489585920161,pearson_corr,0.8717541573048719,0.8717541573048719,0.0
sepal length,petal length,class,Iris-virginica,0.8642247329355762,0.8642247329355762,pearson_corr,0.8717541573048719,0.8717541573048719,0.0
sepal length,petal width,class,Iris-setosa,0.2790915749995969,0.2790915749995969,pearson_corr,0.8179536333691635,0.8179536333691635,0.0
sepal length,petal width,class,Iris-versicolor,0.5464610715986299,0.5464610715986299,pearson_corr,0.8179536333691635,0.8179536333691635,0.0
sepal length,petal width,class,Iris-virginica,0.28110770915731953,0.28110770915731953,pearson_corr,0.8179536333691635,0.8179536333691635,0.0
sepal width,petal length,class,Iris-setosa,0.17669462869680694,0.17669462869680694,pearson_corr,-0.4205160964011549,0.4205160964011549,1.0
sepal width,petal length,class,Iris-versicolor,0.5605220916929818,0.5605220916929818,pearson_corr,-0.4205160964011549,0.4205160964011549,1.0
sepal width,petal length,class,Iris-virginica,0.4010445773427851,0.4010445773427851,pearson_corr,-0.4205160964011549,0.4205160964011549,1.0
sepal width,petal width,class,Iris-setosa,0.27997288851690444,0.27997288851690444,pearson_corr,-0.3565440896138055,0.3565440896138055,1.0
sepal width,petal width,class,Iris-versicolor,0.6639987200241115,0.6639987200241115,pearson_corr,-0.3565440896138055,0.3565440896138055,1.0
sepal width,petal width,class,Iris-virginica,0.5377280262661888,0.5377280262661888,pearson_corr,-0.3565440896138055,0.3565440896138055,1.0
petal length,petal width,class,Iris-setosa,0.30630821115803564,0.30630821115803564,pearson_corr,0.9627570970509668,0.9627570970509668,0.0
petal length,petal width,class,Iris-versicolor,0.7866680885228168,0.7866680885228168,pearson_corr,0.9627570970509668,0.9627570970509668,0.0
petal length,petal width,class,Iris-virginica,0.3221082159003182,0.3221082159003182,pearson_corr,0.9627570970509668,0.9627570970509668,0.0
sepal length,sepal width,class,Iris-setosa,0.8072336651226962,0.7467803732639268,lin_reg,-0.057268233797164836,0.10936924995064938,0.4687698294716601
sepal length,sepal width,class,Iris-versicolor,0.31971934554813386,0.5259107172828243,lin_reg,-0.057268233797164836,0.10936924995064938,0.23341924265138714
sepal length,sepal width,class,Iris-virginica,0.23189049503351364,0.4572278163941129,lin_reg,-0.057268233797164836,0.10936924995064938,0.18148050294883394
sepal length,petal length,class,Iris-setosa,0.12989060806149594,0.26387409291868685,lin_reg,1.8575096654214465,0.8717541573048717,0.6033690989804367
sepal length,petal length,class,Iris-versicolor,0.6864697591764202,0.7540489585920159,lin_reg,1.8575096654214465,0.8717541573048717,0.3026171854592689
sepal length,petal length,class,Iris-virginica,0.7500807558749902,0.8642247329355766,lin_reg,1.8575096654214465,0.8717541573048717,0.2759012069499984
sepal length,petal width,class,Iris-setosa,0.08488551624453862,0.27909157499959697,lin_reg,0.7538408835092416,0.8179536333691636,0.35731700238014824
sepal length,petal width,class,Iris-versicolor,0.20935719100435068,0.5464610715986299,lin_reg,0.7538408835092416,0.8179536333691636,0.27984423059273417
sepal length,petal width,class,Iris-virginica,0.12141645804732293,0.2811077091573193,lin_reg,0.7538408835092416,0.8179536333691636,0.3343079525910247
sepal width,petal length,class,Iris-setosa,0.08046332480530789,0.17669462869680688,lin_reg,-1.7112013879468515,0.4205160964011545,0.7144326012112209
sepal width,petal length,class,Iris-versicolor,0.8393782383419691,0.5605220916929818,lin_reg,-1.7112013879468515,0.4205160964011545,0.10786669200679166
sepal width,petal length,class,Iris-virginica,0.6863152937482829,0.4010445773427854,lin_reg,-1.7112013879468515,0.4205160964011545,0.04623378776073925
sepal width,petal width,class,Iris-setosa,0.07877646265006047,0.27997288851690466,lin_reg,-0.6275461756495283,0.3565440896138053,0.4068269570418429
sepal width,petal width,class,Iris-versicolor,0.4184455958549222,0.6639987200241115,lin_reg,-0.6275461756495283,0.3565440896138053,0.6090758538856474
sepal width,petal width,class,Iris-virginica,0.4579490600839841,0.5377280262661888,lin_reg,-0.6275461756495283,0.3565440896138053,0.6301726272450501
petal length,petal width,class,Iris-setosa,0.18926247288503265,0.3063082111580357,lin_reg,0.4164191322854012,0.9627570970509666,0.13211780576439094
petal length,petal width,class,Iris-versicolor,0.331053604436229,0.7866680885228168,lin_reg,0.4164191322854012,0.9627570970509666,0.04767186295205445
petal length,petal width,class,Iris-virginica,0.1602969554030875,0.32210821590031835,lin_reg,0.4164191322854012,0.9627570970509666,0.15001014989128394
