state,year,driver_gender,driver_race,decriminalization,medical,recreational,no_reforms,search_conducted_false,search_conducted_true,search_conducted_rate,contraband_found_false,contraband_found_true,contraband_found_rate,hit_false,hit_true,hit_rate,num_stops
AZ,2009,F,White,0,0,0,1,30.0,1.0,0.03225806451612903,31.0,,,1.0,,,31.0
AZ,2009,M,Black,0,0,0,1,1.0,2.0,0.6666666666666666,2.0,1.0,0.3333333333333333,1.0,1.0,0.5,3.0
AZ,2009,M,Hispanic,0,0,0,1,14.0,1.0,0.06666666666666668,15.0,,,1.0,,,15.0
AZ,2009,M,White,0,0,0,1,32.0,4.0,0.1111111111111111,34.0,2.0,0.05555555555555555,2.0,2.0,0.5,36.0
AZ,2010,F,Asian,0,1,0,0,58.0,3.0,0.049180327868852465,61.0,,,3.0,,,61.0
AZ,2010,F,Black,0,1,0,0,224.0,8.0,0.03448275862068965,232.0,,,8.0,,,232.0
AZ,2010,F,Hispanic,0,1,0,0,557.0,33.0,0.055932203389830515,589.0,1.0,0.001694915254237288,32.0,1.0,0.030303030303030307,590.0
AZ,2010,F,Other,0,1,0,0,167.0,6.0,0.03468208092485549,173.0,,,6.0,,,173.0
AZ,2010,F,White,0,1,0,0,3145.0,92.0,0.028421377818968183,3230.0,7.0,0.0021624961383997533,85.0,7.0,0.07608695652173914,3237.0
AZ,2010,M,Asian,0,1,0,0,97.0,1.0,0.010204081632653059,98.0,,,1.0,,,98.0
AZ,2010,M,Black,0,1,0,0,488.0,36.0,0.06870229007633588,515.0,9.0,0.01717557251908397,27.0,9.0,0.25,524.0
AZ,2010,M,Hispanic,0,1,0,0,1481.0,179.0,0.10783132530120483,1629.0,31.0,0.018674698795180723,148.0,31.0,0.17318435754189945,1660.0
AZ,2010,M,Other,0,1,0,0,273.0,24.0,0.08080808080808081,294.0,3.0,0.010101010101010102,21.0,3.0,0.125,297.0
AZ,2010,M,White,0,1,0,0,5684.0,201.0,0.034154630416312656,5862.0,23.0,0.003908241291418862,178.0,23.0,0.11442786069651742,5885.0
AZ,2011,F,Asian,0,1,0,0,1659.0,54.0,0.03152364273204904,1708.0,5.0,0.002918855808523059,49.0,5.0,0.0925925925925926,1713.0
AZ,2011,F,Black,0,1,0,0,4630.0,283.0,0.057602279666191726,4864.0,49.0,0.009973539588845918,234.0,49.0,0.17314487632508835,4913.0
AZ,2011,F,Hispanic,0,1,0,0,17022.0,1254.0,0.0686145764937623,18116.0,160.0,0.00875465090829503,1094.0,160.0,0.12759170653907495,18276.0
AZ,2011,F,Other,0,1,0,0,4852.0,359.0,0.06889272692381501,5165.0,46.0,0.008827480330071004,313.0,46.0,0.12813370473537605,5211.0
AZ,2011,F,White,0,1,0,0,61193.0,2078.0,0.03284285059505935,62920.0,351.0,0.005547565235257859,1727.0,351.0,0.16891241578440808,63271.0
AZ,2011,M,Asian,0,1,0,0,4190.0,134.0,0.030989824236817762,4303.0,21.0,0.004856614246068455,113.0,21.0,0.15671641791044774,4324.0
AZ,2011,M,Black,0,1,0,0,10889.0,1033.0,0.08664653581613824,11693.0,229.0,0.01920818654588156,804.0,229.0,0.22168441432720232,11922.0
AZ,2011,M,Hispanic,0,1,0,0,47922.0,4944.0,0.09351946430598117,52101.0,765.0,0.014470548178413346,4179.0,765.0,0.15473300970873785,52866.0
AZ,2011,M,Other,0,1,0,0,9082.0,742.0,0.07552931596091206,9688.0,136.0,0.013843648208469056,606.0,136.0,0.18328840970350405,9824.0
AZ,2011,M,White,0,1,0,0,125172.0,5031.0,0.038639662680583386,129165.0,1038.0,0.007972166539941476,3993.0,1038.0,0.20632081097197374,130203.0
AZ,2012,F,Asian,0,1,0,0,2859.0,61.0,0.02089041095890411,2908.0,12.0,0.00410958904109589,49.0,12.0,0.19672131147540986,2920.0
AZ,2012,F,Black,0,1,0,0,7442.0,485.0,0.061183297590513434,7832.0,95.0,0.011984357259997478,390.0,95.0,0.1958762886597938,7927.0
AZ,2012,F,Hispanic,0,1,0,0,28498.0,2077.0,0.0679313164349959,30263.0,312.0,0.010204415372035976,1765.0,312.0,0.15021665864227252,30575.0
AZ,2012,F,Other,0,1,0,0,10546.0,651.0,0.058140573367866384,11094.0,103.0,0.009198892560507278,548.0,103.0,0.15821812596006146,11197.0
AZ,2012,F,White,0,1,0,0,99534.0,2797.0,0.02733287078206995,101802.0,529.0,0.0051694989788040775,2268.0,529.0,0.18913121201287086,102331.0
AZ,2012,M,Asian,0,1,0,0,8305.0,200.0,0.023515579071134628,8456.0,49.0,0.005761316872427985,151.0,49.0,0.245,8505.0
AZ,2012,M,Black,0,1,0,0,18130.0,1542.0,0.07838552257015048,19292.0,380.0,0.01931679544530297,1162.0,380.0,0.2464332036316472,19672.0
AZ,2012,M,Hispanic,0,1,0,0,86251.0,7273.0,0.07776613489585561,92270.0,1254.0,0.013408322997305504,6019.0,1254.0,0.17241853430496354,93524.0
AZ,2012,M,Other,0,1,0,0,18652.0,1516.0,0.07516858389527965,19905.0,263.0,0.013040460134867116,1253.0,263.0,0.17348284960422164,20168.0
AZ,2012,M,White,0,1,0,0,207907.0,7391.0,0.03432916237029605,213479.0,1819.0,0.008448754749231298,5572.0,1819.0,0.24611013394669196,215298.0
AZ,2013,F,Asian,0,1,0,0,2628.0,62.0,0.023048327137546468,2681.0,9.0,0.0033457249070631967,53.0,9.0,0.14516129032258066,2690.0
AZ,2013,F,Black,0,1,0,0,6748.0,458.0,0.06355814598945324,7101.0,105.0,0.014571190674437969,353.0,105.0,0.2292576419213974,7206.0
AZ,2013,F,Hispanic,0,1,0,0,28991.0,1971.0,0.06365867837994961,30685.0,277.0,0.008946450487694593,1694.0,277.0,0.14053779807204464,30962.0
AZ,2013,F,Other,0,1,0,0,10562.0,617.0,0.055192772162089634,11051.0,128.0,0.011450040254047769,489.0,128.0,0.20745542949756887,11179.0
AZ,2013,F,White,0,1,0,0,86011.0,2578.0,0.02910067841379855,88020.0,569.0,0.0064229193240695785,2009.0,569.0,0.22071373157486426,88589.0
AZ,2013,M,Asian,0,1,0,0,7585.0,195.0,0.02506426735218509,7747.0,33.0,0.004241645244215938,162.0,33.0,0.16923076923076924,7780.0
AZ,2013,M,Black,0,1,0,0,17204.0,1493.0,0.07985238273519818,18308.0,389.0,0.020805476814462213,1104.0,389.0,0.26054922973878103,18697.0
AZ,2013,M,Hispanic,0,1,0,0,83725.0,6895.0,0.07608695652173914,89459.0,1161.0,0.012811741337453102,5734.0,1161.0,0.1683828861493836,90620.0
AZ,2013,M,Other,0,1,0,0,18969.0,1437.0,0.07042046456924432,20123.0,283.0,0.01386847005782613,1154.0,283.0,0.19693806541405706,20406.0
AZ,2013,M,White,0,1,0,0,180958.0,6468.0,0.034509619796613066,185748.0,1678.0,0.008952866731403327,4790.0,1678.0,0.2594310451453309,187426.0
AZ,2014,F,Asian,0,1,0,0,3027.0,70.0,0.022602518566354538,3084.0,13.0,0.004197610590894414,57.0,13.0,0.18571428571428567,3097.0
AZ,2014,F,Black,0,1,0,0,7874.0,504.0,0.060157555502506566,8258.0,120.0,0.0143232275005968,384.0,120.0,0.2380952380952381,8378.0
AZ,2014,F,Hispanic,0,1,0,0,33289.0,2140.0,0.060402495131107285,35142.0,287.0,0.008100708459171865,1853.0,287.0,0.13411214953271028,35429.0
AZ,2014,F,Other,0,1,0,0,12092.0,611.0,0.04809887428166575,12588.0,115.0,0.009052979611115484,496.0,115.0,0.18821603927986907,12703.0
AZ,2014,F,White,0,1,0,0,94142.0,2671.0,0.02758927003604888,96230.0,583.0,0.0060219185439971895,2088.0,583.0,0.2182703107450393,96813.0
AZ,2014,M,Asian,0,1,0,0,9006.0,247.0,0.026694045174537988,9205.0,48.0,0.0051875067545660855,199.0,48.0,0.194331983805668,9253.0
AZ,2014,M,Black,0,1,0,0,18896.0,1698.0,0.08245119937845975,20138.0,456.0,0.02214237156453336,1242.0,456.0,0.26855123674911663,20594.0
AZ,2014,M,Hispanic,0,1,0,0,92560.0,7414.0,0.07415928141316742,98680.0,1294.0,0.012943365274971492,6120.0,1294.0,0.17453466414890748,99974.0
AZ,2014,M,Other,0,1,0,0,21742.0,1553.0,0.06666666666666668,22923.0,372.0,0.01596909207984546,1181.0,372.0,0.2395363811976819,23295.0
AZ,2014,M,White,0,1,0,0,191960.0,6922.0,0.034804557476292484,197081.0,1801.0,0.0090556209209481,5121.0,1801.0,0.2601849176538573,198882.0
AZ,2015,F,Asian,0,1,0,0,2819.0,40.0,0.013990905911157748,2852.0,7.0,0.002448408534452606,33.0,7.0,0.175,2859.0
AZ,2015,F,Black,0,1,0,0,7930.0,545.0,0.06430678466076696,8334.0,141.0,0.01663716814159292,404.0,141.0,0.25871559633027524,8475.0
AZ,2015,F,Hispanic,0,1,0,0,30334.0,1969.0,0.06095409095130482,31995.0,308.0,0.009534718137634277,1661.0,308.0,0.1564245810055866,32303.0
AZ,2015,F,Other,0,1,0,0,11547.0,606.0,0.049864231054060716,12013.0,140.0,0.01151978935242327,466.0,140.0,0.23102310231023104,12153.0
AZ,2015,F,White,0,1,0,0,80747.0,2389.0,0.02873604695919938,82507.0,629.0,0.007565916089299461,1760.0,629.0,0.2632900795311846,83136.0
AZ,2015,M,Asian,0,1,0,0,8441.0,174.0,0.020197330237957053,8578.0,37.0,0.004294834590829947,137.0,37.0,0.21264367816091956,8615.0
AZ,2015,M,Black,0,1,0,0,18418.0,1630.0,0.0813048683160415,19590.0,458.0,0.02284517158818835,1172.0,458.0,0.2809815950920245,20048.0
AZ,2015,M,Hispanic,0,1,0,0,83184.0,6585.0,0.07335494435718344,88508.0,1261.0,0.0140471655025677,5324.0,1261.0,0.1914958238420653,89769.0
AZ,2015,M,Other,0,1,0,0,20032.0,1427.0,0.06649890488839183,21086.0,373.0,0.01738198424903304,1054.0,373.0,0.2613875262789068,21459.0
AZ,2015,M,White,0,1,0,0,165642.0,6060.0,0.035293706538071776,169996.0,1706.0,0.009935819035305354,4354.0,1706.0,0.2815181518151815,171702.0
CO,2010,F,Asian,1,1,0,0,2029.0,2.0,0.0009847365829640572,2029.0,2.0,0.0009847365829640572,,2.0,,2031.0
CO,2010,F,Black,1,1,0,0,3350.0,10.0,0.002976190476190476,3357.0,3.0,0.0008928571428571427,7.0,3.0,0.3,3360.0
CO,2010,F,Hispanic,1,1,0,0,15450.0,113.0,0.007260810897641844,15512.0,51.0,0.003277003148493221,62.0,51.0,0.4513274336283186,15563.0
CO,2010,F,White,1,1,0,0,104065.0,289.0,0.002769419476014336,104174.0,176.0,0.0016866315285098226,109.0,176.0,0.6175438596491228,104354.0
CO,2010,M,Asian,1,1,0,0,4046.0,23.0,0.005652494470385844,4056.0,13.0,0.003194888178913738,10.0,13.0,0.5652173913043478,4069.0
CO,2010,M,Black,1,1,0,0,9291.0,108.0,0.011490584104691991,9357.0,41.0,0.0043626303468823156,66.0,41.0,0.3831775700934579,9399.0
CO,2010,M,Hispanic,1,1,0,0,41703.0,556.0,0.01315696064743605,42052.0,202.0,0.004780612486391821,349.0,202.0,0.3666061705989111,42259.0
CO,2010,M,White,1,1,0,0,218530.0,1173.0,0.005339025866738278,218941.0,755.0,0.003436566892433181,411.0,755.0,0.6475128644939966,219703.0
CO,2011,F,Asian,1,1,0,0,1756.0,7.0,0.003970504821327283,1760.0,3.0,0.0017016449234259785,4.0,3.0,0.42857142857142855,1763.0
CO,2011,F,Black,1,1,0,0,2999.0,14.0,0.004646531695984069,3006.0,7.0,0.0023232658479920344,7.0,7.0,0.5,3013.0
CO,2011,F,Hispanic,1,1,0,0,12954.0,69.0,0.005298318359824925,12985.0,38.0,0.002917914459034017,31.0,38.0,0.5507246376811594,13023.0
CO,2011,F,White,1,1,0,0,93262.0,274.0,0.0029293534040369484,93351.0,178.0,0.0019031530327492008,89.0,178.0,0.6666666666666666,93536.0
CO,2011,M,Asian,1,1,0,0,3585.0,15.0,0.0041666666666666675,3593.0,7.0,0.0019444444444444446,8.0,7.0,0.4666666666666667,3600.0
CO,2011,M,Black,1,1,0,0,8551.0,124.0,0.014293948126801154,8605.0,69.0,0.007954807470601798,54.0,69.0,0.5609756097560976,8675.0
CO,2011,M,Hispanic,1,1,0,0,37231.0,437.0,0.01160135924392057,37473.0,195.0,0.005176807900605289,242.0,195.0,0.4462242562929062,37668.0
CO,2011,M,White,1,1,0,0,202475.0,1141.0,0.0056036853685368536,202831.0,777.0,0.0038161565360889547,356.0,777.0,0.6857899382171226,203616.0
CO,2012,F,Asian,1,1,1,0,1644.0,4.0,0.0024271844660194173,1645.0,3.0,0.0018203883495145634,1.0,3.0,0.75,1648.0
CO,2012,F,Black,1,1,1,0,2771.0,34.0,0.01212121212121212,2791.0,14.0,0.004991087344028521,20.0,14.0,0.4117647058823529,2805.0
CO,2012,F,Hispanic,1,1,1,0,12134.0,64.0,0.0052467617642236435,12159.0,39.0,0.0031972454500737825,25.0,39.0,0.609375,12198.0
CO,2012,F,White,1,1,1,0,85656.0,240.0,0.002794076557697681,85728.0,168.0,0.0019558535903883767,72.0,168.0,0.7,85896.0
CO,2012,M,Asian,1,1,1,0,3228.0,21.0,0.006463527239150508,3239.0,10.0,0.0030778701138811943,11.0,10.0,0.4761904761904762,3249.0
CO,2012,M,Black,1,1,1,0,7973.0,86.0,0.010671299168631344,8009.0,50.0,0.006204243702692642,36.0,50.0,0.5813953488372093,8059.0
CO,2012,M,Hispanic,1,1,1,0,32410.0,359.0,0.010955476212273794,32592.0,177.0,0.005401446489059782,182.0,177.0,0.4930362116991643,32769.0
CO,2012,M,White,1,1,1,0,181206.0,939.0,0.005155233467841555,181462.0,676.0,0.003711471521593517,256.0,676.0,0.7253218884120172,182145.0
CO,2013,F,Asian,1,1,1,0,1579.0,2.0,0.001265022137887413,1579.0,2.0,0.001265022137887413,,2.0,,1581.0
CO,2013,F,Black,1,1,1,0,2752.0,8.0,0.0028985507246376808,2757.0,3.0,0.0010869565217391304,5.0,3.0,0.375,2760.0
CO,2013,F,Hispanic,1,1,1,0,12284.0,40.0,0.003245699448231093,12307.0,17.0,0.001379422265498215,23.0,17.0,0.425,12324.0
CO,2013,F,White,1,1,1,0,86857.0,109.0,0.0012533633833912104,86894.0,72.0,0.0008279097578363957,37.0,72.0,0.6605504587155964,86966.0
CO,2013,M,Asian,1,1,1,0,3362.0,2.0,0.0005945303210463732,3363.0,1.0,0.0002972651605231866,1.0,1.0,0.5,3364.0
CO,2013,M,Black,1,1,1,0,8075.0,61.0,0.007497541789577187,8103.0,33.0,0.004056047197640118,28.0,33.0,0.5409836065573771,8136.0
CO,2013,M,Hispanic,1,1,1,0,32805.0,207.0,0.006270447110141767,32922.0,90.0,0.002726281352235551,117.0,90.0,0.43478260869565216,33012.0
CO,2013,M,White,1,1,1,0,183758.0,473.0,0.002567428934327013,183949.0,282.0,0.0015306870179285787,191.0,282.0,0.5961945031712473,184231.0
CO,2014,F,Asian,1,1,1,0,1678.0,2.0,0.0011904761904761904,1679.0,1.0,0.0005952380952380952,1.0,1.0,0.5,1680.0
CO,2014,F,Black,1,1,1,0,2920.0,7.0,0.002391527160915613,2925.0,2.0,0.0006832934745473182,5.0,2.0,0.2857142857142857,2927.0
CO,2014,F,Hispanic,1,1,1,0,13093.0,21.0,0.0016013420771694372,13103.0,11.0,0.0008387982308982767,10.0,11.0,0.5238095238095238,13114.0
CO,2014,F,Other,1,1,1,0,857.0,2.0,0.002328288707799767,857.0,2.0,0.002328288707799767,,2.0,,859.0
CO,2014,F,White,1,1,1,0,86060.0,82.0,0.0009519166028186018,86090.0,52.0,0.0006036544310556987,30.0,52.0,0.6341463414634146,86142.0
CO,2014,M,Asian,1,1,1,0,3317.0,6.0,0.0018055973517905504,3319.0,4.0,0.0012037315678603672,2.0,4.0,0.6666666666666666,3323.0
CO,2014,M,Black,1,1,1,0,8366.0,33.0,0.00392903917132992,8385.0,14.0,0.0016668651029884511,19.0,14.0,0.42424242424242425,8399.0
CO,2014,M,Hispanic,1,1,1,0,34965.0,138.0,0.003931287924109051,35043.0,60.0,0.0017092556191778481,78.0,60.0,0.43478260869565216,35103.0
CO,2014,M,Other,1,1,1,0,1287.0,4.0,0.003098373353989156,1288.0,3.0,0.0023237800154918666,1.0,3.0,0.75,1291.0
CO,2014,M,White,1,1,1,0,183716.0,336.0,0.0018255710342729226,183856.0,196.0,0.001064916436659205,140.0,196.0,0.5833333333333334,184052.0
CO,2015,F,Asian,1,1,1,0,1586.0,1.0,0.000630119722747322,1587.0,,,1.0,,,1587.0
CO,2015,F,Black,1,1,1,0,2913.0,9.0,0.003080082135523614,2919.0,3.0,0.001026694045174538,6.0,3.0,0.3333333333333333,2922.0
CO,2015,F,Hispanic,1,1,1,0,13231.0,33.0,0.002487937273823884,13243.0,21.0,0.001583232810615199,12.0,21.0,0.6363636363636364,13264.0
CO,2015,F,Other,1,1,1,0,768.0,4.0,0.0051813471502590676,768.0,4.0,0.0051813471502590676,,4.0,,772.0
CO,2015,F,White,1,1,1,0,85199.0,100.0,0.001172346686362091,85233.0,66.0,0.0007737488129989801,34.0,66.0,0.66,85299.0
CO,2015,M,Asian,1,1,1,0,3257.0,8.0,0.002450229709035222,3261.0,4.0,0.001225114854517611,4.0,4.0,0.5,3265.0
CO,2015,M,Black,1,1,1,0,8458.0,54.0,0.006343984962406015,8490.0,22.0,0.002584586466165413,32.0,22.0,0.4074074074074074,8512.0
CO,2015,M,Hispanic,1,1,1,0,35347.0,216.0,0.006073728313134436,35455.0,108.0,0.003036864156567218,108.0,108.0,0.5,35563.0
CO,2015,M,Other,1,1,1,0,1191.0,5.0,0.004180602006688963,1193.0,3.0,0.002508361204013378,2.0,3.0,0.6,1196.0
CO,2015,M,White,1,1,1,0,181014.0,362.0,0.0019958539167254765,181196.0,180.0,0.0009924135497529991,182.0,180.0,0.4972375690607735,181376.0
CO,2016,F,Black,1,1,1,0,703.0,1.0,0.0014204545454545455,703.0,1.0,0.0014204545454545455,,1.0,,704.0
CO,2016,F,Hispanic,1,1,1,0,3307.0,19.0,0.0057125676488274215,3313.0,13.0,0.0039085989176187615,6.0,13.0,0.6842105263157895,3326.0
CO,2016,F,White,1,1,1,0,20998.0,26.0,0.0012366818873668188,21006.0,18.0,0.0008561643835616438,8.0,18.0,0.6923076923076923,21024.0
CO,2016,M,Black,1,1,1,0,2021.0,13.0,0.006391347099311701,2026.0,8.0,0.0039331366764995095,5.0,8.0,0.6153846153846154,2034.0
CO,2016,M,Hispanic,1,1,1,0,8169.0,42.0,0.005115089514066497,8193.0,18.0,0.0021921812203142127,24.0,18.0,0.42857142857142855,8211.0
CO,2016,M,Other,1,1,1,0,309.0,1.0,0.0032258064516129032,309.0,1.0,0.0032258064516129032,,1.0,,310.0
