feat1,feat2,subgroup_trend,subgroup,subgroup_trend_strength,group_feat,trend_type,agg_trend,agg_trend_strength,distance,SP_thresh0.2
decision,decision_noise,0.88,0,1,department,binary_acc,0.909,1,0.03190319031903188,False
decision,decision_noise,0.9041095890410958,1,1,department,binary_acc,0.909,1,0.005379990053799966,False
decision,decision_noise,0.9183673469387755,2,1,department,binary_acc,0.909,1,0.010305112143867534,False
decision,decision_noise,0.9158415841584159,3,1,department,binary_acc,0.909,1,0.007526495223779905,False
decision,decision_noise,0.9144254278728606,F,1,gender,binary_acc,0.909,1,0.005968567516898338,False
decision,decision_noise,0.9052453468697124,M,1,gender,binary_acc,0.909,1,0.004130531496466028,False
decision,decision_noise,0.92,B,1,race,binary_acc,0.909,1,0.012101210121012063,False
decision,decision_noise,0.9130434782608695,H,1,race,binary_acc,0.909,1,0.004448270914047869,False
decision,decision_noise,0.9070063694267516,W,1,race,binary_acc,0.909,1,0.002193212951868473,False
decision,decision_gender,0.8,0,1,department,binary_acc,0.838,1,0.04534606205250591,False
decision,decision_gender,0.7465753424657534,1,1,department,binary_acc,0.838,1,0.10909863667571185,False
decision,decision_gender,0.8061224489795918,2,1,department,binary_acc,0.838,1,0.038040037017193495,False
decision,decision_gender,0.8745874587458746,3,1,department,binary_acc,0.838,1,0.043660451964050884,False
decision,decision_gender,0.7726161369193154,F,1,gender,binary_acc,0.838,1,0.07802370296024408,False
decision,decision_gender,0.883248730964467,M,1,gender,binary_acc,0.838,1,0.053996099002944,False
decision,decision_gender,0.82,B,1,race,binary_acc,0.838,1,0.021479713603818618,False
decision,decision_gender,0.8608695652173913,H,1,race,binary_acc,0.838,1,0.027290650617412204,False
decision,decision_gender,0.8369426751592357,W,1,race,binary_acc,0.838,1,0.0012617241536566626,False
decision,decision_race,0.86,0,1,department,binary_acc,0.858,1,0.002331002331002363,False
decision,decision_race,0.8356164383561644,1,1,department,binary_acc,0.858,1,0.02608806718395762,False
decision,decision_race,0.7653061224489796,2,1,department,binary_acc,0.858,1,0.10803482232053663,False
decision,decision_race,0.8778877887788779,3,1,department,binary_acc,0.858,1,0.0231792410010232,False
decision,decision_race,0.8264058679706602,F,1,gender,binary_acc,0.858,1,0.036822997703193194,False
decision,decision_race,0.8798646362098139,M,1,gender,binary_acc,0.858,1,0.025483258985797175,False
decision,decision_race,0.63,B,1,race,binary_acc,0.858,1,0.26573426573426573,True
decision,decision_race,0.7652173913043478,H,1,race,binary_acc,0.858,1,0.10813823857302118,False
decision,decision_race,0.9006369426751593,W,1,race,binary_acc,0.858,1,0.049693406381304595,False
decision,decision_noise,0.8666666666666667,0,1,department,binary_tpr,0.9322709163346613,1,0.0703703703703703,False
decision,decision_noise,0.9444444444444444,1,1,department,binary_tpr,0.9322709163346613,1,0.013057929724596518,False
decision,decision_noise,0.9354838709677419,2,1,department,binary_tpr,0.9322709163346613,1,0.0034463744141164376,False
decision,decision_noise,0.9418604651162791,3,1,department,binary_tpr,0.9322709163346613,1,0.010286225402504456,False
decision,decision_noise,0.9108910891089109,F,1,gender,binary_tpr,0.9322709163346613,1,0.022933062537022875,False
decision,decision_noise,0.9466666666666667,M,1,gender,binary_tpr,0.9322709163346613,1,0.015441595441595402,False
decision,decision_noise,0.8695652173913043,B,1,race,binary_tpr,0.9322709163346613,1,0.06726124117428467,False
decision,decision_noise,0.9310344827586207,H,1,race,binary_tpr,0.9322709163346613,1,0.0013262599469495706,False
decision,decision_noise,0.9396984924623115,W,1,race,binary_tpr,0.9322709163346613,1,0.007967186359146172,False
decision,decision_gender,0.7666666666666667,0,1,department,binary_tpr,0.8565737051792829,1,0.10496124031007747,False
decision,decision_gender,0.6666666666666666,1,1,department,binary_tpr,0.8565737051792829,1,0.22170542635658919,True
decision,decision_gender,0.9032258064516129,2,1,department,binary_tpr,0.8565737051792829,1,0.05446361590397597,False
decision,decision_gender,0.8837209302325582,3,1,department,binary_tpr,0.8565737051792829,1,0.031692806922660965,False
decision,decision_gender,0.7821782178217822,F,1,gender,binary_tpr,0.8565737051792829,1,0.08685240617084966,False
decision,decision_gender,0.9066666666666666,M,1,gender,binary_tpr,0.8565737051792829,1,0.05848062015503874,False
decision,decision_gender,0.9130434782608695,B,1,race,binary_tpr,0.8565737051792829,1,0.06592517694641042,False
decision,decision_gender,0.896551724137931,H,1,race,binary_tpr,0.8565737051792829,1,0.04667201283079381,False
decision,decision_gender,0.8442211055276382,W,1,race,binary_tpr,0.8565737051792829,1,0.014420941918896868,False
decision,decision_race,0.8,0,1,department,binary_tpr,0.848605577689243,1,0.05727699530516428,False
decision,decision_race,0.9444444444444444,1,1,department,binary_tpr,0.848605577689243,1,0.11293688054251438,False
decision,decision_race,0.7419354838709677,2,1,department,binary_tpr,0.848605577689243,1,0.12570043919430562,False
decision,decision_race,0.8662790697674418,3,1,department,binary_tpr,0.848605577689243,1,0.020826509444262342,False
decision,decision_race,0.8316831683168316,F,1,gender,binary_tpr,0.848605577689243,1,0.019941430762794643,False
decision,decision_race,0.86,M,1,gender,binary_tpr,0.848605577689243,1,0.013427230046948235,False
decision,decision_race,0.5217391304347826,B,1,race,binary_tpr,0.848605577689243,1,0.38518064911206373,True
decision,decision_race,0.8275862068965517,H,1,race,binary_tpr,0.848605577689243,1,0.02476930548810108,False
