variable,dtype,var_type,role,isCount,weighting_var
name,object,categorical,ignore,,
first,object,categorical,ignore,,
last,object,categorical,ignore,,
compas_screening_date,object,categorical,ignore,,
sex,object,categorical,"['groupby', 'trend']",,
dob,object,categorical,ignore,,
age,int64,continuous,trend,,
age_cat,object,categorical,"['groupby', 'trend']",,
race,object,categorical,"['groupby', 'trend']",,
juv_fel_count,int64,ordinal,ignore,,
decile_score,int64,ordinal,trend,,
juv_misd_count,int64,ordinal,ignore,,
juv_other_count,int64,ordinal,ignore,,
priors_count,int64,ordinal,trend,,
days_b_screening_arrest,float64,continuous,ignore,,
c_jail_in,object,categorical,ignore,,
c_jail_out,object,categorical,ignore,,
c_case_number,object,categorical,ignore,,
c_offense_date,object,categorical,ignore,,
c_arrest_date,object,categorical,ignore,,
c_days_from_compas,float64,continuous,ignore,,
c_charge_degree,object,binary,ignore,,
c_charge_desc,object,categorical,ignore,,
is_recid,int64,binary,ignore,,
r_case_number,object,categorical,ignore,,
r_charge_degree,object,categorical,ignore,,
r_days_from_arrest,float64,continuous,ignore,,
r_offense_date,object,categorical,ignore,,
r_charge_desc,object,categorical,ignore,,
r_jail_in,object,categorical,ignore,,
r_jail_out,object,categorical,ignore,,
violent_recid,float64,continuous,ignore,,
is_violent_recid,int64,binary,ignore,,
vr_case_number,object,categorical,ignore,,
vr_charge_degree,object,categorical,ignore,,
vr_offense_date,object,categorical,ignore,,
vr_charge_desc,object,categorical,ignore,,
type_of_assessment,object,categorical,groupby,,
decile_score.1,int64,ordinal,trend,,
score_text,object,categorical,groupby,,
screening_date,object,categorical,ignore,,
v_type_of_assessment,object,categorical,groupby,,
v_decile_score,int64,ordinal,trend,,
v_score_text,object,categorical,ignore,,
v_screening_date,object,categorical,ignore,,
in_custody,object,categorical,ignore,,
out_custody,object,categorical,ignore,,
priors_count.1,int64,ordinal,ignore,,
start,int64,ordinal,ignore,,
end,int64,ordinal,ignore,,
event,int64,binary,ignore,,
two_year_recid,int64,binary,"['trend', 'groundtruth']",,
length_of_stay,int64,ordinal,ignore,,
corels,int64,binary,"['trend', 'prediction']",,
decile_score_pred6,int64,binary,"['trend', 'prediction']",,
decile_score_pred7,int64,binary,"['trend', 'prediction']",,
decile_score_pred8,int64,binary,"['trend', 'prediction']",,
