variable,dtype,var_type,role,isCount,weighting_var
x1,float64,continuous,trend,False,
x2,float64,continuous,trend,False,
x3,float64,continuous,trend,False,
x4,float64,continuous,trend,False,
x5,float64,continuous,trend,False,
x6,float64,continuous,trend,False,
x7,float64,continuous,trend,False,
x8,float64,continuous,trend,False,
x9,float64,continuous,trend,False,
x10,float64,continuous,trend,False,
x11,float64,continuous,trend,False,
x12,float64,continuous,trend,False,
x13,float64,continuous,trend,False,
x14,float64,continuous,trend,False,
x15,float64,continuous,trend,False,
x16,float64,continuous,trend,False,
x17,float64,continuous,trend,False,
x18,float64,continuous,trend,False,
x19,float64,continuous,trend,False,
x20,float64,continuous,trend,False,
x21,float64,continuous,trend,False,
x22,float64,continuous,trend,False,
x23,float64,continuous,trend,False,
x24,float64,continuous,trend,False,
x25,float64,continuous,trend,False,
x26,float64,continuous,trend,False,
x27,float64,continuous,trend,False,
x28,float64,continuous,trend,False,
x29,float64,continuous,trend,False,
x30,float64,continuous,trend,False,
x31,float64,continuous,trend,False,
x32,float64,continuous,trend,False,
x33,float64,continuous,trend,False,
x34,float64,continuous,trend,False,
x35,float64,continuous,trend,False,
x36,float64,continuous,trend,False,
x37,float64,continuous,trend,False,
x38,float64,continuous,trend,False,
x39,float64,continuous,trend,False,
x40,float64,continuous,trend,False,
A,object,categorical,groupby,False,
B,object,categorical,groupby,False,
C,object,categorical,groupby,False,
D,object,categorical,groupby,False,
E,object,categorical,groupby,False,
F,object,categorical,groupby,False,
G,object,categorical,groupby,False,
H,object,categorical,groupby,False,
I,object,categorical,groupby,False,
J,object,categorical,groupby,False,
K,object,categorical,groupby,False,
L,object,categorical,groupby,False,
M,object,categorical,groupby,False,
N,object,categorical,groupby,False,
O,object,categorical,groupby,False,
P,object,categorical,groupby,False,
Q,object,categorical,groupby,False,
R,object,categorical,groupby,False,
S,object,categorical,groupby,False,
T,object,categorical,groupby,False,
