variable,dtype,var_type,role,isCount,weighting_var
x1,float64,continuous,trend,False,
x2,float64,continuous,trend,False,
x3,float64,continuous,trend,False,
x4,float64,continuous,trend,False,
x5,float64,continuous,trend,False,
x6,float64,continuous,trend,False,
x7,float64,continuous,trend,False,
x8,float64,continuous,trend,False,
x9,float64,continuous,trend,False,
x10,float64,continuous,trend,False,
x11,float64,continuous,trend,False,
x12,float64,continuous,trend,False,
x13,float64,continuous,trend,False,
x14,float64,continuous,trend,False,
x15,float64,continuous,trend,False,
x16,float64,continuous,trend,False,
A,object,categorical,groupby,False,
B,object,categorical,groupby,False,
C,object,categorical,groupby,False,
D,object,categorical,groupby,False,
E,object,categorical,groupby,False,
F,object,categorical,groupby,False,
G,object,categorical,groupby,False,
H,object,categorical,groupby,False,
