variable,dtype,var_type,role,isCount,weighting_var
x1,float64,continuous,Trend,False,
x2,float64,continuous,Trend,False,
x3,float64,continuous,Trend,False,
x4,float64,continuous,Trend,False,
x5,float64,continuous,Trend,False,
x6,float64,continuous,Trend,False,
x7,float64,continuous,Trend,False,
x8,float64,continuous,Trend,False,
x9,float64,continuous,Trend,False,
x10,float64,continuous,Trend,False,
x11,float64,continuous,Trend,False,
x12,float64,continuous,Trend,False,
x13,float64,continuous,Trend,False,
x14,float64,continuous,Trend,False,
x15,float64,continuous,Trend,False,
x16,float64,continuous,Trend,False,
A,object,categorical,groupby,False,
B,object,categorical,groupby,False,
C,object,categorical,groupby,False,
D,object,categorical,groupby,False,
E,object,categorical,groupby,False,
F,object,categorical,groupby,False,
G,object,categorical,groupby,False,
H,object,categorical,groupby,False,
