exporter,importer,sector,industry,year,trade
MEX,CAN,1,1,2010,1.801
USA,CAN,1,1,2010,12.138
MEX,CAN,1,1,2011,0.0
USA,CAN,1,1,2011,21.954
CAN,CAN,1,1,2012,420.295
MEX,CAN,1,1,2012,0.001
USA,CAN,1,1,2012,32.981
CAN,CAN,1,1,2013,2199.84
MEX,CAN,1,1,2013,0.001
USA,CAN,1,1,2013,16.574
USA,CAN,1,1,2014,18.98
USA,CAN,1,1,2015,15.137
MEX,CAN,1,1,2015,0.0
CAN,CAN,1,1,2016,251.417
MEX,CAN,1,1,2016,0.0
USA,CAN,1,1,2016,19.518
USA,CAN,1,1,2017,17.516
MEX,CAN,1,1,2017,0.0
USA,CAN,1,1,2018,21.305
MEX,CAN,1,1,2018,0.0
USA,CAN,1,1,2019,38.876
MEX,CAN,1,1,2019,0.0
CAN,MEX,1,1,2010,213.212
MEX,MEX,1,1,2010,649.508
USA,MEX,1,1,2010,628.687
MEX,MEX,1,1,2011,698.43
USA,MEX,1,1,2011,1027.903
CAN,MEX,1,1,2011,293.929
MEX,MEX,1,1,2012,675.467
CAN,MEX,1,1,2012,284.303
USA,MEX,1,1,2012,1159.326
CAN,MEX,1,1,2013,341.596
MEX,MEX,1,1,2013,751.473
USA,MEX,1,1,2013,951.493
CAN,MEX,1,1,2014,324.148
MEX,MEX,1,1,2014,481.331
USA,MEX,1,1,2014,872.957
CAN,MEX,1,1,2015,227.99
USA,MEX,1,1,2015,663.19
MEX,MEX,1,1,2015,441.021
MEX,MEX,1,1,2016,265.375
CAN,MEX,1,1,2016,200.489
USA,MEX,1,1,2016,572.114
CAN,MEX,1,1,2017,233.948
MEX,MEX,1,1,2017,510.734
USA,MEX,1,1,2017,733.419
CAN,MEX,1,1,2018,246.365
USA,MEX,1,1,2018,664.3
MEX,MEX,1,1,2018,367.646
USA,MEX,1,1,2019,857.735
CAN,MEX,1,1,2019,187.884
MEX,MEX,1,1,2019,302.613
CAN,USA,1,1,2010,529.402
USA,USA,1,1,2010,5456.354
MEX,USA,1,1,2010,1.296
USA,USA,1,1,2011,2641.32
MEX,USA,1,1,2011,10.662
CAN,USA,1,1,2011,634.752
CAN,USA,1,1,2012,774.87
MEX,USA,1,1,2012,5.786
USA,USA,1,1,2012,8960.503
MEX,USA,1,1,2013,1.768
CAN,USA,1,1,2013,1073.241
USA,USA,1,1,2013,3643.863
CAN,USA,1,1,2014,981.811
MEX,USA,1,1,2014,4.103
USA,USA,1,1,2014,3812.895
CAN,USA,1,1,2015,699.374
USA,USA,1,1,2015,3862.102
MEX,USA,1,1,2015,12.179
CAN,USA,1,1,2016,418.709
MEX,USA,1,1,2016,4.825
USA,USA,1,1,2016,3425.311
USA,USA,1,1,2017,1572.319
CAN,USA,1,1,2017,697.183
MEX,USA,1,1,2017,2.67
CAN,USA,1,1,2018,796.626
USA,USA,1,1,2018,4001.353
MEX,USA,1,1,2018,0.002
CAN,USA,1,1,2019,425.636
USA,USA,1,1,2019,1851.772
MEX,USA,1,1,2019,0.009
MEX,CAN,1,1,2014,0.0
MEX,CAN,1,2,2010,0.045
USA,CAN,1,2,2010,156.743
MEX,CAN,1,2,2011,0.004
USA,CAN,1,2,2011,154.717
