date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients
2020-01-22,1,0,0,0,0,0
2020-01-23,1,0,0,0,0,0
2020-01-24,2,1,0,0,0,0
2020-01-25,2,0,0,0,0,0
2020-01-26,5,3,0,0,0,0
2020-01-27,5,0,0,0,0,0
2020-01-28,5,0,0,0,0,0
2020-01-29,6,1,0,0,0,0
2020-01-30,6,0,0,0,0,0
2020-01-31,8,2,0,0,0,0
2020-02-01,8,0,0,0,0,0
2020-02-02,8,0,0,0,0,0
2020-02-03,11,3,0,0,0,0
2020-02-04,11,0,0,0,0,0
2020-02-05,11,0,0,0,0,0
2020-02-06,12,1,0,0,0,0
2020-02-07,12,0,0,0,0,0
2020-02-08,12,0,0,0,0,0
2020-02-09,12,0,0,0,0,0
2020-02-10,12,0,0,0,0,0
2020-02-11,13,1,0,0,0,0
2020-02-12,13,0,0,0,0,0
2020-02-13,14,1,0,0,0,0
2020-02-14,14,0,0,0,0,0
2020-02-15,14,0,0,0,0,0
2020-02-16,14,0,0,0,0,0
2020-02-17,14,0,0,0,0,0
2020-02-18,14,0,0,0,0,0
2020-02-19,14,0,0,0,0,0
2020-02-20,14,0,0,0,0,0
2020-02-21,16,2,0,0,0,0
2020-02-22,16,0,0,0,0,0
2020-02-23,16,0,0,0,0,0
2020-02-24,16,0,0,0,0,0
2020-02-25,16,0,0,0,0,0
2020-02-26,16,0,0,0,0,0
2020-02-27,17,1,0,0,0,0
2020-02-28,17,0,0,0,0,0
2020-02-29,25,8,1,1,0,0
2020-03-01,32,7,1,0,0,0
2020-03-02,55,23,6,5,0,0
2020-03-03,74,19,7,1,0,0
2020-03-04,107,33,11,4,0,0
2020-03-05,184,77,12,1,0,0
2020-03-06,237,53,14,2,0,0
2020-03-07,403,166,17,3,0,0
2020-03-08,519,116,21,4,0,0
2020-03-09,594,75,22,1,0,0
2020-03-10,782,188,28,6,0,0
2020-03-11,1147,365,33,5,0,0
2020-03-12,1586,439,43,10,0,0
2020-03-13,2219,633,51,8,0,0
2020-03-14,2978,759,58,7,0,0
2020-03-15,3212,234,70,12,0,0
2020-03-16,4679,1467,97,27,0,0
2020-03-17,6512,1833,134,37,0,0
2020-03-18,9169,2657,194,60,0,0
2020-03-19,13663,4494,266,72,0,0
